Drive homozygote fitness,Introduction frequency,Generations to 99% drive individuals difference,Generations to 99% drive individuals,Generation of maximum drive frequency,Maximum drive frequency,Maximum frequency of individuals with at least one drive
0.5,0,0,1000,0,0,0
0.5,0.01,0,1000,0,0.00496798,0.00993596
0.5,0.01,0,1000,0,0.00502263,0.0100453
0.5,0.01,0,1000,0,0.00498485,0.0099697
0.5,0.01,0,1000,0,0.0049958,0.00999159
0.5,0.01,0,1000,0,0.00500759,0.0100152
0.5,0.01,0,1000,0,0.00504234,0.0100847
0.5,0.01,0,1000,0,0.0050137,0.0100274
0.5,0.01,0,1000,0,0.00500233,0.0100047
0.5,0.01,0,1000,0,0.00501963,0.0100393
0.5,0.01,0,1000,0,0.00504012,0.0100802
0.5,0.02,0,1000,0,0.0100611,0.0201223
0.5,0.02,0,1000,0,0.0100214,0.0200428
0.5,0.02,0,1000,0,0.00992646,0.0198529
0.5,0.02,0,1000,0,0.010022,0.020044
0.5,0.02,0,1000,0,0.0100985,0.0201969
0.5,0.02,0,1000,0,0.00993284,0.0198657
0.5,0.02,0,1000,0,0.00995901,0.019918
0.5,0.02,0,1000,0,0.0100406,0.0200813
0.5,0.02,0,1000,0,0.0100269,0.0200538
0.5,0.02,0,1000,0,0.0100173,0.0200346
0.5,0.03,0,1000,0,0.0148735,0.029747
0.5,0.03,0,1000,0,0.0149965,0.029993
0.5,0.03,0,1000,0,0.014982,0.029964
0.5,0.03,0,1000,0,0.0150265,0.0300531
0.5,0.03,0,1000,0,0.0149823,0.0299645
0.5,0.03,0,1000,0,0.0150916,0.0301833
0.5,0.03,0,1000,0,0.0149495,0.0298991
0.5,0.03,0,1000,0,0.015064,0.030128
0.5,0.03,0,1000,0,0.0150636,0.0301271
0.5,0.03,0,1000,0,0.0150149,0.0300297
0.5,0.04,0,1000,0,0.0198659,0.0397319
0.5,0.04,0,1000,0,0.0200109,0.0400219
0.5,0.04,0,1000,0,0.0198378,0.0396755
0.5,0.04,0,1000,0,0.0200027,0.0400054
0.5,0.04,0,1000,0,0.0200636,0.0401271
0.5,0.04,0,1000,0,0.0199563,0.0399126
0.5,0.04,0,1000,0,0.020215,0.04043
0.5,0.04,0,1000,0,0.0200709,0.0401418
0.5,0.04,0,1000,0,0.0198493,0.0396986
0.5,0.04,0,1000,0,0.0200369,0.0400739
0.5,0.05,0,1000,0,0.0250994,0.0501989
0.5,0.05,0,1000,0,0.0249998,0.0499995
0.5,0.05,0,1000,0,0.0251676,0.0503352
0.5,0.05,0,1000,0,0.0248428,0.0496856
0.5,0.05,0,1000,0,0.0251647,0.0503294
0.5,0.05,0,1000,0,0.0250863,0.0501725
0.5,0.05,0,1000,0,0.0247836,0.0495672
0.5,0.05,0,1000,0,0.0249479,0.0498957
0.5,0.05,0,1000,0,0.0248304,0.0496608
0.5,0.05,0,1000,0,0.0248632,0.0497265
0.5,0.06,0,1000,0,0.0298687,0.0597374
0.5,0.06,0,1000,0,0.029986,0.059972
0.5,0.06,0,1000,0,0.0299609,0.0599219
0.5,0.06,0,1000,0,0.0299337,0.0598674
0.5,0.06,0,1000,0,0.0298883,0.0597766
0.5,0.06,0,1000,0,0.0301415,0.060283
0.5,0.06,0,1000,0,0.0300408,0.0600815
0.5,0.06,0,1000,0,0.0300272,0.0600544
0.5,0.06,0,1000,0,0.0298978,0.0597956
0.5,0.06,0,1000,0,0.0301951,0.0603902
0.5,0.07,0,1000,0,0.0347754,0.0695508
0.5,0.07,0,1000,0,0.0350605,0.070121
0.5,0.07,0,1000,0,0.0349456,0.0698912
0.5,0.07,0,1000,0,0.0351286,0.0702572
0.5,0.07,0,1000,0,0.0350687,0.0701373
0.5,0.07,0,1000,0,0.0349641,0.0699282
0.5,0.07,0,1000,0,0.0349342,0.0698685
0.5,0.07,0,1000,0,0.0350191,0.0700382
0.5,0.07,0,1000,0,0.0349586,0.0699171
0.5,0.07,0,1000,0,0.0351184,0.0702368
0.5,0.08,0,1000,0,0.0399115,0.079823
0.5,0.08,0,1000,0,0.0402105,0.080421
0.5,0.08,0,1000,0,0.0398424,0.0796848
0.5,0.08,0,1000,0,0.0401574,0.0803148
0.5,0.08,0,1000,0,0.0397444,0.0794888
0.5,0.08,0,1000,0,0.0398413,0.0796826
0.5,0.08,0,1000,0,0.0397899,0.0795798
0.5,0.08,0,1000,0,0.0398081,0.0796162
0.5,0.08,0,1000,0,0.0397215,0.0794431
0.5,0.08,0,1000,0,0.0400841,0.0801682
0.5,0.09,0,1000,0,0.0451904,0.0903807
0.5,0.09,0,1000,0,0.0449407,0.0898813
0.5,0.09,0,1000,0,0.0449505,0.0899009
0.5,0.09,0,1000,0,0.0449787,0.0899573
0.5,0.09,0,1000,0,0.044877,0.0897541
0.5,0.09,0,1000,0,0.0449162,0.0898323
0.5,0.09,0,1000,0,0.0451231,0.0902463
0.5,0.09,0,1000,0,0.0452061,0.0904121
0.5,0.09,0,1000,0,0.0451347,0.0902693
0.5,0.09,0,1000,0,0.0449566,0.0899132
0.5,0.1,0,1000,0,0.0499012,0.0998024
0.5,0.1,0,1000,0,0.0503266,0.100653
0.5,0.1,0,1000,0,0.0499416,0.0998831
0.5,0.1,0,1000,0,0.0501444,0.100289
0.5,0.1,0,1000,0,0.0497894,0.0995788
0.5,0.1,0,1000,0,0.050291,0.100582
0.5,0.1,0,1000,0,0.0501566,0.100313
0.5,0.1,0,1000,0,0.0498645,0.0997289
0.5,0.1,0,1000,0,0.0500495,0.100099
0.5,0.1,0,1000,0,0.0505638,0.101128
0.5,0.11,0,1000,0,0.0548519,0.109704
0.5,0.11,0,1000,0,0.0550228,0.110046
0.5,0.11,0,1000,0,0.0551048,0.11021
0.5,0.11,0,1000,0,0.0549436,0.109887
0.5,0.11,0,1000,0,0.0549705,0.109941
0.5,0.11,0,1000,0,0.0550719,0.110144
0.5,0.11,0,1000,0,0.0549109,0.109822
0.5,0.11,0,1000,0,0.0548324,0.109665
0.5,0.11,0,1000,0,0.0550611,0.110122
0.5,0.11,0,1000,0,0.0552378,0.110476
0.5,0.12,0,1000,0,0.0602781,0.120556
0.5,0.12,0,1000,0,0.0602973,0.120595
0.5,0.12,0,1000,0,0.0599369,0.119874
0.5,0.12,0,1000,0,0.0595505,0.119101
0.5,0.12,0,1000,0,0.0599416,0.119883
0.5,0.12,0,1000,0,0.0601229,0.120246
0.5,0.12,0,1000,0,0.0603406,0.120681
0.5,0.12,0,1000,0,0.0599269,0.119854
0.5,0.12,0,1000,0,0.0594903,0.118981
0.5,0.12,0,1000,0,0.0598469,0.119694
0.5,0.13,0,1000,0,0.0651213,0.130243
0.5,0.13,0,1000,0,0.0647455,0.129491
0.5,0.13,0,1000,0,0.0649566,0.129913
0.5,0.13,0,1000,0,0.065181,0.130362
0.5,0.13,0,1000,0,0.0645113,0.129023
0.5,0.13,0,1000,0,0.0652379,0.130476
0.5,0.13,0,1000,0,0.0649622,0.129924
0.5,0.13,0,1000,0,0.0647792,0.129558
0.5,0.13,0,1000,0,0.0647438,0.129488
0.5,0.13,0,1000,0,0.0649464,0.129893
0.5,0.14,0,1000,0,0.0697412,0.139482
0.5,0.14,0,1000,0,0.0700817,0.140163
0.5,0.14,0,1000,0,0.0700932,0.140186
0.5,0.14,0,1000,0,0.0699426,0.139885
0.5,0.14,0,1000,0,0.0701131,0.140226
0.5,0.14,0,1000,0,0.0702032,0.140406
0.5,0.14,0,1000,0,0.0701252,0.14025
0.5,0.14,0,1000,0,0.0702099,0.14042
0.5,0.14,0,1000,0,0.070406,0.140812
0.5,0.14,0,1000,0,0.0700763,0.140153
0.5,0.15,0,1000,0,0.0748496,0.149699
0.5,0.15,0,1000,0,0.0749265,0.149853
0.5,0.15,0,1000,0,0.0751992,0.150398
0.5,0.15,0,1000,0,0.0753624,0.150725
0.5,0.15,0,1000,0,0.0744599,0.14892
0.5,0.15,0,1000,0,0.0746818,0.149364
0.5,0.15,0,1000,0,0.0749291,0.149858
0.5,0.15,0,1000,0,0.0752595,0.150519
0.5,0.15,0,1000,0,0.0753701,0.15074
0.5,0.15,0,1000,0,0.0750011,0.150002
0.5,0.16,0,1000,0,0.079957,0.159914
0.5,0.16,0,1000,0,0.079833,0.159666
0.5,0.16,0,1000,0,0.080167,0.160334
0.5,0.16,0,1000,0,0.0797595,0.159519
0.5,0.16,0,1000,0,0.0796601,0.15932
0.5,0.16,0,1000,0,0.0800249,0.16005
0.5,0.16,0,1000,0,0.0802244,0.160449
0.5,0.16,0,1000,0,0.0800222,0.160044
0.5,0.16,0,1000,0,0.0797642,0.159528
0.5,0.16,0,1000,0,0.0800484,0.160097
0.5,0.17,0,1000,0,0.0848214,0.169643
0.5,0.17,0,1000,0,0.085321,0.170642
0.5,0.17,0,1000,0,0.0851961,0.170392
0.5,0.17,0,1000,0,0.0848559,0.169712
0.5,0.17,0,1000,0,0.0855305,0.171061
0.5,0.17,0,1000,0,0.0848749,0.16975
0.5,0.17,0,1000,0,0.0852578,0.170516
0.5,0.17,0,1000,0,0.0853004,0.170601
0.5,0.17,0,1000,0,0.0849671,0.169934
0.5,0.17,0,1000,0,0.0851352,0.17027
0.5,0.18,0,1000,0,0.0902761,0.180552
0.5,0.18,0,1000,0,0.0907149,0.18143
0.5,0.18,0,1000,0,0.0905323,0.181065
0.5,0.18,0,1000,0,0.0900399,0.18008
0.5,0.18,0,1000,0,0.0895426,0.179085
0.5,0.18,0,1000,0,0.0902412,0.180482
0.5,0.18,0,1000,0,0.0897468,0.179494
0.5,0.18,0,1000,0,0.0897102,0.17942
0.5,0.18,0,1000,0,0.0897777,0.179555
0.5,0.18,0,1000,0,0.0898063,0.179613
0.5,0.19,0,1000,0,0.0951541,0.190308
0.5,0.19,0,1000,0,0.0948877,0.189775
0.5,0.19,0,1000,0,0.0950592,0.190118
0.5,0.19,0,1000,0,0.0951479,0.190296
0.5,0.19,0,1000,0,0.0953413,0.190683
0.5,0.19,0,1000,0,0.0955938,0.191188
0.5,0.19,0,1000,0,0.0952553,0.190511
0.5,0.19,0,1000,0,0.0954981,0.190996
0.5,0.19,0,1000,0,0.0947069,0.189414
0.5,0.19,0,1000,0,0.0947145,0.189429
0.5,0.2,0,1000,0,0.100409,0.200818
0.5,0.2,0,1000,0,0.100655,0.201311
0.5,0.2,0,1000,0,0.0997717,0.199543
0.5,0.2,0,1000,0,0.0996739,0.199348
0.5,0.2,0,1000,0,0.100078,0.200155
0.5,0.2,0,1000,0,0.0996755,0.199351
0.5,0.2,0,1000,0,0.100279,0.200558
0.5,0.2,0,1000,0,0.100338,0.200676
0.5,0.2,0,1000,0,0.0997598,0.19952
0.5,0.2,0,1000,0,0.0996969,0.199394
0.5,0.21,0,1000,0,0.105498,0.210997
0.5,0.21,0,1000,0,0.105027,0.210055
0.5,0.21,0,1000,0,0.105022,0.210043
0.5,0.21,0,1000,0,0.105452,0.210905
0.5,0.21,0,1000,0,0.104883,0.209766
0.5,0.21,0,1000,0,0.105041,0.210081
0.5,0.21,0,1000,0,0.10465,0.2093
0.5,0.21,0,1000,0,0.104436,0.208873
0.5,0.21,0,1000,0,0.105174,0.210349
0.5,0.21,0,1000,0,0.105401,0.210803
0.5,0.22,0,1000,0,0.110139,0.220278
0.5,0.22,0,1000,0,0.109512,0.219024
0.5,0.22,0,1000,0,0.109328,0.218655
0.5,0.22,0,1000,0,0.110275,0.22055
0.5,0.22,0,1000,0,0.109701,0.219402
0.5,0.22,0,1000,0,0.110067,0.220133
0.5,0.22,0,1000,0,0.109903,0.219805
0.5,0.22,0,1000,0,0.109746,0.219492
0.5,0.22,0,1000,0,0.110152,0.220303
0.5,0.22,0,1000,0,0.109875,0.219751
0.5,0.23,0,1000,0,0.114825,0.229651
0.5,0.23,0,1000,0,0.115205,0.230409
0.5,0.23,0,1000,0,0.114971,0.229943
0.5,0.23,0,1000,0,0.114204,0.228408
0.5,0.23,0,1000,0,0.114718,0.229436
0.5,0.23,0,1000,0,0.115403,0.230806
0.5,0.23,0,1000,0,0.115113,0.230226
0.5,0.23,0,1000,0,0.115116,0.230231
0.5,0.23,0,1000,0,0.114483,0.228966
0.5,0.23,0,1000,0,0.115795,0.23159
0.5,0.24,0,1000,0,0.119643,0.239286
0.5,0.24,0,1000,0,0.11995,0.2399
0.5,0.24,0,1000,0,0.120036,0.240071
0.5,0.24,0,1000,0,0.119302,0.238604
0.5,0.24,0,1000,0,0.120168,0.240336
0.5,0.24,0,1000,0,0.120753,0.241505
0.5,0.24,0,1000,0,0.12019,0.24038
0.5,0.24,0,1000,0,0.119546,0.239092
0.5,0.24,0,1000,0,0.120768,0.241537
0.5,0.24,0,1000,0,0.120176,0.240351
0.5,0.25,0,1000,0,0.125463,0.250926
0.5,0.25,0,1000,0,0.124976,0.249951
0.5,0.25,0,1000,0,0.125046,0.250092
0.5,0.25,0,1000,0,0.123418,0.246836
0.5,0.25,0,1000,0,0.124807,0.249614
0.5,0.25,0,1000,0,0.125177,0.250355
0.5,0.25,0,1000,0,0.125174,0.250347
0.5,0.25,0,1000,0,0.125234,0.250468
0.5,0.25,0,1000,0,0.124931,0.249861
0.5,0.25,0,1000,0,0.125177,0.250353
0.5,0.26,0,1000,0,0.129964,0.259928
0.5,0.26,0,1000,0,0.129773,0.259546
0.5,0.26,0,1000,0,0.130271,0.260543
0.5,0.26,0,1000,0,0.12998,0.259961
0.5,0.26,0,1000,0,0.129669,0.259337
0.5,0.26,0,1000,0,0.130155,0.260309
0.5,0.26,0,1000,0,0.129625,0.259249
0.5,0.26,0,1000,0,0.129665,0.25933
0.5,0.26,0,1000,0,0.130163,0.260327
0.5,0.26,0,1000,0,0.130175,0.26035
0.5,0.27,0,1000,0,0.135783,0.271567
0.5,0.27,0,1000,0,0.135412,0.270825
0.5,0.27,0,1000,0,0.134714,0.269428
0.5,0.27,0,1000,0,0.134259,0.268518
0.5,0.27,0,1000,0,0.134688,0.269377
0.5,0.27,0,1000,0,0.136143,0.272286
0.5,0.27,0,1000,0,0.135413,0.270827
0.5,0.27,0,1000,0,0.134873,0.269746
0.5,0.27,0,1000,0,0.135347,0.270694
0.5,0.27,0,1000,0,0.133907,0.267815
0.5,0.28,0,1000,0,0.139975,0.27995
0.5,0.28,0,1000,0,0.139932,0.279864
0.5,0.28,0,1000,0,0.139563,0.279126
0.5,0.28,0,1000,0,0.139598,0.279196
0.5,0.28,0,1000,0,0.13936,0.27872
0.5,0.28,0,1000,0,0.139356,0.278712
0.5,0.28,0,1000,0,0.140269,0.280538
0.5,0.28,0,1000,0,0.139341,0.278682
0.5,0.28,0,1000,0,0.140003,0.280007
0.5,0.28,0,1000,0,0.139575,0.27915
0.5,0.29,0,1000,0,0.145374,0.290749
0.5,0.29,0,1000,0,0.145191,0.290381
0.5,0.29,0,1000,0,0.144546,0.289092
0.5,0.29,0,1000,0,0.145585,0.29117
0.5,0.29,0,1000,0,0.144936,0.289872
0.5,0.29,0,1000,0,0.145258,0.290515
0.5,0.29,0,1000,0,0.14524,0.29048
0.5,0.29,0,1000,0,0.144967,0.289934
0.5,0.29,0,1000,0,0.144496,0.288992
0.5,0.29,0,1000,0,0.145185,0.290371
0.5,0.3,0,1000,0,0.149914,0.299827
0.5,0.3,0,1000,0,0.149096,0.298192
0.5,0.3,0,1000,0,0.150634,0.301269
