Germline cut rate,Embryo cut rate,Generations to 99% drive individuals difference, Gens to Reach 99%,Gens of Max Freq,Drive Allele Freq Here,Max Freq with at Least One Drive Chromosome
0,0,0,1000,0,0.0998825,0.199765
0,0,0,1000,0,0.0995183,0.199037
0,0,0,1000,0,0.0997685,0.199537
0,0,0,1000,0,0.100271,0.200542
0,0,0,1000,0,0.0998698,0.19974
0,0,0,1000,0,0.0996357,0.199271
0,0,0,1000,0,0.100076,0.200152
0,0,0,1000,0,0.100515,0.201029
0,0,0,1000,0,0.0998714,0.199743
0,0,0,1000,0,0.0998458,0.199692
0,0.02,0,1000,0,0.100093,0.200186
0,0.02,0,1000,0,0.10031,0.20062
0,0.02,0,1000,0,0.100435,0.200871
0,0.02,0,1000,0,0.100157,0.200314
0,0.02,0,1000,0,0.100263,0.200526
0,0.02,0,1000,0,0.099857,0.199714
0,0.02,0,1000,0,0.0998801,0.19976
0,0.02,0,1000,0,0.100155,0.200311
0,0.02,0,1000,0,0.100052,0.200104
0,0.02,0,1000,0,0.0999201,0.19984
0,0.04,0,1000,0,0.100353,0.200706
0,0.04,0,1000,0,0.100123,0.200247
0,0.04,0,1000,0,0.0999944,0.199989
0,0.04,0,1000,0,0.099988,0.199976
0,0.04,0,1000,0,0.0993435,0.198687
0,0.04,0,1000,0,0.100084,0.200168
0,0.04,0,1000,0,0.0996882,0.199376
0,0.04,0,1000,0,0.100054,0.200109
0,0.04,0,1000,0,0.0999121,0.199824
0,0.04,0,1000,0,0.0995366,0.199073
0,0.06,0,1000,0,0.100229,0.200457
0,0.06,0,1000,0,0.0998841,0.199768
0,0.06,0,1000,60,0.111078,0.210431
0,0.06,0,1000,0,0.100014,0.200027
0,0.06,0,1000,0,0.0998754,0.199751
0,0.06,0,1000,0,0.100144,0.200288
0,0.06,0,1000,100,0.140846,0.261839
0,0.06,0,1000,0,0.100705,0.20141
0,0.06,0,1000,0,0.0995033,0.199007
0,0.06,0,1000,0,0.100273,0.200545
0,0.08,-926,74,92,0.943594,1
0,0.08,-918,82,95,0.933556,1
0,0.08,-914,86,100,0.937637,0.999989
0,0.08,-910,90,98,0.917129,0.999936
0,0.08,-912,88,98,0.92704,0.999979
0,0.08,-917,83,99,0.944437,1
0,0.08,-905,95,100,0.898424,0.999733
0,0.08,-903,97,100,0.880845,0.998566
0,0.08,-905,95,99,0.886882,0.999418
0,0.08,-920,80,93,0.934205,1
0,0.1,-946,54,66,0.935602,1
0,0.1,-944,56,66,0.924338,1
0,0.1,-941,59,70,0.927818,1
0,0.1,-944,56,69,0.934472,1
0,0.1,-941,59,73,0.936652,1
0,0.1,-941,59,72,0.933336,1
0,0.1,-941,59,69,0.926369,1
0,0.1,-941,59,72,0.936686,1
0,0.1,-938,62,76,0.937007,1
0,0.1,-941,59,75,0.945181,1
0,0.12,-34,45,53,0.917361,1
0,0.12,-39,47,58,0.928587,1
0,0.12,-37,46,57,0.926506,1
0,0.12,-32,44,55,0.927723,1
0,0.12,-41,47,56,0.922486,1
0,0.12,-36,42,52,0.925566,1
0,0.12,-22,46,56,0.926571,1
0,0.12,-34,44,54,0.925898,1
0,0.12,-36,45,54,0.920627,1
0,0.12,-40,45,56,0.929676,1
0,0.14,-20,39,48,0.923299,1
0,0.14,-15,39,46,0.910775,1
0,0.14,-25,38,48,0.926697,1
0,0.14,-20,38,46,0.915149,1
0,0.14,-26,36,45,0.918113,1
0,0.14,-23,39,48,0.921523,1
0,0.14,-25,37,47,0.922684,1
0,0.14,-24,36,44,0.914285,1
0,0.14,-21,38,46,0.916831,1
0,0.14,-25,38,47,0.91832,1
0,0.16,-16,33,40,0.910432,1
0,0.16,-18,33,40,0.907937,1
0,0.16,-21,34,43,0.91781,1
0,0.16,-16,32,40,0.91617,1
0,0.16,-19,32,42,0.921918,1
0,0.16,-19,32,41,0.917385,1
0,0.16,-17,33,42,0.916929,1
0,0.16,-14,32,40,0.912937,1
0,0.16,-20,32,41,0.918215,1
0,0.16,-19,34,42,0.918089,1
0,0.18,-13,31,38,0.90869,1
0,0.18,-13,29,37,0.914086,1
0,0.18,-14,30,36,0.896778,1
0,0.18,-15,29,36,0.905894,1
0,0.18,-11,31,40,0.921184,1
0,0.18,-11,29,36,0.908449,1
0,0.18,-15,30,38,0.914282,1
0,0.18,-13,29,36,0.910153,1
0,0.18,-12,30,39,0.921125,1
0,0.18,-14,29,38,0.91946,1
0,0.2,-12,27,32,0.891566,1
0,0.2,-12,27,32,0.890115,1
0,0.2,-12,27,35,0.913851,1
0,0.2,-12,26,33,0.907829,1
0,0.2,-12,27,33,0.895716,1
0,0.2,-12,26,33,0.903249,1
0,0.2,-13,26,32,0.895987,1
0,0.2,-13,27,33,0.896589,1
0,0.2,-11,26,31,0.89039,1
0,0.2,-10,27,32,0.891073,1
0,0.22,-9,25,33,0.915506,1
0,0.22,-9,25,31,0.89693,1
0,0.22,-11,25,32,0.908613,1
0,0.22,-10,25,31,0.898699,1
0,0.22,-10,25,32,0.910481,1
0,0.22,-7,25,31,0.894441,1
0,0.22,-9,25,32,0.91007,1
0,0.22,-9,24,31,0.904197,1
0,0.22,-9,25,31,0.900476,1
0,0.22,-8,26,32,0.898601,1
0,0.24,-9,23,28,0.89027,1
0,0.24,-8,23,28,0.891593,1
0,0.24,-7,23,29,0.894741,1
0,0.24,-8,23,29,0.901696,1
0,0.24,-9,23,28,0.892737,1
0,0.24,-9,23,30,0.908397,1
0,0.24,-8,23,27,0.884483,1
