Drive homozygote fitness,Introduction frequency,Generations to 99% drive individuals,Generation of maximum drive frequency,Maximum drive frequency,Maximum frequency of individuals with at least one drive
0.5,0,1000,0,0,0
0.5,0.01,1000,0,0.00504088,0.0100818
0.5,0.01,1000,0,0.00501709,0.0100342
0.5,0.01,1000,0,0.00498077,0.00996153
0.5,0.01,1000,0,0.00498244,0.00996488
0.5,0.01,1000,0,0.00500431,0.0100086
0.5,0.01,1000,0,0.00499402,0.00998803
0.5,0.01,1000,0,0.00499852,0.00999703
0.5,0.01,1000,0,0.00501161,0.0100232
0.5,0.01,1000,0,0.00500769,0.0100154
0.5,0.01,1000,0,0.00499515,0.00999031
0.5,0.02,1000,0,0.00991634,0.0198327
0.5,0.02,1000,0,0.00999843,0.0199969
0.5,0.02,1000,0,0.009978,0.019956
0.5,0.02,1000,0,0.00993574,0.0198715
0.5,0.02,1000,0,0.00997127,0.0199425
0.5,0.02,1000,0,0.00999804,0.0199961
0.5,0.02,1000,0,0.00998884,0.0199777
0.5,0.02,1000,0,0.0100687,0.0201373
0.5,0.02,1000,0,0.00995076,0.0199015
0.5,0.02,1000,0,0.0100299,0.0200598
0.5,0.03,1000,0,0.0150281,0.0300563
0.5,0.03,1000,0,0.0151365,0.0302731
0.5,0.03,1000,0,0.0150335,0.0300671
0.5,0.03,1000,0,0.0151039,0.0302077
0.5,0.03,1000,0,0.015053,0.030106
0.5,0.03,1000,0,0.0150712,0.0301424
0.5,0.03,1000,0,0.0150337,0.0300674
0.5,0.03,1000,0,0.0150605,0.030121
0.5,0.03,1000,0,0.0149569,0.0299138
0.5,0.03,1000,0,0.0150334,0.0300668
0.5,0.04,1000,0,0.0200083,0.0400165
0.5,0.04,1000,0,0.0198925,0.039785
0.5,0.04,1000,0,0.0200375,0.040075
0.5,0.04,1000,0,0.0199205,0.0398409
0.5,0.04,1000,0,0.0200069,0.0400138
0.5,0.04,1000,0,0.0200163,0.0400327
0.5,0.04,1000,0,0.0199577,0.0399153
0.5,0.04,1000,0,0.0199106,0.0398211
0.5,0.04,1000,0,0.0200311,0.0400623
0.5,0.04,1000,0,0.019922,0.039844
0.5,0.05,1000,0,0.0249382,0.0498763
0.5,0.05,1000,0,0.0251258,0.0502516
0.5,0.05,1000,0,0.0249524,0.0499047
0.5,0.05,1000,0,0.0250925,0.050185
0.5,0.05,1000,0,0.0251804,0.0503607
0.5,0.05,1000,0,0.0250109,0.0500219
0.5,0.05,1000,0,0.0250414,0.0500828
0.5,0.05,1000,0,0.0249205,0.0498409
0.5,0.05,1000,0,0.0247944,0.0495887
0.5,0.05,1000,0,0.0249117,0.0498234
0.5,0.06,1000,0,0.0299174,0.0598348
0.5,0.06,1000,0,0.0300309,0.0600617
0.5,0.06,1000,0,0.0301164,0.0602329
0.5,0.06,1000,0,0.0301301,0.0602602
0.5,0.06,1000,0,0.0298911,0.0597822
0.5,0.06,1000,0,0.0302257,0.0604514
0.5,0.06,1000,0,0.0301908,0.0603816
0.5,0.06,1000,0,0.0299365,0.059873
0.5,0.06,1000,0,0.0300574,0.0601149
0.5,0.06,1000,0,0.0299472,0.0598943
0.5,0.07,1000,0,0.0349407,0.0698814
0.5,0.07,1000,0,0.0349625,0.0699249
0.5,0.07,1000,0,0.0350762,0.0701524
0.5,0.07,1000,0,0.0349433,0.0698866
0.5,0.07,1000,0,0.0350409,0.0700818
0.5,0.07,1000,0,0.0350778,0.0701557
0.5,0.07,1000,0,0.0349764,0.0699529
0.5,0.07,1000,0,0.035341,0.070682
0.5,0.07,1000,0,0.0350204,0.0700408
0.5,0.07,1000,0,0.0352437,0.0704874
0.5,0.08,1000,0,0.0401133,0.0802266
0.5,0.08,1000,0,0.0401488,0.0802977
0.5,0.08,1000,0,0.0398387,0.0796775
0.5,0.08,1000,0,0.0401151,0.0802303
0.5,0.08,1000,0,0.0398325,0.0796651
0.5,0.08,1000,0,0.0399144,0.0798289
0.5,0.08,1000,0,0.0398234,0.0796468
0.5,0.08,1000,0,0.0397212,0.0794424
0.5,0.08,1000,0,0.0398114,0.0796228
0.5,0.08,1000,0,0.0399772,0.0799544
0.5,0.09,1000,0,0.0454232,0.0908465
0.5,0.09,1000,0,0.0448445,0.0896889
0.5,0.09,1000,0,0.045145,0.09029
0.5,0.09,1000,0,0.0449149,0.0898299
0.5,0.09,1000,0,0.044838,0.0896759
0.5,0.09,1000,0,0.0449672,0.0899344
0.5,0.09,1000,0,0.0450931,0.0901862
0.5,0.09,1000,0,0.0451248,0.0902496
0.5,0.09,1000,0,0.0451054,0.0902109
0.5,0.09,1000,0,0.0454775,0.0909551
0.5,0.1,1000,0,0.0497858,0.0995716
0.5,0.1,1000,0,0.0500189,0.100038
0.5,0.1,1000,0,0.0497872,0.0995743
0.5,0.1,1000,0,0.0501834,0.100367
0.5,0.1,1000,0,0.0499694,0.0999388
0.5,0.1,1000,0,0.0498327,0.0996654
0.5,0.1,1000,0,0.0499075,0.0998149
0.5,0.1,1000,0,0.0503978,0.100796
0.5,0.1,1000,0,0.0497448,0.0994896
0.5,0.1,1000,0,0.0500419,0.100084
0.5,0.11,1000,0,0.0552067,0.110413
0.5,0.11,1000,0,0.0547348,0.10947
0.5,0.11,1000,0,0.0549509,0.109902
0.5,0.11,1000,0,0.0552328,0.110466
0.5,0.11,1000,0,0.0548057,0.109611
0.5,0.11,1000,0,0.0551003,0.110201
0.5,0.11,1000,0,0.0548889,0.109778
0.5,0.11,1000,0,0.0552333,0.110467
0.5,0.11,1000,0,0.0549988,0.109998
0.5,0.11,1000,0,0.0551195,0.110239
0.5,0.12,1000,0,0.0598606,0.119721
0.5,0.12,1000,0,0.0598233,0.119647
0.5,0.12,1000,0,0.0599027,0.119805
0.5,0.12,1000,0,0.0596647,0.119329
0.5,0.12,1000,0,0.0601399,0.12028
0.5,0.12,1000,0,0.0596031,0.119206
0.5,0.12,1000,0,0.0598317,0.119663
0.5,0.12,1000,0,0.0598448,0.11969
0.5,0.12,1000,0,0.0601574,0.120315
0.5,0.12,1000,0,0.0602574,0.120515
0.5,0.13,1000,0,0.0648787,0.129757
0.5,0.13,1000,0,0.0654195,0.130839
0.5,0.13,1000,0,0.0654064,0.130813
0.5,0.13,1000,0,0.0652083,0.130417
0.5,0.13,1000,0,0.064978,0.129956
0.5,0.13,1000,0,0.0649109,0.129822
0.5,0.13,1000,0,0.0649747,0.129949
0.5,0.13,1000,0,0.0654751,0.13095
0.5,0.13,1000,0,0.0647062,0.129412
0.5,0.13,1000,0,0.0648872,0.129774
0.5,0.14,1000,0,0.070095,0.14019
0.5,0.14,1000,0,0.0700944,0.140189
0.5,0.14,1000,0,0.0701149,0.14023
0.5,0.14,1000,0,0.0695898,0.13918
0.5,0.14,1000,0,0.0703039,0.140608
0.5,0.14,1000,0,0.0697365,0.139473
0.5,0.14,1000,0,0.0698082,0.139616
0.5,0.14,1000,0,0.0694959,0.138992
0.5,0.14,1000,0,0.070185,0.14037
0.5,0.14,1000,0,0.0700998,0.1402
0.5,0.15,1000,0,0.0744461,0.148892
0.5,0.15,1000,0,0.0751915,0.150383
0.5,0.15,1000,0,0.0749501,0.1499
0.5,0.15,1000,0,0.0752435,0.150487
0.5,0.15,1000,0,0.0749603,0.149921
0.5,0.15,1000,0,0.0750387,0.150077
0.5,0.15,1000,0,0.0750668,0.150134
0.5,0.15,1000,0,0.0754036,0.150807
0.5,0.15,1000,0,0.0749851,0.14997
0.5,0.15,1000,0,0.075033,0.150066
0.5,0.16,1000,0,0.0799711,0.159942
0.5,0.16,1000,0,0.0803171,0.160634
0.5,0.16,1000,0,0.0800054,0.160011
0.5,0.16,1000,0,0.0805365,0.161073
0.5,0.16,1000,0,0.0801798,0.16036
0.5,0.16,1000,0,0.0800094,0.160019
0.5,0.16,1000,0,0.079835,0.15967
0.5,0.16,1000,0,0.0803286,0.160657
0.5,0.16,1000,0,0.0796314,0.159263
0.5,0.16,1000,0,0.0795164,0.159033
0.5,0.17,1000,0,0.0849608,0.169922
0.5,0.17,1000,0,0.0844013,0.168803
0.5,0.17,1000,0,0.0846427,0.169285
0.5,0.17,1000,0,0.0849016,0.169803
0.5,0.17,1000,0,0.0845483,0.169097
0.5,0.17,1000,0,0.0848924,0.169785
0.5,0.17,1000,0,0.0851104,0.170221
0.5,0.17,1000,0,0.0842326,0.168465
0.5,0.17,1000,0,0.0844953,0.168991
0.5,0.17,1000,0,0.0851097,0.170219
0.5,0.18,1000,0,0.089888,0.179776
0.5,0.18,1000,0,0.0898159,0.179632
0.5,0.18,1000,0,0.0907254,0.181451
0.5,0.18,1000,0,0.0902776,0.180555
0.5,0.18,1000,0,0.0894681,0.178936
0.5,0.18,1000,0,0.0895966,0.179193
0.5,0.18,1000,0,0.0900399,0.18008
0.5,0.18,1000,0,0.0898041,0.179608
0.5,0.18,1000,0,0.0904122,0.180824
0.5,0.18,1000,0,0.0900347,0.180069
0.5,0.19,1000,0,0.0949445,0.189889
0.5,0.19,1000,0,0.0954134,0.190827
0.5,0.19,1000,0,0.0951247,0.190249
0.5,0.19,1000,0,0.0954996,0.190999
0.5,0.19,1000,0,0.0945298,0.18906
0.5,0.19,1000,0,0.0951989,0.190398
0.5,0.19,1000,0,0.0955556,0.191111
0.5,0.19,1000,0,0.0949761,0.189952
0.5,0.19,1000,0,0.0945001,0.189
0.5,0.19,1000,0,0.0949561,0.189912
0.5,0.2,1000,0,0.100064,0.200128
0.5,0.2,1000,0,0.100167,0.200335
0.5,0.2,1000,0,0.0999432,0.199886
0.5,0.2,1000,0,0.100214,0.200428
0.5,0.2,1000,0,0.0998514,0.199703
0.5,0.2,1000,0,0.0999289,0.199858
0.5,0.2,1000,0,0.100328,0.200657
0.5,0.2,1000,0,0.0999456,0.199891
0.5,0.2,1000,0,0.0993941,0.198788
0.5,0.2,1000,0,0.099988,0.199976
0.5,0.21,1000,0,0.10467,0.20934
0.5,0.21,1000,0,0.105357,0.210714
0.5,0.21,1000,0,0.104675,0.20935
0.5,0.21,1000,0,0.104905,0.209811
0.5,0.21,1000,0,0.105466,0.210931
0.5,0.21,1000,0,0.104802,0.209604
0.5,0.21,1000,0,0.104464,0.208927
0.5,0.21,1000,0,0.104687,0.209375
0.5,0.21,1000,0,0.104503,0.209006
0.5,0.21,1000,0,0.105755,0.21151
0.5,0.22,1000,0,0.110104,0.220209
0.5,0.22,1000,0,0.109916,0.219831
0.5,0.22,1000,0,0.109949,0.219898
0.5,0.22,1000,0,0.110039,0.220078
0.5,0.22,1000,0,0.109507,0.219014
0.5,0.22,1000,0,0.110006,0.220013
0.5,0.22,1000,0,0.109873,0.219746
0.5,0.22,1000,0,0.110244,0.220488
0.5,0.22,1000,0,0.110546,0.221093
0.5,0.22,1000,0,0.110248,0.220496
0.5,0.23,1000,0,0.115379,0.230758
0.5,0.23,1000,0,0.115192,0.230384
0.5,0.23,1000,0,0.11443,0.228859
0.5,0.23,1000,0,0.1157,0.2314
0.5,0.23,1000,0,0.115055,0.230111
0.5,0.23,1000,0,0.115301,0.230603
0.5,0.23,1000,0,0.115411,0.230822
0.5,0.23,1000,0,0.116067,0.232133
0.5,0.23,1000,0,0.114899,0.229798
0.5,0.23,1000,0,0.114539,0.229078
0.5,0.24,1000,0,0.120107,0.240214
0.5,0.24,1000,0,0.119933,0.239865
0.5,0.24,1000,0,0.120064,0.240128
0.5,0.24,1000,0,0.120055,0.24011
0.5,0.24,1000,0,0.119455,0.238909
0.5,0.24,1000,0,0.120483,0.240965
0.5,0.24,1000,0,0.120604,0.241208
0.5,0.24,1000,0,0.119724,0.239447
0.5,0.24,1000,0,0.119908,0.239816
0.5,0.24,1000,0,0.119539,0.239077
0.5,0.25,1000,0,0.125454,0.250909
0.5,0.25,1000,0,0.124682,0.249364
0.5,0.25,1000,0,0.125122,0.250244
0.5,0.25,1000,0,0.124993,0.249987
0.5,0.25,1000,0,0.125069,0.250139
0.5,0.25,1000,0,0.124492,0.248984
0.5,0.25,1000,0,0.125088,0.250176
0.5,0.25,1000,0,0.125036,0.250071
0.5,0.25,1000,0,0.12526,0.25052
0.5,0.25,1000,0,0.124882,0.249764
0.5,0.26,1000,0,0.130298,0.260595
0.5,0.26,1000,0,0.129181,0.258363
0.5,0.26,1000,0,0.130529,0.261058
0.5,0.26,1000,0,0.130259,0.260518
0.5,0.26,1000,0,0.130052,0.260103
0.5,0.26,1000,0,0.129766,0.259533
0.5,0.26,1000,0,0.130459,0.260918
0.5,0.26,1000,0,0.130363,0.260727
0.5,0.26,1000,0,0.130003,0.260007
0.5,0.26,1000,0,0.129846,0.259692
0.5,0.27,1000,0,0.135209,0.270419
0.5,0.27,1000,0,0.135768,0.271537
0.5,0.27,1000,0,0.135127,0.270255
0.5,0.27,1000,0,0.134696,0.269393
0.5,0.27,1000,0,0.134597,0.269195
0.5,0.27,1000,0,0.135384,0.270767
0.5,0.27,1000,0,0.134537,0.269073
0.5,0.27,1000,0,0.134318,0.268635
0.5,0.27,1000,0,0.134212,0.268425
0.5,0.27,1000,0,0.135088,0.270176
0.5,0.28,1000,0,0.139825,0.27965
0.5,0.28,1000,0,0.139792,0.279584
0.5,0.28,1000,0,0.140157,0.280313
0.5,0.28,1000,0,0.139555,0.27911
0.5,0.28,1000,0,0.14032,0.280639
0.5,0.28,1000,0,0.139285,0.278571
0.5,0.28,1000,0,0.139968,0.279936
0.5,0.28,1000,0,0.139668,0.279337
0.5,0.28,1000,0,0.139246,0.278493
0.5,0.28,1000,0,0.141089,0.282179
0.5,0.29,1000,0,0.145275,0.29055
0.5,0.29,1000,0,0.144927,0.289854
0.5,0.29,1000,0,0.145354,0.290708
0.5,0.29,1000,0,0.145754,0.291508
0.5,0.29,1000,0,0.144849,0.289697
0.5,0.29,1000,0,0.14556,0.29112
0.5,0.29,1000,0,0.14495,0.289901
0.5,0.29,1000,0,0.144632,0.289264
0.5,0.29,1000,0,0.145017,0.290035
0.5,0.29,1000,0,0.146022,0.292044
0.5,0.3,1000,0,0.150341,0.300681
0.5,0.3,1000,0,0.150012,0.300025
0.5,0.3,1000,0,0.149688,0.299377
0.5,0.3,1000,0,0.14949,0.29898
0.5,0.3,1000,0,0.149972,0.299945
0.5,0.3,1000,0,0.150402,0.300804
0.5,0.3,1000,0,0.15019,0.30038
0.5,0.3,1000,0,0.149793,0.299586
0.5,0.3,1000,0,0.15062,0.301239
0.5,0.3,1000,0,0.150101,0.300201
0.5,0.31,1000,0,0.154371,0.308741
0.5,0.31,1000,0,0.154898,0.309797
0.5,0.31,1000,0,0.154766,0.309532
0.5,0.31,1000,0,0.155167,0.310334
0.5,0.31,1000,0,0.155065,0.310131
0.5,0.31,1000,0,0.155574,0.311149
0.5,0.31,1000,0,0.154308,0.308616
0.5,0.31,1000,0,0.154373,0.308745
0.5,0.31,1000,0,0.155153,0.310306
0.5,0.31,1000,0,0.155037,0.310075
0.5,0.32,1000,0,0.160529,0.321057
0.5,0.32,1000,0,0.160275,0.32055
0.5,0.32,1000,0,0.159605,0.319211
0.5,0.32,1000,0,0.160827,0.321654
0.5,0.32,1000,0,0.160344,0.320688
0.5,0.32,1000,0,0.159897,0.319794
0.5,0.32,1000,0,0.159961,0.319922
0.5,0.32,1000,0,0.160227,0.320454
0.5,0.32,1000,0,0.160098,0.320197
0.5,0.32,1000,0,0.160037,0.320075
0.5,0.33,1000,0,0.165309,0.330617
0.5,0.33,1000,0,0.164817,0.329635
0.5,0.33,1000,0,0.165367,0.330735
0.5,0.33,1000,0,0.164972,0.329944
0.5,0.33,1000,0,0.164976,0.329953
0.5,0.33,1000,0,0.164881,0.329763
0.5,0.33,1000,0,0.165787,0.331574
0.5,0.33,1000,0,0.165059,0.330118
0.5,0.33,1000,0,0.164388,0.328776
0.5,0.33,1000,0,0.165378,0.330757
0.5,0.34,1000,0,0.169795,0.339589
0.5,0.34,1000,0,0.170707,0.341414
0.5,0.34,1000,0,0.170196,0.340392
0.5,0.34,1000,0,0.170219,0.340437
0.5,0.34,1000,0,0.169826,0.339652
0.5,0.34,1000,0,0.170323,0.340647
0.5,0.34,1000,0,0.170225,0.340451
0.5,0.34,1000,0,0.169198,0.338396
0.5,0.34,1000,0,0.170694,0.341387
0.5,0.34,1000,0,0.169734,0.339468
0.5,0.35,1000,0,0.175494,0.350987
0.5,0.35,1000,0,0.174794,0.349588
0.5,0.35,1000,0,0.175369,0.350738
0.5,0.35,1000,0,0.175343,0.350685
0.5,0.35,1000,0,0.175426,0.350852
0.5,0.35,1000,0,0.174934,0.349867
0.5,0.35,1000,0,0.17521,0.350421
0.5,0.35,1000,0,0.175158,0.350316
0.5,0.35,1000,0,0.175637,0.351273
0.5,0.35,1000,0,0.175394,0.350788
0.5,0.36,1000,0,0.180687,0.361374
0.5,0.36,1000,0,0.180111,0.360221
0.5,0.36,1000,0,0.178736,0.357472
0.5,0.36,1000,0,0.181605,0.36321
0.5,0.36,1000,0,0.180306,0.360612
0.5,0.36,1000,0,0.179446,0.358893
0.5,0.36,1000,0,0.179422,0.358845
0.5,0.36,1000,0,0.18057,0.361139
0.5,0.36,1000,0,0.179451,0.358902
0.5,0.36,1000,0,0.17974,0.35948
0.5,0.37,1000,0,0.18447,0.368939
0.5,0.37,1000,0,0.184737,0.369473
0.5,0.37,1000,0,0.184675,0.36935
0.5,0.37,1000,0,0.185206,0.370412
0.5,0.37,1000,0,0.185704,0.371408
0.5,0.37,1000,0,0.184625,0.36925
0.5,0.37,1000,0,0.186118,0.372237
0.5,0.37,1000,0,0.185357,0.370714
0.5,0.37,1000,0,0.185275,0.37055
0.5,0.37,1000,0,0.185638,0.371276
0.5,0.38,1000,0,0.191256,0.382513
0.5,0.38,1000,0,0.190443,0.380887
0.5,0.38,1000,0,0.189721,0.379441
0.5,0.38,1000,0,0.190333,0.380667
0.5,0.38,1000,0,0.19059,0.38118
0.5,0.38,1000,0,0.18928,0.37856
0.5,0.38,1000,0,0.189123,0.378247
0.5,0.38,1000,0,0.189681,0.379361
0.5,0.38,1000,0,0.190166,0.380331
0.5,0.38,1000,0,0.190442,0.380884
0.5,0.39,1000,0,0.194842,0.389685
0.5,0.39,1000,0,0.194596,0.389191
0.5,0.39,1000,0,0.195293,0.390587
0.5,0.39,1000,0,0.196167,0.392334
0.5,0.39,1000,0,0.194575,0.389151
0.5,0.39,1000,0,0.195256,0.390513
0.5,0.39,1000,0,0.194476,0.388952
0.5,0.39,1000,0,0.195502,0.391005
0.5,0.39,1000,0,0.195029,0.390058
0.5,0.39,1000,0,0.195847,0.391695
0.5,0.4,1000,0,0.200133,0.400265
0.5,0.4,1000,0,0.199873,0.399747
0.5,0.4,1000,0,0.200039,0.400078
0.5,0.4,1000,0,0.200399,0.400797
0.5,0.4,1000,0,0.200352,0.400703
0.5,0.4,1000,0,0.200464,0.400927
0.5,0.4,1000,0,0.200289,0.400578
0.5,0.4,1000,0,0.199711,0.399421
0.5,0.4,1000,0,0.19961,0.39922
0.5,0.4,1000,0,0.200734,0.401468
0.5,0.41,1000,0,0.206061,0.412122
0.5,0.41,1000,0,0.205645,0.41129
0.5,0.41,1000,0,0.205059,0.410118
0.5,0.41,1000,0,0.205209,0.410418
0.5,0.41,1000,0,0.205508,0.411015
0.5,0.41,1000,0,0.205899,0.411797
0.5,0.41,1000,0,0.204565,0.40913
0.5,0.41,1000,0,0.20476,0.409521
0.5,0.41,1000,0,0.205124,0.410249
0.5,0.41,1000,0,0.204875,0.40975
0.5,0.42,26,28,0.772669,1
0.5,0.42,1000,0,0.209098,0.418196
0.5,0.42,25,26,0.764973,1
0.5,0.42,1000,0,0.209874,0.419748
0.5,0.42,1000,0,0.209454,0.418907
0.5,0.42,1000,0,0.209793,0.419587
0.5,0.42,1000,0,0.210015,0.42003
0.5,0.42,27,29,0.772731,1
0.5,0.42,1000,0,0.209688,0.419376
0.5,0.42,1000,0,0.210525,0.421051
0.5,0.43,18,19,0.758291,1
0.5,0.43,16,17,0.759476,1
0.5,0.43,19,20,0.75589,1
0.5,0.43,18,19,0.762561,1
0.5,0.43,21,23,0.768017,1
0.5,0.43,27,28,0.763209,1
0.5,0.43,20,21,0.746866,1
0.5,0.43,1000,0,0.215477,0.430954
0.5,0.43,15,17,0.769132,1
0.5,0.43,20,21,0.761695,1
0.5,0.44,14,15,0.756864,1
0.5,0.44,14,16,0.767028,1
0.5,0.44,16,17,0.764376,1
0.5,0.44,16,17,0.762419,1
0.5,0.44,15,16,0.763539,1
0.5,0.44,15,16,0.75407,1
0.5,0.44,14,15,0.762338,1
0.5,0.44,14,15,0.750792,1
0.5,0.44,16,17,0.767358,1
0.5,0.44,15,17,0.767762,1
0.5,0.45,12,13,0.758453,1
0.5,0.45,13,14,0.748752,1
0.5,0.45,13,14,0.755547,1
0.5,0.45,13,14,0.763263,1
0.5,0.45,13,14,0.765376,1
0.5,0.45,13,15,0.772609,1
0.5,0.45,13,14,0.75558,1
0.5,0.45,13,15,0.765532,1
0.5,0.45,13,14,0.754375,1
0.5,0.45,13,14,0.764153,1
0.5,0.46,11,12,0.749323,1
0.5,0.46,12,14,0.772676,1
0.5,0.46,12,14,0.774858,1
0.5,0.46,11,12,0.757185,1
0.5,0.46,12,13,0.768129,1
0.5,0.46,12,13,0.762512,1
0.5,0.46,12,13,0.761217,1
0.5,0.46,12,14,0.771339,1
0.5,0.46,11,12,0.747914,1
0.5,0.46,12,13,0.752291,1
0.5,0.47,11,12,0.757166,1
0.5,0.47,11,12,0.763392,1
0.5,0.47,11,12,0.760197,1
0.5,0.47,11,12,0.767652,1
0.5,0.47,11,12,0.763381,1
0.5,0.47,10,11,0.74853,1
0.5,0.47,11,12,0.766025,1
0.5,0.47,10,12,0.769801,1
0.5,0.47,11,12,0.765023,1
0.5,0.47,10,12,0.769565,1
0.5,0.48,10,11,0.760678,1
0.5,0.48,10,11,0.761234,1
0.5,0.48,9,11,0.766557,1
0.5,0.48,10,11,0.761199,1
0.5,0.48,10,11,0.758619,1
0.5,0.48,10,11,0.754456,1
0.5,0.48,10,11,0.761822,1
0.5,0.48,10,11,0.765009,1
0.5,0.48,10,11,0.76031,1
0.5,0.48,9,11,0.766659,1
0.5,0.49,10,11,0.766406,1
0.5,0.49,9,11,0.772158,1
0.5,0.49,9,11,0.769347,1
0.5,0.49,10,11,0.764904,1
0.5,0.49,9,11,0.772672,1
0.5,0.49,9,11,0.776718,1
0.5,0.49,9,10,0.755705,1
0.5,0.49,10,11,0.765104,1
0.5,0.49,9,11,0.768372,1
0.5,0.49,9,11,0.769565,1
0.5,0.5,9,10,0.763813,1
0.5,0.5,9,10,0.75955,1
0.5,0.5,9,10,0.762651,1
0.5,0.5,9,10,0.752988,1
0.5,0.5,9,10,0.760217,1
0.5,0.5,9,10,0.760452,1
0.5,0.5,9,10,0.756374,1
0.5,0.5,9,10,0.764191,1
0.5,0.5,9,11,0.779292,1
0.5,0.5,9,10,0.758556,1
0.51,0,1000,0,0,0
0.51,0.01,1000,0,0.00500352,0.010007
0.51,0.01,1000,0,0.00496295,0.0099259
0.51,0.01,1000,0,0.00494429,0.00988858
0.51,0.01,1000,0,0.00500644,0.0100129
0.51,0.01,1000,0,0.0050133,0.0100266
0.51,0.01,1000,0,0.00498805,0.0099761
0.51,0.01,1000,0,0.00498736,0.00997472
0.51,0.01,1000,0,0.00502608,0.0100522
0.51,0.01,1000,0,0.00500535,0.0100107
0.51,0.01,1000,0,0.00501848,0.010037
0.51,0.02,1000,0,0.0100251,0.0200501
0.51,0.02,1000,0,0.0100031,0.0200063
0.51,0.02,1000,0,0.00997244,0.0199449
0.51,0.02,1000,0,0.0100201,0.0200403
0.51,0.02,1000,0,0.00996232,0.0199246
0.51,0.02,1000,0,0.0100933,0.0201865
0.51,0.02,1000,0,0.0100659,0.0201318
0.51,0.02,1000,0,0.0100251,0.0200503
0.51,0.02,1000,0,0.00996777,0.0199355
0.51,0.02,1000,0,0.0099561,0.0199122
0.51,0.03,1000,0,0.0150179,0.0300358
0.51,0.03,1000,0,0.0150197,0.0300393
0.51,0.03,1000,0,0.0149964,0.0299927
0.51,0.03,1000,0,0.0149689,0.0299379
0.51,0.03,1000,0,0.0150878,0.0301756
0.51,0.03,1000,0,0.0150049,0.0300099
0.51,0.03,1000,0,0.014984,0.029968
0.51,0.03,1000,0,0.0149305,0.029861
0.51,0.03,1000,0,0.0150844,0.0301688
0.51,0.03,1000,0,0.014985,0.0299701
0.51,0.04,1000,0,0.020026,0.0400519
0.51,0.04,1000,0,0.0199927,0.0399854
0.51,0.04,1000,0,0.0200651,0.0401302
0.51,0.04,1000,0,0.02017,0.04034
0.51,0.04,1000,0,0.0199155,0.039831
0.51,0.04,1000,0,0.0200317,0.0400635
0.51,0.04,1000,0,0.0199979,0.0399958
0.51,0.04,1000,0,0.0199802,0.0399605
0.51,0.04,1000,0,0.0200624,0.0401248
