Germline cut rate,Embryo cut rate,Generations to 99% drive individuals,Generation of maximum drive frequency,Maximum drive frequency,Maximum frequency of individuals with at least one drive
0,0,1000,0,0.0999105,0.199821
0,0,1000,0,0.100461,0.200921
0,0,1000,0,0.0997669,0.199534
0,0,1000,0,0.0999169,0.199834
0,0,1000,0,0.0998139,0.199628
0,0,1000,0,0.100362,0.200724
0,0,1000,0,0.0998913,0.199783
0,0,1000,0,0.100197,0.200394
0,0,1000,0,0.100333,0.200666
0,0,1000,0,0.100571,0.201142
0,0.02,1000,0,0.100144,0.200288
0,0.02,1000,0,0.0994479,0.198896
0,0.02,1000,0,0.100662,0.201324
0,0.02,1000,0,0.0995532,0.199106
0,0.02,1000,0,0.0995556,0.199111
0,0.02,1000,0,0.100022,0.200045
0,0.02,1000,0,0.100395,0.20079
0,0.02,1000,0,0.0992528,0.198506
0,0.02,1000,0,0.100109,0.200218
0,0.02,1000,0,0.0998897,0.199779
0,0.04,1000,0,0.0997232,0.199446
0,0.04,1000,0,0.100098,0.200197
0,0.04,1000,0,0.100213,0.200427
0,0.04,1000,0,0.0997311,0.199462
0,0.04,1000,0,0.100104,0.200208
0,0.04,1000,0,0.0996961,0.199392
0,0.04,1000,0,0.0995413,0.199083
0,0.04,1000,0,0.0997805,0.199561
0,0.04,1000,0,0.0996898,0.19938
0,0.04,1000,0,0.0996532,0.199306
0,0.06,1000,0,0.0999848,0.19997
0,0.06,1000,0,0.0997049,0.19941
0,0.06,1000,0,0.100336,0.200673
0,0.06,1000,0,0.0998642,0.199728
0,0.06,1000,0,0.099681,0.199362
0,0.06,1000,0,0.100008,0.200016
0,0.06,1000,0,0.100365,0.200729
0,0.06,1000,0,0.0999896,0.199979
0,0.06,1000,0,0.0999704,0.199941
0,0.06,1000,0,0.100139,0.200277
0,0.08,1000,0,0.100459,0.200918
0,0.08,1000,0,0.100413,0.200826
0,0.08,1000,0,0.100203,0.200406
0,0.08,1000,0,0.0997439,0.199488
0,0.08,1000,0,0.100348,0.200695
0,0.08,1000,0,0.0996119,0.199224
0,0.08,1000,0,0.100007,0.200014
0,0.08,1000,0,0.0999832,0.199966
0,0.08,1000,0,0.100258,0.200517
0,0.08,1000,0,0.0994107,0.198821
0,0.1,1000,100,0.514774,0.78044
0,0.1,1000,100,0.424665,0.681923
0,0.1,1000,100,0.539269,0.804402
0,0.1,1000,0,0.0995968,0.199194
0,0.1,1000,97,0.121116,0.227962
0,0.1,1000,100,0.113435,0.214597
0,0.1,1000,100,0.256349,0.451754
0,0.1,1000,100,0.154745,0.287122
0,0.1,1000,0,0.0998379,0.199676
0,0.1,1000,100,0.257379,0.452738
0,0.12,79,91,0.931783,1
0,0.12,86,99,0.935607,1
0,0.12,83,97,0.935467,1
0,0.12,76,89,0.935181,1
0,0.12,88,100,0.932884,1
0,0.12,78,95,0.94712,1
0,0.12,68,81,0.936734,1
0,0.12,78,93,0.941743,1
0,0.12,81,98,0.944202,1
0,0.12,85,99,0.938047,1
0,0.14,59,71,0.933327,1
0,0.14,54,65,0.930676,1
0,0.14,63,75,0.933857,1
0,0.14,58,70,0.931505,1
0,0.14,62,76,0.934316,1
0,0.14,62,75,0.934476,1
0,0.14,62,75,0.936218,1
0,0.14,60,73,0.932923,1
0,0.14,59,71,0.932054,1
0,0.14,63,76,0.935058,1
0,0.16,49,61,0.931912,1
0,0.16,51,62,0.933045,1
0,0.16,55,65,0.924286,1
0,0.16,48,59,0.930621,1
0,0.16,51,63,0.935067,1
0,0.16,51,62,0.929187,1
0,0.16,50,61,0.927907,1
0,0.16,46,59,0.936479,1
0,0.16,52,62,0.925428,1
0,0.16,53,64,0.932157,1
0,0.18,44,54,0.925047,1
0,0.18,42,51,0.919878,1
0,0.18,44,53,0.92085,1
0,0.18,44,53,0.919581,1
0,0.18,42,51,0.924879,1
0,0.18,40,50,0.926535,1
0,0.18,45,57,0.934774,1
0,0.18,42,53,0.92789,1
0,0.18,42,49,0.907283,1
0,0.18,43,53,0.927855,1
0,0.2,39,49,0.923954,1
0,0.2,39,48,0.921771,1
0,0.2,39,49,0.92724,1
0,0.2,38,47,0.922846,1
0,0.2,39,49,0.92476,1
0,0.2,38,48,0.927889,1
0,0.2,39,46,0.910564,1
0,0.2,40,48,0.915987,1
0,0.2,37,48,0.9276,1
0,0.2,37,47,0.922119,1
0,0.22,34,41,0.908818,1
0,0.22,34,42,0.914132,1
0,0.22,36,44,0.916411,1
0,0.22,35,43,0.91385,1
0,0.22,35,43,0.913347,1
0,0.22,32,39,0.908663,1
0,0.22,34,42,0.918473,1
0,0.22,33,41,0.914342,1
0,0.22,34,41,0.913201,1
0,0.22,34,41,0.910614,1
0,0.24,32,41,0.919669,1
0,0.24,31,40,0.917154,1
0,0.24,30,36,0.903416,1
0,0.24,31,37,0.898465,1
0,0.24,32,39,0.908208,1
0,0.24,32,40,0.918179,1
0,0.24,31,37,0.902239,1
0,0.24,31,38,0.910443,1
0,0.24,31,39,0.916659,1
0,0.24,32,38,0.899677,1
0,0.26,28,37,0.917257,1
0,0.26,29,36,0.908055,1
0,0.26,28,35,0.905167,1
0,0.26,29,34,0.894599,1
0,0.26,29,37,0.912068,1
0,0.26,29,36,0.909564,1
0,0.26,29,37,0.911075,1
0,0.26,29,35,0.905402,1
0,0.26,28,34,0.899502,1
