Drive homozygote fitness,Introduction frequency,Generations to 99% drive individuals,Generation of maximum drive frequency,Maximum drive frequency,Maximum frequency of individuals with at least one drive
0.5,0,1000,0,0,0
0.5,0.01,1000,0,0.00498362,0.00996724
0.5,0.01,1000,0,0.004979,0.009958
0.5,0.01,1000,0,0.00504813,0.0100963
0.5,0.01,1000,0,0.00502798,0.010056
0.5,0.01,1000,0,0.00498706,0.00997413
0.5,0.01,1000,0,0.00501744,0.0100349
0.5,0.01,1000,0,0.00499076,0.00998152
0.5,0.01,1000,0,0.00496891,0.00993781
0.5,0.01,1000,0,0.00500848,0.010017
0.5,0.01,1000,0,0.00502238,0.0100448
0.5,0.02,1000,0,0.00999814,0.0199963
0.5,0.02,1000,0,0.00995522,0.0199104
0.5,0.02,1000,0,0.010054,0.020108
0.5,0.02,1000,0,0.0100105,0.020021
0.5,0.02,1000,0,0.0100302,0.0200603
0.5,0.02,1000,0,0.0100171,0.0200342
0.5,0.02,1000,0,0.0099739,0.0199478
0.5,0.02,1000,0,0.00990161,0.0198032
0.5,0.02,1000,0,0.0100734,0.0201469
0.5,0.02,1000,0,0.010027,0.020054
0.5,0.03,1000,0,0.0150001,0.0300003
0.5,0.03,1000,0,0.015049,0.0300981
0.5,0.03,1000,0,0.014897,0.029794
0.5,0.03,1000,0,0.0150192,0.0300385
0.5,0.03,1000,0,0.0150047,0.0300093
0.5,0.03,1000,0,0.0150534,0.0301069
0.5,0.03,1000,0,0.0149834,0.0299669
0.5,0.03,1000,0,0.0150821,0.0301641
0.5,0.03,1000,0,0.014972,0.0299439
0.5,0.03,1000,0,0.0150802,0.0301603
0.5,0.04,1000,0,0.0199575,0.0399149
0.5,0.04,1000,0,0.0200154,0.0400307
0.5,0.04,1000,0,0.0200753,0.0401507
0.5,0.04,1000,0,0.0201174,0.0402348
0.5,0.04,1000,0,0.0202384,0.0404767
0.5,0.04,1000,0,0.0199088,0.0398177
0.5,0.04,1000,0,0.0199239,0.0398478
0.5,0.04,1000,0,0.0199577,0.0399153
0.5,0.04,1000,0,0.019914,0.039828
0.5,0.04,1000,0,0.0200738,0.0401476
0.5,0.05,1000,0,0.0249625,0.0499251
0.5,0.05,1000,0,0.0250571,0.0501143
0.5,0.05,1000,0,0.024958,0.0499161
0.5,0.05,1000,0,0.02505,0.0501
0.5,0.05,1000,0,0.0250877,0.0501754
0.5,0.05,1000,0,0.0249623,0.0499246
0.5,0.05,1000,0,0.0250519,0.0501038
0.5,0.05,1000,0,0.0251224,0.0502449
0.5,0.05,1000,0,0.0252062,0.0504124
0.5,0.05,1000,0,0.0250471,0.0500942
0.5,0.06,1000,0,0.0300504,0.0601007
0.5,0.06,1000,0,0.0299489,0.0598977
0.5,0.06,1000,0,0.0300637,0.0601274
0.5,0.06,1000,0,0.0298497,0.0596994
0.5,0.06,1000,0,0.0299477,0.0598955
0.5,0.06,1000,0,0.02986,0.0597201
0.5,0.06,1000,0,0.0300391,0.0600781
0.5,0.06,1000,0,0.0302397,0.0604794
0.5,0.06,1000,0,0.030071,0.0601421
0.5,0.06,1000,0,0.0297207,0.0594414
0.5,0.07,1000,0,0.0349595,0.0699191
0.5,0.07,1000,0,0.0351963,0.0703925
0.5,0.07,1000,0,0.0346142,0.0692284
0.5,0.07,1000,0,0.0349307,0.0698613
0.5,0.07,1000,0,0.034884,0.0697681
0.5,0.07,1000,0,0.0348227,0.0696454
0.5,0.07,1000,0,0.0351011,0.0702021
0.5,0.07,1000,0,0.0348937,0.0697875
0.5,0.07,1000,0,0.0352009,0.0704017
0.5,0.07,1000,0,0.0347093,0.0694187
0.5,0.08,1000,0,0.0401804,0.0803608
0.5,0.08,1000,0,0.0403089,0.0806178
0.5,0.08,1000,0,0.0400815,0.080163
0.5,0.08,1000,0,0.0399522,0.0799044
0.5,0.08,1000,0,0.0397906,0.0795812
0.5,0.08,1000,0,0.0400726,0.0801452
0.5,0.08,1000,0,0.0399137,0.0798274
0.5,0.08,1000,0,0.0400424,0.0800847
0.5,0.08,1000,0,0.0401403,0.0802806
0.5,0.08,1000,0,0.0397368,0.0794736
0.5,0.09,1000,0,0.0448469,0.0896938
0.5,0.09,1000,0,0.0449513,0.0899026
0.5,0.09,1000,0,0.0449027,0.0898054
0.5,0.09,1000,0,0.0450935,0.090187
0.5,0.09,1000,0,0.0449162,0.0898323
0.5,0.09,1000,0,0.0449627,0.0899254
0.5,0.09,1000,0,0.0451409,0.0902817
0.5,0.09,1000,0,0.0449987,0.0899975
0.5,0.09,1000,0,0.0449035,0.089807
0.5,0.09,1000,0,0.0451149,0.0902298
0.5,0.1,1000,0,0.0500189,0.100038
0.5,0.1,1000,0,0.0497368,0.0994736
0.5,0.1,1000,0,0.0497332,0.0994665
0.5,0.1,1000,0,0.0500275,0.100055
0.5,0.1,1000,0,0.0502215,0.100443
0.5,0.1,1000,0,0.0499766,0.0999532
0.5,0.1,1000,0,0.0502683,0.100537
0.5,0.1,1000,0,0.0501046,0.100209
0.5,0.1,1000,0,0.0498327,0.0996654
0.5,0.1,1000,0,0.049687,0.0993739
0.5,0.11,1000,0,0.0550238,0.110048
0.5,0.11,1000,0,0.0550312,0.110062
0.5,0.11,1000,0,0.055148,0.110296
0.5,0.11,1000,0,0.054763,0.109526
0.5,0.11,1000,0,0.0548709,0.109742
0.5,0.11,1000,0,0.054868,0.109736
0.5,0.11,1000,0,0.054744,0.109488
0.5,0.11,1000,0,0.0546791,0.109358
0.5,0.11,1000,0,0.0547256,0.109451
0.5,0.11,1000,0,0.0545638,0.109128
0.5,0.12,1000,0,0.0598207,0.119641
0.5,0.12,1000,0,0.0602148,0.12043
0.5,0.12,1000,0,0.0600261,0.120052
0.5,0.12,1000,0,0.0601277,0.120255
0.5,0.12,1000,0,0.060016,0.120032
0.5,0.12,1000,0,0.0600076,0.120015
0.5,0.12,1000,0,0.06008,0.12016
0.5,0.12,1000,0,0.0602792,0.120558
0.5,0.12,1000,0,0.059795,0.11959
0.5,0.12,1000,0,0.0601611,0.120322
0.5,0.13,1000,0,0.0650952,0.13019
0.5,0.13,1000,0,0.0650941,0.130188
0.5,0.13,1000,0,0.0649684,0.129937
0.5,0.13,1000,0,0.0649267,0.129853
0.5,0.13,1000,0,0.0648067,0.129613
0.5,0.13,1000,0,0.0648399,0.12968
0.5,0.13,1000,0,0.065021,0.130042
0.5,0.13,1000,0,0.0648641,0.129728
0.5,0.13,1000,0,0.0647842,0.129568
0.5,0.13,1000,0,0.0649447,0.129889
0.5,0.14,1000,0,0.0703069,0.140614
0.5,0.14,1000,0,0.0700696,0.140139
0.5,0.14,1000,0,0.0697287,0.139457
0.5,0.14,1000,0,0.0698783,0.139757
0.5,0.14,1000,0,0.07015,0.1403
0.5,0.14,1000,0,0.0697939,0.139588
0.5,0.14,1000,0,0.0698232,0.139646
0.5,0.14,1000,0,0.0703233,0.140647
0.5,0.14,1000,0,0.069426,0.138852
0.5,0.14,1000,0,0.0700594,0.140119
0.5,0.15,1000,0,0.0750987,0.150197
0.5,0.15,1000,0,0.0751326,0.150265
0.5,0.15,1000,0,0.074394,0.148788
0.5,0.15,1000,0,0.0748249,0.14965
0.5,0.15,1000,0,0.07504,0.15008
0.5,0.15,1000,0,0.074882,0.149764
0.5,0.15,1000,0,0.0752659,0.150532
0.5,0.15,1000,0,0.0747735,0.149547
0.5,0.15,1000,0,0.0747501,0.1495
0.5,0.15,1000,0,0.0748693,0.149739
0.5,0.16,1000,0,0.0800679,0.160136
0.5,0.16,1000,0,0.0799832,0.159966
0.5,0.16,1000,0,0.0801326,0.160265
0.5,0.16,1000,0,0.0796641,0.159328
0.5,0.16,1000,0,0.0800908,0.160182
0.5,0.16,1000,0,0.0801751,0.16035
0.5,0.16,1000,0,0.0800114,0.160023
0.5,0.16,1000,0,0.0799215,0.159843
0.5,0.16,1000,0,0.0797421,0.159484
0.5,0.16,1000,0,0.0799684,0.159937
0.5,0.17,1000,0,0.0849206,0.169841
0.5,0.17,1000,0,0.0848713,0.169743
0.5,0.17,1000,0,0.0853566,0.170713
0.5,0.17,1000,0,0.0846119,0.169224
0.5,0.17,1000,0,0.0849389,0.169878
0.5,0.17,1000,0,0.0843505,0.168701
0.5,0.17,1000,0,0.0853225,0.170645
0.5,0.17,1000,0,0.0848418,0.169684
0.5,0.17,1000,0,0.0847983,0.169597
0.5,0.17,1000,0,0.0848278,0.169656
0.5,0.18,1000,0,0.0901338,0.180268
0.5,0.18,1000,0,0.0901419,0.180284
0.5,0.18,1000,0,0.0894747,0.178949
0.5,0.18,1000,0,0.0895447,0.179089
0.5,0.18,1000,0,0.0899336,0.179867
0.5,0.18,1000,0,0.0906123,0.181225
0.5,0.18,1000,0,0.0900753,0.180151
0.5,0.18,1000,0,0.0900635,0.180127
0.5,0.18,1000,0,0.0901945,0.180389
0.5,0.18,1000,0,0.0904815,0.180963
0.5,0.19,1000,0,0.0952553,0.190511
0.5,0.19,1000,0,0.0955206,0.191041
0.5,0.19,1000,0,0.0947482,0.189496
0.5,0.19,1000,0,0.0945412,0.189082
0.5,0.19,1000,0,0.0949961,0.189992
0.5,0.19,1000,0,0.0950361,0.190072
0.5,0.19,1000,0,0.0948793,0.189759
0.5,0.19,1000,0,0.0948332,0.189666
0.5,0.19,1000,0,0.0951363,0.190273
0.5,0.19,1000,0,0.0954569,0.190914
0.5,0.2,1000,0,0.100579,0.201157
0.5,0.2,1000,0,0.099976,0.199952
0.5,0.2,1000,0,0.100173,0.200346
0.5,0.2,1000,0,0.100385,0.200771
0.5,0.2,1000,0,0.0992883,0.198577
0.5,0.2,1000,0,0.100233,0.200465
0.5,0.2,1000,0,0.100193,0.200386
0.5,0.2,1000,0,0.0997932,0.199586
0.5,0.2,1000,0,0.100677,0.201355
0.5,0.2,1000,0,0.100388,0.200776
0.5,0.21,1000,0,0.104889,0.209778
0.5,0.21,1000,0,0.105725,0.21145
0.5,0.21,1000,0,0.104844,0.209688
0.5,0.21,1000,0,0.105877,0.211755
0.5,0.21,1000,0,0.105036,0.210073
0.5,0.21,1000,0,0.10486,0.20972
0.5,0.21,1000,0,0.10483,0.20966
0.5,0.21,1000,0,0.104609,0.209218
0.5,0.21,1000,0,0.104634,0.209268
0.5,0.21,1000,0,0.104751,0.209502
0.5,0.22,1000,0,0.109491,0.218981
0.5,0.22,1000,0,0.109917,0.219835
0.5,0.22,1000,0,0.109078,0.218156
0.5,0.22,1000,0,0.11054,0.22108
0.5,0.22,1000,0,0.110467,0.220935
0.5,0.22,1000,0,0.109623,0.219245
0.5,0.22,1000,0,0.110681,0.221362
0.5,0.22,1000,0,0.110174,0.220348
0.5,0.22,1000,0,0.109555,0.219111
0.5,0.22,1000,0,0.110197,0.220395
0.5,0.23,1000,0,0.115367,0.230735
0.5,0.23,1000,0,0.115232,0.230464
0.5,0.23,1000,0,0.114798,0.229596
0.5,0.23,1000,0,0.11548,0.23096
0.5,0.23,1000,0,0.114706,0.229413
0.5,0.23,1000,0,0.11428,0.22856
0.5,0.23,1000,0,0.115021,0.230042
0.5,0.23,1000,0,0.114354,0.228708
0.5,0.23,1000,0,0.114691,0.229383
0.5,0.23,1000,0,0.114625,0.229251
0.5,0.24,1000,0,0.120519,0.241039
0.5,0.24,1000,0,0.120727,0.241454
0.5,0.24,1000,0,0.119996,0.239991
0.5,0.24,1000,0,0.120326,0.240651
0.5,0.24,1000,0,0.119639,0.239278
0.5,0.24,1000,0,0.120189,0.240378
0.5,0.24,1000,0,0.119771,0.239542
0.5,0.24,1000,0,0.119788,0.239576
0.5,0.24,1000,0,0.11982,0.23964
0.5,0.24,1000,0,0.120152,0.240303
0.5,0.25,1000,0,0.124562,0.249124
0.5,0.25,1000,0,0.123699,0.247399
0.5,0.25,1000,0,0.124963,0.249925
0.5,0.25,1000,0,0.124581,0.249163
0.5,0.25,1000,0,0.125117,0.250235
0.5,0.25,1000,0,0.125038,0.250077
0.5,0.25,1000,0,0.125443,0.250886
0.5,0.25,1000,0,0.125813,0.251627
0.5,0.25,1000,0,0.124708,0.249416
0.5,0.25,1000,0,0.123676,0.247353
0.5,0.26,1000,0,0.129477,0.258955
0.5,0.26,1000,0,0.130335,0.260671
0.5,0.26,1000,0,0.130415,0.260829
0.5,0.26,1000,0,0.130026,0.260051
0.5,0.26,1000,0,0.129106,0.258213
0.5,0.26,1000,0,0.130419,0.260839
0.5,0.26,1000,0,0.130246,0.260493
0.5,0.26,1000,0,0.13057,0.261139
0.5,0.26,1000,0,0.129265,0.25853
0.5,0.26,1000,0,0.130065,0.26013
0.5,0.27,1000,0,0.135572,0.271144
0.5,0.27,1000,0,0.13484,0.269679
0.5,0.27,1000,0,0.135658,0.271315
0.5,0.27,1000,0,0.135073,0.270146
0.5,0.27,1000,0,0.135234,0.270468
0.5,0.27,1000,0,0.135421,0.270843
0.5,0.27,1000,0,0.135266,0.270532
0.5,0.27,1000,0,0.134937,0.269874
0.5,0.27,1000,0,0.135231,0.270462
0.5,0.27,1000,0,0.135106,0.270211
0.5,0.28,1000,0,0.140763,0.281527
0.5,0.28,1000,0,0.141068,0.282136
0.5,0.28,1000,0,0.140089,0.280178
0.5,0.28,1000,0,0.139757,0.279514
0.5,0.28,1000,0,0.140306,0.280613
0.5,0.28,1000,0,0.140395,0.280789
0.5,0.28,1000,0,0.140783,0.281566
0.5,0.28,1000,0,0.140233,0.280465
0.5,0.28,1000,0,0.140185,0.28037
0.5,0.28,1000,0,0.139998,0.279997
0.5,0.29,1000,0,0.145167,0.290334
0.5,0.29,1000,0,0.144803,0.289607
0.5,0.29,1000,0,0.144782,0.289564
0.5,0.29,1000,0,0.145041,0.290082
0.5,0.29,1000,0,0.145019,0.290039
0.5,0.29,1000,0,0.145243,0.290486
0.5,0.29,1000,0,0.144323,0.288645
0.5,0.29,1000,0,0.144692,0.289383
0.5,0.29,1000,0,0.144897,0.289794
0.5,0.29,1000,0,0.14617,0.292341
0.5,0.3,1000,0,0.150429,0.300859
0.5,0.3,1000,0,0.1498,0.299601
0.5,0.3,1000,0,0.148808,0.297616
0.5,0.3,1000,0,0.150236,0.300473
0.5,0.3,1000,0,0.150268,0.300536
0.5,0.3,1000,0,0.149486,0.298972
0.5,0.3,1000,0,0.150333,0.300666
0.5,0.3,1000,0,0.149472,0.298945
0.5,0.3,1000,0,0.150486,0.300973
0.5,0.3,1000,0,0.150736,0.301472
0.5,0.31,1000,0,0.155568,0.311136
0.5,0.31,1000,0,0.155762,0.311524
0.5,0.31,1000,0,0.154847,0.309694
0.5,0.31,1000,0,0.15501,0.310019
0.5,0.31,1000,0,0.155715,0.311429
0.5,0.31,1000,0,0.154728,0.309456
0.5,0.31,1000,0,0.155431,0.310862
0.5,0.31,1000,0,0.154404,0.308809
0.5,0.31,1000,0,0.155471,0.310942
0.5,0.31,1000,0,0.155473,0.310946
0.5,0.32,1000,0,0.160198,0.320395
0.5,0.32,1000,0,0.16008,0.32016
0.5,0.32,1000,0,0.159692,0.319384
0.5,0.32,1000,0,0.159756,0.319512
0.5,0.32,1000,0,0.159237,0.318474
0.5,0.32,1000,0,0.160681,0.321362
0.5,0.32,1000,0,0.16031,0.32062
0.5,0.32,1000,0,0.160352,0.320703
0.5,0.32,1000,0,0.159399,0.318798
0.5,0.32,1000,0,0.159574,0.319148
0.5,0.33,1000,0,0.165475,0.33095
0.5,0.33,1000,0,0.165212,0.330424
0.5,0.33,1000,0,0.165228,0.330455
0.5,0.33,1000,0,0.165235,0.330471
0.5,0.33,1000,0,0.164407,0.328814
0.5,0.33,1000,0,0.164632,0.329264
0.5,0.33,1000,0,0.164919,0.329838
0.5,0.33,1000,0,0.164569,0.329139
0.5,0.33,1000,0,0.164276,0.328553
0.5,0.33,1000,0,0.164848,0.329696
0.5,0.34,1000,0,0.169905,0.339811
0.5,0.34,1000,0,0.169885,0.339771
0.5,0.34,1000,0,0.169444,0.338888
