Germline cut rate,Embryo cut rate,Generations to 99% drive individuals,Generation of maximum drive frequency,Maximum drive frequency,Maximum frequency of individuals with at least one drive
0,0,1000,0,0.100062,0.200125
0,0,1000,0,0.0993854,0.198771
0,0,1000,0,0.0998411,0.199682
0,0,1000,0,0.100427,0.200853
0,0,1000,0,0.100427,0.200853
0,0,1000,0,0.100431,0.200861
0,0,1000,0,0.0997956,0.199591
0,0,1000,0,0.0998937,0.199787
0,0,1000,0,0.0995453,0.199091
0,0,1000,0,0.0997216,0.199443
0,0.02,1000,0,0.100102,0.200203
0,0.02,1000,0,0.10001,0.200019
0,0.02,1000,0,0.0997869,0.199574
0,0.02,1000,0,0.10066,0.201321
0,0.02,1000,0,0.0999464,0.199893
0,0.02,1000,0,0.10012,0.20024
0,0.02,1000,0,0.100463,0.200926
0,0.02,1000,0,0.100562,0.201123
0,0.02,1000,0,0.0997956,0.199591
0,0.02,1000,0,0.100326,0.200652
0,0.04,1000,0,0.0996461,0.199292
0,0.04,1000,0,0.100247,0.200494
0,0.04,1000,0,0.100404,0.200808
0,0.04,1000,0,0.0999488,0.199898
0,0.04,1000,0,0.0998506,0.199701
0,0.04,1000,0,0.100037,0.200074
0,0.04,1000,0,0.100376,0.200752
0,0.04,1000,0,0.100392,0.200784
0,0.04,1000,0,0.0997407,0.199481
0,0.04,1000,0,0.100192,0.200385
0,0.06,1000,0,0.100085,0.20017
0,0.06,1000,0,0.099658,0.199316
0,0.06,1000,0,0.0994273,0.198855
0,0.06,1000,0,0.0995905,0.199181
0,0.06,1000,0,0.0999225,0.199845
0,0.06,1000,0,0.0995413,0.199083
0,0.06,1000,0,0.0998578,0.199716
0,0.06,1000,0,0.0996429,0.199286
0,0.06,1000,0,0.0994392,0.198878
0,0.06,1000,0,0.100071,0.200143
0,0.08,1000,0,0.100678,0.201356
0,0.08,1000,0,0.0998219,0.199644
0,0.08,1000,0,0.0996826,0.199365
0,0.08,1000,0,0.0999368,0.199874
0,0.08,1000,0,0.100139,0.200277
0,0.08,1000,0,0.0999832,0.199966
0,0.08,1000,0,0.0999153,0.199831
0,0.08,1000,0,0.0995484,0.199097
0,0.08,1000,0,0.100167,0.200333
0,0.08,1000,0,0.100233,0.200465
0,0.1,1000,0,0.100186,0.200372
0,0.1,1000,0,0.0998387,0.199677
0,0.1,1000,0,0.0996111,0.199222
0,0.1,1000,0,0.0997805,0.199561
0,0.1,1000,0,0.100127,0.200255
0,0.1,1000,0,0.100799,0.201598
0,0.1,1000,0,0.100588,0.201176
0,0.1,1000,0,0.100154,0.200308
