Drive homozygote fitness,Introduction frequency,Generations to 99% drive individuals difference,Generations to 99% drive individuals,Generation of maximum drive frequency,Maximum drive frequency,Maximum frequency of individuals with at least one drive
0.5,0,0,1000,0,0,0
0.5,0.01,0,1000,0,0.005015,0.01003
0.5,0.01,0,1000,0,0.00498416,0.00996832
0.5,0.01,0,1000,0,0.00498667,0.00997334
0.5,0.01,0,1000,0,0.00501704,0.0100341
0.5,0.01,0,1000,0,0.00497077,0.00994153
0.5,0.01,0,1000,0,0.00502603,0.0100521
0.5,0.01,0,1000,0,0.00498519,0.00997038
0.5,0.01,0,1000,0,0.00497503,0.00995005
0.5,0.01,0,1000,0,0.00499338,0.00998675
0.5,0.01,0,1000,0,0.00503942,0.0100788
0.5,0.02,0,1000,0,0.00998464,0.0199693
0.5,0.02,0,1000,0,0.0100448,0.0200896
0.5,0.02,0,1000,0,0.0100422,0.0200844
0.5,0.02,0,1000,0,0.00997556,0.0199511
0.5,0.02,0,1000,0,0.00997361,0.0199472
0.5,0.02,0,1000,0,0.0100465,0.0200929
0.5,0.02,0,1000,0,0.00997585,0.0199517
0.5,0.02,0,1000,0,0.00999452,0.019989
0.5,0.02,0,1000,0,0.00998816,0.0199763
0.5,0.02,0,1000,0,0.010048,0.0200959
0.5,0.03,0,1000,0,0.0149942,0.0299884
0.5,0.03,0,1000,0,0.0149999,0.0299997
0.5,0.03,0,1000,0,0.0150385,0.030077
0.5,0.03,0,1000,0,0.0149879,0.0299759
0.5,0.03,0,1000,0,0.0151569,0.0303137
0.5,0.03,0,1000,0,0.0150577,0.0301154
0.5,0.03,0,1000,0,0.0149652,0.0299303
0.5,0.03,0,1000,0,0.0149863,0.0299727
0.5,0.03,0,1000,0,0.0149432,0.0298864
0.5,0.03,0,1000,0,0.0149727,0.0299454
0.5,0.04,0,1000,0,0.0198453,0.0396906
0.5,0.04,0,1000,0,0.0200215,0.0400431
0.5,0.04,0,1000,0,0.0200046,0.0400092
0.5,0.04,0,1000,0,0.0198678,0.0397357
0.5,0.04,0,1000,0,0.0200553,0.0401105
0.5,0.04,0,1000,0,0.0201077,0.0402154
0.5,0.04,0,1000,0,0.020051,0.040102
0.5,0.04,0,1000,0,0.0200396,0.0400793
0.5,0.04,0,1000,0,0.0200231,0.0400461
0.5,0.04,0,1000,0,0.020118,0.040236
0.5,0.05,0,1000,0,0.0250502,0.0501004
0.5,0.05,0,1000,0,0.0250214,0.0500428
0.5,0.05,0,1000,0,0.0249138,0.0498277
0.5,0.05,0,1000,0,0.0250259,0.0500518
0.5,0.05,0,1000,0,0.0250994,0.0501989
0.5,0.05,0,1000,0,0.0250264,0.0500528
0.5,0.05,0,1000,0,0.0248602,0.0497204
0.5,0.05,0,1000,0,0.0248703,0.0497406
0.5,0.05,0,1000,0,0.0250128,0.0500257
0.5,0.05,0,1000,0,0.0250693,0.0501386
0.5,0.06,0,1000,0,0.0302552,0.0605104
0.5,0.06,0,1000,0,0.0299093,0.0598186
0.5,0.06,0,1000,0,0.0300218,0.0600436
0.5,0.06,0,1000,0,0.0300688,0.0601376
0.5,0.06,0,1000,0,0.0298774,0.0597547
0.5,0.06,0,1000,0,0.0299683,0.0599365
0.5,0.06,0,1000,0,0.0300139,0.0600278
0.5,0.06,0,1000,0,0.0300507,0.0601013
0.5,0.06,0,1000,0,0.0301888,0.0603776
0.5,0.06,0,1000,0,0.0301768,0.0603536
0.5,0.07,0,1000,0,0.0349109,0.0698218
0.5,0.07,0,1000,0,0.0347033,0.0694065
0.5,0.07,0,1000,0,0.034898,0.0697959
0.5,0.07,0,1000,0,0.035488,0.070976
0.5,0.07,0,1000,0,0.0349924,0.0699848
0.5,0.07,0,1000,0,0.0351309,0.0702617
0.5,0.07,0,1000,0,0.0350553,0.0701106
0.5,0.07,0,1000,0,0.035086,0.070172
0.5,0.07,0,1000,0,0.0351381,0.0702762
0.5,0.07,0,1000,0,0.0352259,0.0704518
0.5,0.08,0,1000,0,0.0398439,0.0796877
0.5,0.08,0,1000,0,0.0398749,0.0797498
0.5,0.08,0,1000,0,0.0398249,0.0796497
0.5,0.08,0,1000,0,0.0399982,0.0799963
0.5,0.08,0,1000,0,0.0401318,0.0802636
0.5,0.08,0,1000,0,0.0401174,0.0802347
0.5,0.08,0,1000,0,0.0402153,0.0804306
0.5,0.08,0,1000,0,0.0403377,0.0806754
0.5,0.08,0,1000,0,0.0400571,0.0801142
0.5,0.08,0,1000,0,0.0400372,0.0800744
0.5,0.09,0,1000,0,0.044786,0.089572
0.5,0.09,0,1000,0,0.0450939,0.0901879
0.5,0.09,0,1000,0,0.0444702,0.0889404
0.5,0.09,0,1000,0,0.0450184,0.0900368
0.5,0.09,0,1000,0,0.0450779,0.0901558
0.5,0.09,0,1000,0,0.044497,0.0889941
0.5,0.09,0,1000,0,0.0454499,0.0908999
0.5,0.09,0,1000,0,0.0451236,0.0902471
0.5,0.09,0,1000,0,0.0448742,0.0897484
0.5,0.09,0,1000,0,0.044888,0.0897761
0.5,0.1,0,1000,0,0.0500383,0.100077
0.5,0.1,0,1000,0,0.0500428,0.100086
0.5,0.1,0,1000,0,0.04996,0.09992
0.5,0.1,0,1000,0,0.0497809,0.0995618
0.5,0.1,0,1000,0,0.0497346,0.0994691
0.5,0.1,0,1000,0,0.0498739,0.0997477
0.5,0.1,0,1000,0,0.049839,0.0996779
0.5,0.1,0,1000,0,0.0497675,0.0995351
0.5,0.1,0,1000,0,0.0497412,0.0994825
0.5,0.1,0,1000,0,0.0501182,0.100236
0.5,0.11,0,1000,0,0.0548383,0.109677
0.5,0.11,0,1000,0,0.0552037,0.110407
0.5,0.11,0,1000,0,0.0552121,0.110424
0.5,0.11,0,1000,0,0.0551648,0.11033
0.5,0.11,0,1000,0,0.0549827,0.109965
0.5,0.11,0,1000,0,0.0550469,0.110094
0.5,0.11,0,1000,0,0.0550866,0.110173
0.5,0.11,0,1000,0,0.0553387,0.110677
0.5,0.11,0,1000,0,0.0548631,0.109726
0.5,0.11,0,1000,0,0.0547567,0.109513
0.5,0.12,0,1000,0,0.0596104,0.119221
0.5,0.12,0,1000,0,0.0600065,0.120013
0.5,0.12,0,1000,0,0.0603502,0.1207
0.5,0.12,0,1000,0,0.059719,0.119438
0.5,0.12,0,1000,0,0.0603908,0.120782
0.5,0.12,0,1000,0,0.060276,0.120552
0.5,0.12,0,1000,0,0.059807,0.119614
0.5,0.12,0,1000,0,0.0599142,0.119828
0.5,0.12,0,1000,0,0.0597138,0.119428
0.5,0.12,0,1000,0,0.0603107,0.120621
0.5,0.13,0,1000,0,0.0647651,0.12953
0.5,0.13,0,1000,0,0.064782,0.129564
0.5,0.13,0,1000,0,0.0652385,0.130477
0.5,0.13,0,1000,0,0.0645854,0.129171
0.5,0.13,0,1000,0,0.0648455,0.129691
0.5,0.13,0,1000,0,0.0654947,0.130989
0.5,0.13,0,1000,0,0.0650544,0.130109
0.5,0.13,0,1000,0,0.0654344,0.130869
0.5,0.13,0,1000,0,0.0652938,0.130588
0.5,0.13,0,1000,0,0.0649317,0.129863
0.5,0.14,0,1000,0,0.0703045,0.140609
0.5,0.14,0,1000,0,0.0702014,0.140403
0.5,0.14,0,1000,0,0.0697287,0.139457
0.5,0.14,0,1000,0,0.07006,0.14012
0.5,0.14,0,1000,0,0.0698418,0.139684
0.5,0.14,0,1000,0,0.0698268,0.139654
0.5,0.14,0,1000,0,0.0701542,0.140308
0.5,0.14,0,1000,0,0.0702317,0.140463
0.5,0.14,0,1000,0,0.0697586,0.139517
0.5,0.14,0,1000,0,0.0699901,0.13998
0.5,0.15,0,1000,0,0.0751525,0.150305
0.5,0.15,0,1000,0,0.0745008,0.149002
0.5,0.15,0,1000,0,0.0754758,0.150952
0.5,0.15,0,1000,0,0.0745039,0.149008
0.5,0.15,0,1000,0,0.0748846,0.149769
0.5,0.15,0,1000,0,0.0749819,0.149964
0.5,0.15,0,1000,0,0.0746375,0.149275
0.5,0.15,0,1000,0,0.07491,0.14982
0.5,0.15,0,1000,0,0.075054,0.150108
0.5,0.15,0,1000,0,0.0752961,0.150592
0.5,0.16,0,1000,0,0.0798973,0.159795
0.5,0.16,0,1000,0,0.0803849,0.16077
0.5,0.16,0,1000,0,0.080593,0.161186
0.5,0.16,0,1000,0,0.0796421,0.159284
0.5,0.16,0,1000,0,0.0804405,0.160881
0.5,0.16,0,1000,0,0.0795762,0.159152
0.5,0.16,0,1000,0,0.0800572,0.160114
0.5,0.16,0,1000,0,0.0800457,0.160091
0.5,0.16,0,1000,0,0.0803062,0.160612
0.5,0.16,0,1000,0,0.0798946,0.159789
0.5,0.17,0,1000,0,0.0847954,0.169591
0.5,0.17,0,1000,0,0.0849382,0.169876
0.5,0.17,0,1000,0,0.0849199,0.16984
0.5,0.17,0,1000,0,0.084813,0.169626
0.5,0.17,0,1000,0,0.0846959,0.169392
0.5,0.17,0,1000,0,0.0853324,0.170665
0.5,0.17,0,1000,0,0.084953,0.169906
0.5,0.17,0,1000,0,0.0850631,0.170126
0.5,0.17,0,1000,0,0.0846077,0.169215
0.5,0.17,0,1000,0,0.0853061,0.170612
0.5,0.18,0,1000,0,0.0901575,0.180315
0.5,0.18,0,1000,0,0.0907899,0.18158
0.5,0.18,0,1000,0,0.089902,0.179804
0.5,0.18,0,1000,0,0.0900739,0.180148
0.5,0.18,0,1000,0,0.089404,0.178808
0.5,0.18,0,1000,0,0.0903304,0.180661
0.5,0.18,0,1000,0,0.0896003,0.179201
0.5,0.18,0,1000,0,0.0896325,0.179265
0.5,0.18,0,1000,0,0.0897131,0.179426
0.5,0.18,0,1000,0,0.0899027,0.179805
0.5,0.19,0,1000,0,0.094345,0.18869
0.5,0.19,0,1000,0,0.0953172,0.190634
0.5,0.19,0,1000,0,0.0949645,0.189929
0.5,0.19,0,1000,0,0.0953467,0.190693
0.5,0.19,0,1000,0,0.0946114,0.189223
0.5,0.19,0,1000,0,0.0951363,0.190273
0.5,0.19,0,1000,0,0.0947245,0.189449
0.5,0.19,0,1000,0,0.0951888,0.190378
0.5,0.19,0,1000,0,0.0944255,0.188851
0.5,0.19,0,1000,0,0.0951209,0.190242
0.5,0.2,0,1000,0,0.100009,0.200018
0.5,0.2,0,1000,0,0.0994716,0.198943
0.5,0.2,0,1000,0,0.10066,0.201319
0.5,0.2,0,1000,0,0.0998921,0.199784
0.5,0.2,0,1000,0,0.100401,0.200802
0.5,0.2,0,1000,0,0.0999936,0.199987
0.5,0.2,0,1000,0,0.100393,0.200785
0.5,0.2,0,1000,0,0.100107,0.200213
0.5,0.2,0,1000,0,0.100031,0.200062
0.5,0.2,0,1000,0,0.100094,0.200187
0.5,0.21,0,1000,0,0.105055,0.210109
0.5,0.21,0,1000,0,0.105121,0.210242
0.5,0.21,0,1000,0,0.105259,0.210519
0.5,0.21,0,1000,0,0.105962,0.211924
0.5,0.21,0,1000,0,0.104827,0.209654
0.5,0.21,0,1000,0,0.104786,0.209573
0.5,0.21,0,1000,0,0.105289,0.210579
0.5,0.21,0,1000,0,0.10457,0.209139
0.5,0.21,0,1000,0,0.10476,0.20952
0.5,0.21,0,1000,0,0.105492,0.210985
0.5,0.22,0,1000,0,0.109858,0.219716
0.5,0.22,0,1000,0,0.110573,0.221146
0.5,0.22,0,1000,0,0.110501,0.221002
0.5,0.22,0,1000,0,0.110058,0.220116
0.5,0.22,0,1000,0,0.109937,0.219874
0.5,0.22,0,1000,0,0.109391,0.218782
0.5,0.22,0,1000,0,0.109833,0.219667
0.5,0.22,0,1000,0,0.10998,0.21996
0.5,0.22,0,1000,0,0.109621,0.219242
0.5,0.22,0,1000,0,0.110015,0.22003
0.5,0.23,0,1000,0,0.114973,0.229946
0.5,0.23,0,1000,0,0.114841,0.229683
0.5,0.23,0,1000,0,0.115175,0.23035
0.5,0.23,0,1000,0,0.114421,0.228842
0.5,0.23,0,1000,0,0.115333,0.230665
0.5,0.23,0,1000,0,0.114634,0.229268
0.5,0.23,0,1000,0,0.114977,0.229953
0.5,0.23,0,1000,0,0.115705,0.23141
0.5,0.23,0,1000,0,0.115115,0.23023
0.5,0.23,0,1000,0,0.115324,0.230647
0.5,0.24,0,1000,0,0.11952,0.239039
0.5,0.24,0,1000,0,0.12073,0.241459
0.5,0.24,0,1000,0,0.120098,0.240196
0.5,0.24,0,1000,0,0.119862,0.239723
0.5,0.24,0,1000,0,0.118955,0.23791
0.5,0.24,0,1000,0,0.119678,0.239356
0.5,0.24,0,1000,0,0.119907,0.239814
0.5,0.24,0,1000,0,0.120249,0.240497
0.5,0.24,0,1000,0,0.120015,0.240029
0.5,0.24,0,1000,0,0.119651,0.239302
0.5,0.25,0,1000,0,0.125199,0.250398
0.5,0.25,0,1000,0,0.124313,0.248626
0.5,0.25,0,1000,0,0.124658,0.249316
0.5,0.25,0,1000,0,0.125744,0.251488
0.5,0.25,0,1000,0,0.125075,0.25015
0.5,0.25,0,1000,0,0.125089,0.250178
0.5,0.25,0,1000,0,0.125312,0.250624
0.5,0.25,0,1000,0,0.124783,0.249566
0.5,0.25,0,1000,0,0.124888,0.249775
0.5,0.25,0,1000,0,0.125152,0.250304
0.5,0.26,0,1000,0,0.129504,0.259008
0.5,0.26,0,1000,0,0.130616,0.261233
0.5,0.26,0,1000,0,0.130393,0.260787
0.5,0.26,0,1000,0,0.130078,0.260155
0.5,0.26,0,1000,0,0.129128,0.258256
0.5,0.26,0,1000,0,0.129937,0.259874
0.5,0.26,0,1000,0,0.130017,0.260034
0.5,0.26,0,1000,0,0.130134,0.260269
0.5,0.26,0,1000,0,0.130246,0.260493
0.5,0.26,0,1000,0,0.129854,0.259707
0.5,0.27,0,1000,0,0.135386,0.270771
0.5,0.27,0,1000,0,0.135971,0.271942
0.5,0.27,0,1000,0,0.135071,0.270142
0.5,0.27,0,1000,0,0.135006,0.270012
0.5,0.27,0,1000,0,0.135169,0.270338
0.5,0.27,0,1000,0,0.135673,0.271345
0.5,0.27,0,1000,0,0.135097,0.270194
0.5,0.27,0,1000,0,0.134032,0.268063
0.5,0.27,0,1000,0,0.13477,0.26954
0.5,0.27,0,1000,0,0.135238,0.270476
0.5,0.28,0,1000,0,0.140798,0.281596
0.5,0.28,0,1000,0,0.139811,0.279622
0.5,0.28,0,1000,0,0.138651,0.277301
0.5,0.28,0,1000,0,0.140029,0.280057
0.5,0.28,0,1000,0,0.139748,0.279495
0.5,0.28,0,1000,0,0.139602,0.279205
0.5,0.28,0,1000,0,0.140317,0.280633
0.5,0.28,0,1000,0,0.140222,0.280445
0.5,0.28,0,1000,0,0.140279,0.280558
0.5,0.28,0,1000,0,0.140053,0.280105
0.5,0.29,0,1000,0,0.144822,0.289644
0.5,0.29,0,1000,0,0.145811,0.291623
0.5,0.29,0,1000,0,0.144654,0.289307
0.5,0.29,0,1000,0,0.144361,0.288723
0.5,0.29,0,1000,0,0.144539,0.289078
0.5,0.29,0,1000,0,0.145134,0.290268
0.5,0.29,0,1000,0,0.14466,0.28932
0.5,0.29,0,1000,0,0.145201,0.290402
0.5,0.29,0,1000,0,0.144633,0.289266
0.5,0.29,0,1000,0,0.144827,0.289654
0.5,0.3,0,1000,0,0.15015,0.3003
0.5,0.3,0,1000,0,0.150132,0.300264
0.5,0.3,0,1000,0,0.149782,0.299563
0.5,0.3,0,1000,0,0.150451,0.300903
0.5,0.3,0,1000,0,0.150445,0.30089
0.5,0.3,0,1000,0,0.149803,0.299605
0.5,0.3,0,1000,0,0.150256,0.300513
0.5,0.3,0,1000,0,0.149823,0.299647
0.5,0.3,0,1000,0,0.149963,0.299926
0.5,0.3,0,1000,0,0.149618,0.299237
0.5,0.31,0,1000,0,0.155196,0.310392
0.5,0.31,0,1000,0,0.154995,0.309989
0.5,0.31,0,1000,0,0.155241,0.310482
0.5,0.31,0,1000,0,0.154578,0.309155
0.5,0.31,0,1000,0,0.154492,0.308983
0.5,0.31,0,1000,0,0.155336,0.310671
0.5,0.31,0,1000,0,0.153986,0.307973
0.5,0.31,0,1000,0,0.15581,0.311619
0.5,0.31,0,1000,0,0.155271,0.310542
0.5,0.31,0,1000,0,0.154385,0.308771
0.5,0.32,0,1000,0,0.159781,0.319562
0.5,0.32,0,1000,0,0.160447,0.320893
0.5,0.32,0,1000,0,0.16022,0.320441
0.5,0.32,0,1000,0,0.159704,0.319408
0.5,0.32,0,1000,0,0.160504,0.321007
0.5,0.32,0,1000,0,0.160448,0.320895
0.5,0.32,0,1000,0,0.160164,0.320328
0.5,0.32,0,1000,0,0.160369,0.320738
0.5,0.32,0,1000,0,0.16007,0.32014
0.5,0.32,0,1000,0,0.159931,0.319862
0.5,0.33,0,1000,0,0.165684,0.331369
0.5,0.33,0,1000,0,0.165021,0.330041
0.5,0.33,0,1000,0,0.165488,0.330977
0.5,0.33,0,1000,0,0.164627,0.329253
0.5,0.33,0,1000,0,0.163413,0.326826
0.5,0.33,0,1000,0,0.164826,0.329652
0.5,0.33,0,1000,0,0.164359,0.328717
0.5,0.33,0,1000,0,0.165559,0.331117
0.5,0.33,0,1000,0,0.165141,0.330282
0.5,0.33,0,1000,0,0.165387,0.330775
0.5,0.34,0,1000,0,0.170303,0.340606
0.5,0.34,0,1000,0,0.169769,0.339538
0.5,0.34,0,1000,0,0.170125,0.340251
