Germline cut rate,Embryo cut rate,Generations to 99% drive individuals difference, Gens to Reach 99%,Gens of Max Freq,Drive Allele Freq Here,Max Freq with at Least One Drive Chromosome
0,0,0,1000,0,0.0992781,0.198556
0,0,0,1000,0,0.100204,0.200407
0,0,0,1000,0,0.0998171,0.199634
0,0,0,1000,0,0.0995984,0.199197
0,0,0,1000,0,0.100198,0.200396
0,0,0,1000,0,0.100654,0.201308
0,0,0,1000,0,0.100366,0.200732
0,0,0,1000,0,0.100312,0.200624
0,0,0,1000,0,0.10041,0.200819
0,0,0,1000,0,0.100018,0.200037
0,0.02,0,1000,0,0.100582,0.201164
0,0.02,0,1000,0,0.100592,0.201185
0,0.02,0,1000,0,0.100229,0.200457
0,0.02,0,1000,0,0.101059,0.202118
0,0.02,0,1000,0,0.0998722,0.199744
0,0.02,0,1000,0,0.100219,0.200438
0,0.02,0,1000,0,0.099932,0.199864
0,0.02,0,1000,0,0.0997224,0.199445
0,0.02,0,1000,0,0.100479,0.200958
0,0.02,0,1000,0,0.0996397,0.199279
0,0.04,0,1000,0,0.0998411,0.199682
0,0.04,0,1000,0,0.100536,0.201073
0,0.04,0,1000,0,0.0997574,0.199515
0,0.04,0,1000,0,0.100253,0.200505
0,0.04,0,1000,0,0.099877,0.199754
0,0.04,0,1000,0,0.100018,0.200037
0,0.04,0,1000,0,0.0999592,0.199918
0,0.04,0,1000,0,0.100227,0.200454
0,0.04,0,1000,0,0.10059,0.20118
0,0.04,0,1000,0,0.0997367,0.199473
0,0.06,0,1000,0,0.0994954,0.198991
0,0.06,0,1000,0,0.0999225,0.199845
0,0.06,0,1000,0,0.10013,0.20026
0,0.06,0,1000,0,0.10027,0.200539
0,0.06,0,1000,0,0.100385,0.200771
0,0.06,0,1000,0,0.100274,0.200547
0,0.06,0,1000,0,0.100057,0.200114
0,0.06,0,1000,0,0.100173,0.200346
0,0.06,0,1000,0,0.0994115,0.198823
0,0.06,0,1000,0,0.0998235,0.199647
0,0.08,0,1000,0,0.100156,0.200312
0,0.08,0,1000,0,0.100171,0.200343
0,0.08,0,1000,0,0.100085,0.20017
0,0.08,0,1000,0,0.100087,0.200175
0,0.08,0,1000,0,0.0999193,0.199839
0,0.08,0,1000,0,0.10017,0.20034
0,0.08,0,1000,0,0.100107,0.200213
0,0.08,0,1000,0,0.100755,0.201511
0,0.08,0,1000,0,0.101088,0.202175
0,0.08,0,1000,0,0.100866,0.201732
0,0.1,0,1000,0,0.0998762,0.199752
0,0.1,0,1000,0,0.0997558,0.199512
0,0.1,0,1000,0,0.0991993,0.198399
0,0.1,0,1000,0,0.0997359,0.199472
0,0.1,0,1000,0,0.100031,0.200062
0,0.1,0,1000,0,0.100945,0.20189
0,0.1,0,1000,0,0.0999273,0.199855
0,0.1,0,1000,0,0.0998267,0.199653
0,0.1,0,1000,0,0.100444,0.200889
0,0.1,0,1000,0,0.100604,0.201209
0,0.12,0,1000,0,0.100147,0.200295
0,0.12,0,1000,0,0.0996214,0.199243
0,0.12,0,1000,0,0.0997805,0.199561
0,0.12,0,1000,0,0.100415,0.200831
0,0.12,0,1000,0,0.100255,0.20051
0,0.12,0,1000,0,0.0999776,0.199955
0,0.12,0,1000,0,0.100033,0.200066
0,0.12,0,1000,0,0.100252,0.200504
0,0.12,0,1000,0,0.0994392,0.198878
0,0.12,0,1000,0,0.0996882,0.199376
0,0.14,0,1000,0,0.0995477,0.199095
0,0.14,0,1000,0,0.100292,0.200584
0,0.14,0,1000,0,0.100213,0.200427
0,0.14,0,1000,0,0.0998131,0.199626
0,0.14,0,1000,0,0.0998945,0.199789
0,0.14,0,1000,0,0.1006,0.201201
0,0.14,0,1000,0,0.100342,0.200684
0,0.14,0,1000,0,0.10013,0.20026
0,0.14,0,1000,0,0.0994083,0.198817
0,0.14,0,1000,0,0.100854,0.201707
0,0.16,0,1000,0,0.0998315,0.199663
0,0.16,0,1000,0,0.100217,0.200435
0,0.16,0,1000,0,0.100372,0.200744
0,0.16,0,1000,0,0.100281,0.200562
0,0.16,0,1000,0,0.0995239,0.199048
0,0.16,0,1000,0,0.0999552,0.19991
0,0.16,0,1000,0,0.100084,0.200168
0,0.16,0,1000,0,0.10036,0.200721
0,0.16,0,1000,0,0.0997343,0.199469
0,0.16,0,1000,0,0.0998865,0.199773
0,0.18,0,1000,0,0.099968,0.199936
0,0.18,0,1000,0,0.1002,0.200399
0,0.18,0,1000,0,0.100008,0.200016
