Drive homozygote fitness,Introduction frequency,Generations to 99% drive individuals,Generation of maximum drive frequency,Maximum drive frequency,Maximum frequency of individuals with at least one drive
0.5,0,1000,0,0,0
0.5,0.01,1000,0,0.0050001,0.0100002
0.5,0.01,1000,0,0.00500659,0.0100132
0.5,0.01,1000,0,0.0049763,0.0099526
0.5,0.01,1000,0,0.00500471,0.0100094
0.5,0.01,1000,0,0.00498131,0.00996262
0.5,0.01,1000,0,0.00498514,0.00997029
0.5,0.01,1000,0,0.00500158,0.0100032
0.5,0.01,1000,0,0.00501425,0.0100285
0.5,0.01,1000,0,0.00499545,0.0099909
0.5,0.01,1000,0,0.00499204,0.00998408
0.5,0.02,1000,0,0.0100616,0.0201232
0.5,0.02,1000,0,0.0100186,0.0200371
0.5,0.02,1000,0,0.0100057,0.0200114
0.5,0.02,1000,0,0.00993468,0.0198694
0.5,0.02,1000,0,0.009974,0.019948
0.5,0.02,1000,0,0.00997205,0.0199441
0.5,0.02,1000,0,0.00996884,0.0199377
0.5,0.02,1000,0,0.0100115,0.020023
0.5,0.02,1000,0,0.0100726,0.0201453
0.5,0.02,1000,0,0.0100371,0.0200742
0.5,0.03,1000,0,0.0149884,0.0299767
0.5,0.03,1000,0,0.0149259,0.0298518
0.5,0.03,1000,0,0.0150182,0.0300364
0.5,0.03,1000,0,0.0150533,0.0301066
0.5,0.03,1000,0,0.0149969,0.0299939
0.5,0.03,1000,0,0.0149578,0.0299156
0.5,0.03,1000,0,0.0149571,0.0299141
0.5,0.03,1000,0,0.0150012,0.0300023
0.5,0.03,1000,0,0.0150831,0.0301662
0.5,0.03,1000,0,0.015058,0.030116
0.5,0.04,1000,0,0.0201524,0.0403049
0.5,0.04,1000,0,0.0199489,0.0398977
0.5,0.04,1000,0,0.0200854,0.0401708
0.5,0.04,1000,0,0.0197923,0.0395847
0.5,0.04,1000,0,0.0200707,0.0401414
0.5,0.04,1000,0,0.0199439,0.0398878
0.5,0.04,1000,0,0.0201289,0.0402578
0.5,0.04,1000,0,0.0199772,0.0399544
0.5,0.04,1000,0,0.0199628,0.0399256
0.5,0.04,1000,0,0.0198637,0.0397273
0.5,0.05,1000,0,0.0251045,0.0502089
0.5,0.05,1000,0,0.024882,0.0497641
0.5,0.05,1000,0,0.024972,0.049944
0.5,0.05,1000,0,0.025044,0.050088
0.5,0.05,1000,0,0.0249746,0.0499492
0.5,0.05,1000,0,0.0248851,0.0497702
0.5,0.05,1000,0,0.0249779,0.0499559
0.5,0.05,1000,0,0.0252815,0.050563
0.5,0.05,1000,0,0.0251299,0.0502598
0.5,0.05,1000,0,0.0249353,0.0498707
0.5,0.06,1000,0,0.0300858,0.0601716
0.5,0.06,1000,0,0.0300309,0.0600617
0.5,0.06,1000,0,0.029883,0.0597659
0.5,0.06,1000,0,0.0298978,0.0597956
0.5,0.06,1000,0,0.0301415,0.060283
0.5,0.06,1000,0,0.0300425,0.0600849
0.5,0.06,1000,0,0.0301142,0.0602283
0.5,0.06,1000,0,0.0301028,0.0602056
0.5,0.06,1000,0,0.0297934,0.0595868
0.5,0.06,1000,0,0.0300634,0.0601268
0.5,0.07,1000,0,0.0348211,0.0696422
0.5,0.07,1000,0,0.0349989,0.0699978
0.5,0.07,1000,0,0.0350834,0.0701668
0.5,0.07,1000,0,0.035246,0.070492
0.5,0.07,1000,0,0.0349716,0.0699431
0.5,0.07,1000,0,0.0350393,0.0700786
0.5,0.07,1000,0,0.0352506,0.0705013
0.5,0.07,1000,0,0.035122,0.070244
0.5,0.07,1000,0,0.0349631,0.0699262
0.5,0.07,1000,0,0.0349514,0.0699029
0.5,0.08,1000,0,0.0398245,0.079649
0.5,0.08,1000,0,0.0395942,0.0791884
0.5,0.08,1000,0,0.0399122,0.0798245
0.5,0.08,1000,0,0.0400475,0.0800951
0.5,0.08,1000,0,0.0399247,0.0798494
0.5,0.08,1000,0,0.0398603,0.0797206
0.5,0.08,1000,0,0.0399511,0.0799022
0.5,0.08,1000,0,0.0399361,0.0798721
0.5,0.08,1000,0,0.0400206,0.0800412
0.5,0.08,1000,0,0.0398289,0.0796578
0.5,0.09,1000,0,0.0454249,0.0908498
0.5,0.09,1000,0,0.0446775,0.0893551
0.5,0.09,1000,0,0.044638,0.089276
0.5,0.09,1000,0,0.0451796,0.0903592
0.5,0.09,1000,0,0.0449938,0.0899876
0.5,0.09,1000,0,0.0451392,0.0902784
0.5,0.09,1000,0,0.0449309,0.0898617
0.5,0.09,1000,0,0.0452806,0.0905611
0.5,0.09,1000,0,0.0448669,0.0897337
0.5,0.09,1000,0,0.0448575,0.089715
0.5,0.1,1000,0,0.0500437,0.100087
0.5,0.1,1000,0,0.0502865,0.100573
0.5,0.1,1000,0,0.0500072,0.100014
0.5,0.1,1000,0,0.0500374,0.100075
0.5,0.1,1000,0,0.0501897,0.100379
0.5,0.1,1000,0,0.0499708,0.0999415
0.5,0.1,1000,0,0.0502242,0.100448
0.5,0.1,1000,0,0.0496226,0.0992452
0.5,0.1,1000,0,0.049851,0.0997021
0.5,0.1,1000,0,0.050177,0.100354
0.5,0.11,1000,0,0.0546014,0.109203
0.5,0.11,1000,0,0.0552225,0.110445
0.5,0.11,1000,0,0.0551126,0.110225
0.5,0.11,1000,0,0.0548938,0.109788
0.5,0.11,1000,0,0.0549925,0.109985
0.5,0.11,1000,0,0.0549959,0.109992
0.5,0.11,1000,0,0.0552185,0.110437
0.5,0.11,1000,0,0.05499,0.10998
0.5,0.11,1000,0,0.0546501,0.1093
0.5,0.11,1000,0,0.0551072,0.110214
0.5,0.12,1000,0,0.0599374,0.119875
0.5,0.12,1000,0,0.0601521,0.120304
0.5,0.12,1000,0,0.060044,0.120088
0.5,0.12,1000,0,0.0600129,0.120026
0.5,0.12,1000,0,0.0602638,0.120528
0.5,0.12,1000,0,0.0595126,0.119025
0.5,0.12,1000,0,0.0603785,0.120757
0.5,0.12,1000,0,0.0602015,0.120403
0.5,0.12,1000,0,0.0606228,0.121246
0.5,0.12,1000,0,0.0605286,0.121057
0.5,0.13,1000,0,0.0651151,0.13023
0.5,0.13,1000,0,0.0649622,0.129924
0.5,0.13,1000,0,0.0648292,0.129658
0.5,0.13,1000,0,0.0649363,0.129873
0.5,0.13,1000,0,0.0650255,0.130051
0.5,0.13,1000,0,0.0647141,0.129428
0.5,0.13,1000,0,0.0649447,0.129889
0.5,0.13,1000,0,0.064709,0.129418
0.5,0.13,1000,0,0.0650646,0.130129
0.5,0.13,1000,0,0.0647275,0.129455
0.5,0.14,1000,0,0.0697197,0.139439
0.5,0.14,1000,0,0.0693792,0.138758
0.5,0.14,1000,0,0.0696249,0.13925
0.5,0.14,1000,0,0.0701373,0.140275
0.5,0.14,1000,0,0.0704255,0.140851
0.5,0.14,1000,0,0.0699126,0.139825
0.5,0.14,1000,0,0.0701548,0.14031
0.5,0.14,1000,0,0.0700992,0.140198
0.5,0.14,1000,0,0.0697442,0.139488
0.5,0.14,1000,0,0.0696142,0.139228
0.5,0.15,1000,0,0.0753225,0.150645
0.5,0.15,1000,0,0.0751288,0.150258
0.5,0.15,1000,0,0.0741502,0.1483
0.5,0.15,1000,0,0.0754771,0.150954
0.5,0.15,1000,0,0.0750604,0.150121
0.5,0.15,1000,0,0.0748319,0.149664
0.5,0.15,1000,0,0.0747108,0.149422
0.5,0.15,1000,0,0.0749367,0.149873
0.5,0.15,1000,0,0.0748928,0.149786
0.5,0.15,1000,0,0.0757876,0.151575
0.5,0.16,1000,0,0.0805188,0.161038
0.5,0.16,1000,0,0.0799892,0.159978
0.5,0.16,1000,0,0.0800699,0.16014
0.5,0.16,1000,0,0.0800794,0.160159
0.5,0.16,1000,0,0.0802345,0.160469
0.5,0.16,1000,0,0.0801023,0.160205
0.5,0.16,1000,0,0.0801879,0.160376
0.5,0.16,1000,0,0.0801906,0.160381
0.5,0.16,1000,0,0.0792999,0.1586
0.5,0.16,1000,0,0.0797074,0.159415
0.5,0.17,1000,0,0.0853161,0.170632
0.5,0.17,1000,0,0.0848362,0.169672
0.5,0.17,1000,0,0.0851834,0.170367
0.5,0.17,1000,0,0.0850391,0.170078
0.5,0.17,1000,0,0.0848685,0.169737
0.5,0.17,1000,0,0.0851926,0.170385
0.5,0.17,1000,0,0.0850002,0.17
0.5,0.17,1000,0,0.0841855,0.168371
0.5,0.17,1000,0,0.0851692,0.170338
0.5,0.17,1000,0,0.0847001,0.1694
0.5,0.18,1000,0,0.0900162,0.180032
0.5,0.18,1000,0,0.0899668,0.179934
0.5,0.18,1000,0,0.0896999,0.1794
0.5,0.18,1000,0,0.090311,0.180622
0.5,0.18,1000,0,0.0899838,0.179968
0.5,0.18,1000,0,0.090119,0.180238
0.5,0.18,1000,0,0.0903066,0.180613
0.5,0.18,1000,0,0.0898909,0.179782
0.5,0.18,1000,0,0.0896252,0.17925
0.5,0.18,1000,0,0.0899137,0.179827
0.5,0.19,1000,0,0.0945374,0.189075
0.5,0.19,1000,0,0.0942631,0.188526
0.5,0.19,1000,0,0.0953994,0.190799
0.5,0.19,1000,0,0.0950015,0.190003
0.5,0.19,1000,0,0.0961053,0.192211
0.5,0.19,1000,0,0.0947069,0.189414
0.5,0.19,1000,0,0.0947314,0.189463
0.5,0.19,1000,0,0.0952499,0.1905
0.5,0.19,1000,0,0.0946794,0.189359
0.5,0.19,1000,0,0.0947306,0.189461
0.5,0.2,1000,0,0.0994962,0.198992
0.5,0.2,1000,0,0.0995627,0.199125
0.5,0.2,1000,0,0.0998602,0.19972
0.5,0.2,1000,0,0.0997964,0.199593
0.5,0.2,1000,0,0.100079,0.200159
0.5,0.2,1000,0,0.100109,0.200218
0.5,0.2,1000,0,0.0996707,0.199341
0.5,0.2,1000,0,0.100215,0.20043
0.5,0.2,1000,0,0.100146,0.200292
0.5,0.2,1000,0,0.0998068,0.199614
0.5,0.21,1000,0,0.104838,0.209677
0.5,0.21,1000,0,0.104535,0.20907
0.5,0.21,1000,0,0.104983,0.209967
0.5,0.21,1000,0,0.104819,0.209637
0.5,0.21,1000,0,0.104992,0.209983
0.5,0.21,1000,0,0.104502,0.209004
0.5,0.21,1000,0,0.104756,0.209512
0.5,0.21,1000,0,0.104846,0.209692
0.5,0.21,1000,0,0.104663,0.209325
0.5,0.21,1000,0,0.104799,0.209598
0.5,0.22,1000,0,0.110332,0.220664
0.5,0.22,1000,0,0.109301,0.218603
0.5,0.22,1000,0,0.110031,0.220063
0.5,0.22,1000,0,0.10993,0.21986
0.5,0.22,1000,0,0.110074,0.220149
0.5,0.22,1000,0,0.10952,0.219039
0.5,0.22,1000,0,0.109744,0.219487
0.5,0.22,1000,0,0.109671,0.219342
0.5,0.22,1000,0,0.110209,0.220419
0.5,0.22,1000,0,0.109274,0.218549
0.5,0.23,1000,0,0.114806,0.229612
0.5,0.23,1000,0,0.11521,0.23042
0.5,0.23,1000,0,0.114887,0.229775
0.5,0.23,1000,0,0.114971,0.229943
0.5,0.23,1000,0,0.115963,0.231926
0.5,0.23,1000,0,0.115385,0.23077
0.5,0.23,1000,0,0.114728,0.229457
0.5,0.23,1000,0,0.115126,0.230253
0.5,0.23,1000,0,0.115222,0.230445
0.5,0.23,1000,0,0.114925,0.229851
0.5,0.24,1000,0,0.120225,0.24045
0.5,0.24,1000,0,0.12003,0.240061
0.5,0.24,1000,0,0.119513,0.239027
0.5,0.24,1000,0,0.119451,0.238902
0.5,0.24,1000,0,0.12014,0.24028
0.5,0.24,1000,0,0.12019,0.24038
