Germline cut rate,Embryo cut rate,Generations to 99% drive individuals,Generation of maximum drive frequency,Maximum drive frequency,Maximum frequency of individuals with at least one drive
0,0,1000,0,0.100283,0.200566
0,0,1000,0,0.100158,0.200316
0,0,1000,0,0.100231,0.200462
0,0,1000,0,0.0999504,0.199901
0,0,1000,0,0.100107,0.200213
0,0,1000,0,0.0996484,0.199297
0,0,1000,0,0.100121,0.200242
0,0,1000,0,0.0998841,0.199768
0,0,1000,0,0.100018,0.200037
0,0,1000,0,0.0999225,0.199845
0,0.02,1000,0,0.0995937,0.199187
0,0.02,1000,0,0.0999784,0.199957
0,0.02,1000,0,0.0999296,0.199859
0,0.02,1000,0,0.0995088,0.199018
0,0.02,1000,0,0.100046,0.200093
0,0.02,1000,0,0.0991222,0.198244
0,0.02,1000,0,0.0999528,0.199906
0,0.02,1000,0,0.100405,0.20081
0,0.02,1000,0,0.100297,0.200594
0,0.02,1000,0,0.100311,0.200623
0,0.04,1000,0,0.0994914,0.198983
0,0.04,1000,0,0.100233,0.200467
0,0.04,1000,0,0.100082,0.200165
0,0.04,1000,0,0.099806,0.199612
0,0.04,1000,0,0.100543,0.201086
0,0.04,1000,0,0.0998825,0.199765
0,0.04,1000,0,0.0999496,0.199899
0,0.04,1000,0,0.100372,0.200744
0,0.04,1000,0,0.100227,0.200454
0,0.04,1000,0,0.0998227,0.199645
0,0.06,1000,0,0.0999416,0.199883
0,0.06,1000,0,0.100005,0.20001
0,0.06,1000,0,0.100612,0.201223
0,0.06,1000,0,0.09979,0.19958
0,0.06,1000,0,0.100088,0.200176
0,0.06,1000,0,0.100029,0.200058
0,0.06,1000,0,0.0996731,0.199346
0,0.06,1000,0,0.10061,0.20122
0,0.06,1000,0,0.10027,0.200539
0,0.06,1000,0,0.10001,0.200019
0,0.08,1000,0,0.0997248,0.19945
0,0.08,1000,0,0.099716,0.199432
0,0.08,1000,0,0.100029,0.200058
0,0.08,1000,0,0.0996619,0.199324
0,0.08,1000,0,0.100181,0.200362
0,0.08,1000,0,0.100033,0.200066
0,0.08,1000,0,0.100189,0.200378
0,0.08,1000,0,0.100372,0.200744
0,0.08,1000,0,0.0998028,0.199606
0,0.08,1000,0,0.0998155,0.199631
0,0.1,1000,0,0.0998602,0.19972
0,0.1,1000,0,0.100095,0.200191
0,0.1,1000,0,0.100482,0.200963
0,0.1,1000,0,0.0999289,0.199858
0,0.1,1000,0,0.100694,0.201389
0,0.1,1000,0,0.100021,0.200042
0,0.1,1000,0,0.100562,0.201123
0,0.1,1000,0,0.0997797,0.199559
0,0.1,1000,0,0.100169,0.200338
0,0.1,1000,0,0.100205,0.20041
0,0.12,1000,0,0.0998124,0.199625
0,0.12,1000,0,0.099581,0.199162
0,0.12,1000,0,0.100103,0.200205
0,0.12,1000,0,0.100134,0.200268
0,0.12,1000,0,0.100193,0.200386
0,0.12,1000,0,0.100156,0.200312
0,0.12,1000,0,0.0998993,0.199799
0,0.12,1000,0,0.100014,0.200027
0,0.12,1000,0,0.0990381,0.198076
0,0.12,1000,0,0.100039,0.200078
0,0.14,1000,0,0.0996612,0.199322
0,0.14,1000,0,0.0992111,0.198422
0,0.14,1000,0,0.10033,0.20066
0,0.14,1000,0,0.10043,0.20086
0,0.14,1000,0,0.100832,0.201663
0,0.14,1000,0,0.100336,0.200671
0,0.14,1000,0,0.099948,0.199896
0,0.14,1000,0,0.0995461,0.199092
0,0.14,1000,0,0.09996,0.19992
0,0.14,1000,0,0.100423,0.200845
0,0.16,1000,0,0.100344,0.200689
0,0.16,1000,0,0.10039,0.200781
0,0.16,1000,0,0.0999041,0.199808
0,0.16,1000,0,0.100006,0.200013
0,0.16,1000,0,0.0994708,0.198942
0,0.16,1000,0,0.100282,0.200563
0,0.16,1000,0,0.100627,0.201254
0,0.16,1000,0,0.0997518,0.199504
0,0.16,1000,0,0.0996151,0.19923
0,0.16,1000,0,0.100193,0.200386
0,0.18,1000,0,0.100656,0.201313
0,0.18,1000,0,0.100113,0.200226
0,0.18,1000,0,0.09996,0.19992
0,0.18,1000,0,0.100007,0.200014
0,0.18,1000,0,0.100305,0.20061
0,0.18,1000,0,0.100677,0.201355
0,0.18,1000,0,0.0998291,0.199658
0,0.18,1000,0,0.10012,0.20024
0,0.18,1000,0,0.0998108,0.199622
0,0.18,1000,0,0.100368,0.200735
0,0.2,1000,0,0.10008,0.20016
0,0.2,1000,0,0.0999648,0.19993
0,0.2,1000,0,0.0999456,0.199891
0,0.2,1000,0,0.0996548,0.19931
0,0.2,1000,0,0.0994083,0.198817
0,0.2,1000,0,0.100202,0.200404
0,0.2,1000,0,0.100385,0.200769
0,0.2,1000,0,0.0996127,0.199225
0,0.2,1000,0,0.100794,0.201589
0,0.2,1000,0,0.100094,0.200189
0,0.22,1000,0,0.0995001,0.199
0,0.22,1000,0,0.100361,0.200723
0,0.22,1000,0,0.0995651,0.19913
0,0.22,1000,0,0.100281,0.200562
0,0.22,1000,0,0.099712,0.199424
0,0.22,1000,0,0.0996747,0.199349
0,0.22,1000,0,0.0996,0.1992
0,0.22,1000,0,0.100082,0.200163
0,0.22,1000,0,0.100065,0.20013
0,0.22,1000,0,0.100598,0.201196
0,0.24,1000,0,0.0994012,0.198802
0,0.24,1000,0,0.100378,0.200756
0,0.24,1000,0,0.100053,0.200106
0,0.24,1000,0,0.0997932,0.199586
0,0.24,1000,0,0.100348,0.200695
0,0.24,1000,0,0.100397,0.200794
0,0.24,1000,0,0.0999952,0.19999
0,0.24,1000,0,0.100002,0.200005
0,0.24,1000,0,0.0999584,0.199917
0,0.24,1000,0,0.0999712,0.199942
0,0.26,1000,0,0.100037,0.200074
0,0.26,1000,0,0.0998722,0.199744
0,0.26,1000,0,0.0999968,0.199994
0,0.26,1000,0,0.100172,0.200345
0,0.26,1000,0,0.0998897,0.199779
0,0.26,1000,0,0.0999816,0.199963
0,0.26,1000,0,0.0997853,0.199571
0,0.26,1000,0,0.100027,0.200054
0,0.26,1000,0,0.10014,0.20028
0,0.26,1000,0,0.100011,0.200022
0,0.28,1000,0,0.100064,0.200128
0,0.28,1000,0,0.0997001,0.1994
0,0.28,1000,0,0.100417,0.200834
0,0.28,1000,0,0.100256,0.200512
0,0.28,1000,0,0.099794,0.199588
0,0.28,1000,0,0.100122,0.200243
0,0.28,1000,0,0.100238,0.200476
0,0.28,1000,0,0.0996556,0.199311
0,0.28,1000,0,0.0994233,0.198847
0,0.28,1000,0,0.10016,0.200321
0,0.3,1000,0,0.100344,0.200689
0,0.3,1000,0,0.100422,0.200844
0,0.3,1000,0,0.100093,0.200186
0,0.3,1000,0,0.0998969,0.199794
0,0.3,1000,0,0.0993427,0.198685
0,0.3,1000,0,0.0994866,0.198973
0,0.3,1000,0,0.099596,0.199192
0,0.3,1000,0,0.0997327,0.199465
0,0.3,1000,0,0.100617,0.201233
0,0.3,1000,0,0.100112,0.200224
0,0.32,1000,0,0.100312,0.200624
0,0.32,1000,0,0.099972,0.199944
0,0.32,1000,0,0.100617,0.201233
0,0.32,1000,0,0.100125,0.20025
0,0.32,1000,0,0.100103,0.200205
0,0.32,1000,0,0.100115,0.200229
0,0.32,1000,0,0.0993609,0.198722
0,0.32,1000,0,0.100545,0.201091
0,0.32,1000,0,0.100152,0.200304
0,0.32,1000,0,0.0994336,0.198867
0,0.34,1000,0,0.100068,0.200136
0,0.34,1000,0,0.0999384,0.199877
0,0.34,1000,0,0.0998913,0.199783
0,0.34,1000,0,0.0997144,0.199429
0,0.34,1000,0,0.100234,0.200468
0,0.34,1000,0,0.0996953,0.199391
0,0.34,1000,0,0.100333,0.200666
0,0.34,1000,0,0.100574,0.201149
0,0.34,1000,0,0.100238,0.200476
0,0.34,1000,0,0.0998777,0.199755
0,0.36,1000,0,0.100751,0.201502
0,0.36,1000,0,0.100377,0.200753
0,0.36,1000,0,0.100422,0.200844
0,0.36,1000,0,0.0997781,0.199556
0,0.36,1000,0,0.0998762,0.199752
0,0.36,1000,0,0.0991552,0.19831
0,0.36,1000,0,0.0998187,0.199637
0,0.36,1000,0,0.0999488,0.199898
0,0.36,1000,0,0.0999089,0.199818
0,0.36,1000,0,0.100353,0.200706
0,0.38,1000,0,0.0997916,0.199583
0,0.38,1000,0,0.0997582,0.199516
0,0.38,1000,0,0.100206,0.200412
0,0.38,1000,0,0.100303,0.200605
0,0.38,1000,0,0.100177,0.200354
0,0.38,1000,0,0.100256,0.200512
0,0.38,1000,0,0.0998052,0.19961
0,0.38,1000,0,0.100361,0.200723
0,0.38,1000,0,0.0990664,0.198133
0,0.38,1000,0,0.10042,0.20084
0,0.4,1000,0,0.100327,0.200655
0,0.4,1000,0,0.099873,0.199746
0,0.4,1000,0,0.0998698,0.19974
0,0.4,1000,0,0.100566,0.201133
0,0.4,1000,0,0.0994645,0.198929
0,0.4,1000,0,0.100483,0.200966
0,0.4,1000,0,0.099204,0.198408
0,0.4,1000,0,0.100568,0.201136
0,0.4,1000,0,0.0996318,0.199264
0,0.4,1000,0,0.0996866,0.199373
0,0.42,1000,0,0.0997781,0.199556
0,0.42,1000,0,0.100139,0.200277
0,0.42,1000,0,0.100403,0.200806
0,0.42,1000,0,0.100312,0.200624
0,0.42,1000,0,0.100143,0.200287
0,0.42,1000,0,0.100899,0.201798
0,0.42,1000,0,0.099936,0.199872
0,0.42,1000,0,0.100378,0.200756
0,0.42,1000,0,0.100111,0.200223
0,0.42,1000,0,0.100098,0.200195
0,0.44,1000,0,0.100231,0.200462
0,0.44,1000,0,0.100155,0.200311
0,0.44,1000,0,0.100223,0.200446
0,0.44,1000,0,0.1007,0.2014
0,0.44,1000,0,0.0999241,0.199848
0,0.44,1000,0,0.0998674,0.199735
0,0.44,1000,0,0.100426,0.200852
0,0.44,1000,0,0.100233,0.200467
0,0.44,1000,0,0.0995976,0.199195
0,0.44,1000,0,0.100229,0.200457
0,0.46,1000,0,0.100171,0.200341
0,0.46,1000,0,0.100305,0.20061
0,0.46,1000,0,0.100209,0.200418
0,0.46,1000,0,0.100355,0.20071
0,0.46,1000,0,0.100088,0.200176
0,0.46,1000,0,0.10005,0.200101
0,0.46,1000,0,0.0997781,0.199556
0,0.46,1000,0,0.099865,0.19973
0,0.46,1000,0,0.0999057,0.199811
0,0.46,1000,0,0.0995754,0.199151
0,0.48,1000,0,0.100033,0.200066
0,0.48,1000,0,0.100361,0.200723
0,0.48,1000,0,0.10024,0.20048
0,0.48,1000,0,0.0999328,0.199866
0,0.48,1000,0,0.100184,0.200369
0,0.48,1000,0,0.100179,0.200357
0,0.48,1000,0,0.0999888,0.199978
0,0.48,1000,0,0.0994471,0.198894
0,0.48,1000,0,0.100241,0.200483
0,0.48,1000,0,0.0999185,0.199837
0,0.5,1000,0,0.100055,0.20011
0,0.5,1000,0,0.100423,0.200847
0,0.5,1000,0,0.0994455,0.198891
0,0.5,1000,0,0.0996659,0.199332
0,0.5,1000,0,0.100129,0.200258
0,0.5,1000,0,0.100212,0.200425
0,0.5,1000,0,0.100393,0.200785
0,0.5,1000,0,0.100591,0.201181
0,0.5,1000,0,0.100221,0.200443
0,0.5,1000,0,0.10008,0.20016
0,0.52,1000,0,0.0997996,0.199599
0,0.52,1000,0,0.0996691,0.199338
0,0.52,1000,0,0.0998714,0.199743
0,0.52,1000,0,0.0993506,0.198701
0,0.52,1000,0,0.100028,0.200056
0,0.52,1000,0,0.100021,0.200042
0,0.52,1000,0,0.1,0.2
0,0.52,1000,0,0.100295,0.200591
0,0.52,1000,0,0.100298,0.200597
0,0.52,1000,0,0.100177,0.200354
0,0.54,1000,0,0.0996079,0.199216
0,0.54,1000,0,0.100188,0.200375
0,0.54,1000,0,0.0997964,0.199593
0,0.54,1000,0,0.0993475,0.198695
0,0.54,1000,0,0.0997415,0.199483
0,0.54,1000,0,0.100339,0.200677
0,0.54,1000,0,0.1006,0.201201
0,0.54,1000,0,0.0994764,0.198953
0,0.54,1000,0,0.100059,0.200118
0,0.54,1000,0,0.100469,0.200939
0,0.56,1000,0,0.100429,0.200858
