Germline cut rate,Embryo cut rate,Generations to 99% drive individuals,Generation of maximum drive frequency,Maximum drive frequency,Maximum frequency of individuals with at least one drive
0,0,1000,0,0.100429,0.200858
0,0,1000,0,0.0996588,0.199318
0,0,1000,0,0.100363,0.200726
0,0,1000,0,0.100148,0.200296
0,0,1000,0,0.100474,0.200948
0,0,1000,0,0.100108,0.200216
0,0,1000,0,0.0994914,0.198983
0,0,1000,0,0.100018,0.200035
0,0,1000,0,0.100237,0.200473
0,0,1000,0,0.0994898,0.19898
0,0.02,1000,0,0.10019,0.20038
0,0.02,1000,0,0.0999896,0.199979
0,0.02,1000,0,0.099853,0.199706
0,0.02,1000,0,0.100638,0.201275
0,0.02,1000,0,0.0998331,0.199666
0,0.02,1000,0,0.0998219,0.199644
0,0.02,1000,0,0.100456,0.200913
0,0.02,1000,0,0.0999904,0.199981
0,0.02,1000,0,0.100156,0.200312
0,0.02,1000,0,0.0995976,0.199195
0,0.04,1000,0,0.0997486,0.199497
0,0.04,1000,0,0.1003,0.2006
0,0.04,1000,0,0.0992331,0.198466
0,0.04,1000,0,0.0999304,0.199861
0,0.04,1000,0,0.100317,0.200634
0,0.04,1000,0,0.0999073,0.199815
0,0.04,1000,0,0.100411,0.200823
0,0.04,1000,0,0.0998124,0.199625
0,0.04,1000,0,0.100196,0.200393
0,0.04,1000,0,0.100382,0.200765
0,0.06,1000,0,0.0995167,0.199033
0,0.06,1000,0,0.100112,0.200224
0,0.06,1000,0,0.100276,0.200552
0,0.06,1000,0,0.0987666,0.197533
0,0.06,1000,0,0.100394,0.200787
0,0.06,1000,0,0.100558,0.201117
0,0.06,1000,0,0.0994558,0.198912
0,0.06,1000,0,0.10033,0.20066
0,0.06,1000,0,0.100105,0.20021
0,0.06,1000,0,0.100032,0.200064
0,0.08,1000,0,0.0997948,0.19959
0,0.08,1000,0,0.100078,0.200157
0,0.08,1000,0,0.100353,0.200706
0,0.08,1000,0,0.0997431,0.199486
0,0.08,1000,0,0.0999736,0.199947
0,0.08,1000,0,0.100564,0.201128
0,0.08,1000,0,0.100516,0.201033
0,0.08,1000,0,0.100183,0.200365
0,0.08,1000,0,0.0996707,0.199341
0,0.08,1000,0,0.100314,0.200628
0,0.1,1000,0,0.0997677,0.199535
0,0.1,1000,0,0.100095,0.200191
0,0.1,1000,0,0.0999784,0.199957
0,0.1,1000,0,0.0996056,0.199211
0,0.1,1000,0,0.0998155,0.199631
0,0.1,1000,0,0.0993965,0.198793
0,0.1,1000,0,0.100369,0.200739
0,0.1,1000,0,0.100147,0.200295
0,0.1,1000,0,0.100152,0.200304
0,0.1,1000,0,0.0999624,0.199925
0,0.12,1000,0,0.100652,0.201304
0,0.12,1000,0,0.100135,0.200271
0,0.12,1000,0,0.100262,0.200525
0,0.12,1000,0,0.0998052,0.19961
0,0.12,1000,0,0.100295,0.200591
0,0.12,1000,0,0.0996127,0.199225
0,0.12,1000,0,0.0997598,0.19952
0,0.12,1000,0,0.100037,0.200074
0,0.12,1000,0,0.100443,0.200886
0,0.12,1000,0,0.100032,0.200064
0,0.14,1000,0,0.10005,0.200099
0,0.14,1000,0,0.100216,0.200431
0,0.14,1000,0,0.100103,0.200205
0,0.14,1000,0,0.100311,0.200621
0,0.14,1000,0,0.10052,0.201041
0,0.14,1000,0,0.100587,0.201173
0,0.14,1000,0,0.100475,0.20095
0,0.14,1000,0,0.0994297,0.198859
0,0.14,1000,0,0.0994526,0.198905
0,0.14,1000,0,0.100402,0.200805
0,0.16,1000,0,0.100019,0.200038
0,0.16,1000,0,0.0998084,0.199617
0,0.16,1000,0,0.100109,0.200218
0,0.16,1000,0,0.0997877,0.199575
0,0.16,1000,0,0.100546,0.201092
0,0.16,1000,0,0.100159,0.200317
0,0.16,1000,0,0.100288,0.200576
0,0.16,1000,0,0.0996961,0.199392
0,0.16,1000,0,0.0999289,0.199858
0,0.16,1000,0,0.0999792,0.199958
0,0.18,1000,0,0.099716,0.199432
0,0.18,1000,0,0.100067,0.200134
0,0.18,1000,0,0.100583,0.201165
0,0.18,1000,0,0.0999376,0.199875
0,0.18,1000,0,0.0994099,0.19882
0,0.18,1000,0,0.099763,0.199526
0,0.18,1000,0,0.0995825,0.199165
0,0.18,1000,0,0.0992292,0.198458
0,0.18,1000,0,0.100261,0.200523
0,0.18,1000,0,0.0995603,0.199121
0,0.2,1000,0,0.100111,0.200221
0,0.2,1000,0,0.100515,0.201029
0,0.2,1000,0,0.0993554,0.198711
0,0.2,1000,0,0.0999936,0.199987
0,0.2,1000,0,0.0992599,0.19852
0,0.2,1000,0,0.100581,0.201162
0,0.2,1000,0,0.100656,0.201313
0,0.2,1000,0,0.0995722,0.199144
0,0.2,1000,0,0.100195,0.20039
0,0.2,1000,0,0.100119,0.200237
0,0.22,1000,0,0.0997248,0.19945
0,0.22,1000,0,0.100377,0.200755
0,0.22,1000,0,0.100515,0.201031
0,0.22,1000,0,0.100048,0.200096
0,0.22,1000,0,0.0997057,0.199411
0,0.22,1000,0,0.100061,0.200122
0,0.22,1000,0,0.100344,0.200689
0,0.22,1000,0,0.0997661,0.199532
