Drive homozygote fitness,Introduction frequency,Generations to 99% drive individuals,Generation of maximum drive frequency,Maximum drive frequency,Maximum frequency of individuals with at least one drive
0.5,0,1000,0,0,0
0.5,0.01,1000,100,0.464588,0.720445
0.5,0.01,1000,100,0.437446,0.688347
0.5,0.01,1000,100,0.432233,0.685117
0.5,0.01,1000,100,0.412311,0.663296
0.5,0.01,1000,100,0.380084,0.62142
0.5,0.01,1000,100,0.374799,0.618771
0.5,0.01,1000,100,0.458885,0.716101
0.5,0.01,1000,100,0.471394,0.731309
0.5,0.01,1000,100,0.436513,0.692824
0.5,0.01,1000,100,0.419821,0.668495
0.5,0.02,1000,100,0.591412,0.840472
0.5,0.02,1000,100,0.582248,0.834264
0.5,0.02,1000,100,0.568485,0.81923
0.5,0.02,1000,100,0.544509,0.802586
0.5,0.02,1000,100,0.49517,0.752428
0.5,0.02,1000,100,0.499991,0.756675
0.5,0.02,1000,100,0.555948,0.808397
0.5,0.02,1000,100,0.542175,0.798455
0.5,0.02,1000,100,0.61795,0.860078
0.5,0.02,1000,100,0.525767,0.784223
0.5,0.03,1000,100,0.620705,0.862385
0.5,0.03,1000,100,0.587076,0.835682
0.5,0.03,1000,100,0.61988,0.865371
0.5,0.03,1000,100,0.667585,0.899107
0.5,0.03,1000,100,0.617211,0.861555
0.5,0.03,1000,100,0.602921,0.850663
0.5,0.03,1000,100,0.605696,0.852326
0.5,0.03,1000,100,0.605422,0.850109
0.5,0.03,1000,100,0.587007,0.838959
0.5,0.03,1000,100,0.607637,0.853668
0.5,0.04,1000,100,0.654312,0.886808
0.5,0.04,1000,100,0.658192,0.892971
0.5,0.04,1000,100,0.668237,0.895824
0.5,0.04,1000,100,0.635169,0.873338
0.5,0.04,1000,100,0.647608,0.883228
0.5,0.04,1000,100,0.674067,0.902752
0.5,0.04,1000,100,0.655241,0.888484
0.5,0.04,1000,100,0.650171,0.886041
0.5,0.04,1000,100,0.667413,0.89769
0.5,0.04,1000,100,0.678977,0.905415
0.5,0.05,1000,100,0.657795,0.889619
0.5,0.05,1000,100,0.680339,0.904404
0.5,0.05,1000,100,0.718472,0.929289
0.5,0.05,1000,100,0.669369,0.899907
0.5,0.05,1000,100,0.680152,0.90505
0.5,0.05,1000,100,0.675385,0.90246
0.5,0.05,1000,100,0.718465,0.928364
0.5,0.05,1000,100,0.662687,0.896259
0.5,0.05,1000,100,0.666575,0.894754
0.5,0.05,1000,100,0.687703,0.909483
0.5,0.06,1000,100,0.730459,0.932911
0.5,0.06,1000,100,0.723321,0.927837
0.5,0.06,1000,100,0.695877,0.914391
0.5,0.06,1000,99,0.715132,0.928188
0.5,0.06,1000,99,0.685975,0.908072
0.5,0.06,1000,100,0.728524,0.930897
0.5,0.06,1000,100,0.758613,0.944736
0.5,0.06,1000,100,0.68204,0.904132
0.5,0.06,1000,100,0.680698,0.906103
0.5,0.06,1000,99,0.68438,0.905818
