Drive carrier fitness,Introduction frequency,Generations to 99% drive individuals,Generation of maximum drive frequency,Maximum drive frequency
0.5,0,1000,0,0
0.5,0.01,1000,98,0.0175881
0.5,0.01,1000,14,0.0165865
0.5,0.01,1000,2,0.0106518
0.5,0.01,1000,7,0.0125456
0.5,0.01,1000,100,0.0248258
0.5,0.01,1000,99,0.0215423
0.5,0.01,1000,0,0.00999129
0.5,0.01,1000,7,0.0153119
0.5,0.01,1000,1,0.012374
0.5,0.01,1000,99,0.0163697
0.5,0.02,1000,52,0.0327866
0.5,0.02,1000,98,0.0342026
0.5,0.02,1000,61,0.0299177
0.5,0.02,1000,10,0.0239002
0.5,0.02,1000,7,0.0257705
0.5,0.02,1000,50,0.0262424
0.5,0.02,1000,1,0.021329
0.5,0.02,1000,13,0.0255213
0.5,0.02,1000,21,0.0301718
0.5,0.02,1000,78,0.0331672
0.5,0.03,1000,45,0.0525358
0.5,0.03,1000,51,0.0391551
0.5,0.03,1000,20,0.0339328
0.5,0.03,1000,10,0.0302507
0.5,0.03,1000,54,0.0351155
0.5,0.03,1000,64,0.0529957
0.5,0.03,1000,26,0.0306918
0.5,0.03,1000,20,0.0374122
0.5,0.03,1000,98,0.0451582
0.5,0.03,1000,77,0.0451068
0.5,0.04,1000,26,0.045989
0.5,0.04,1000,22,0.0478801
0.5,0.04,1000,3,0.041267
0.5,0.04,1000,4,0.0409871
0.5,0.04,1000,43,0.0517119
0.5,0.04,1000,72,0.0504093
0.5,0.04,1000,8,0.0430397
0.5,0.04,1000,32,0.0514514
0.5,0.04,1000,61,0.053136
0.5,0.04,1000,3,0.0409431
0.5,0.05,1000,5,0.0533293
0.5,0.05,1000,10,0.0537254
0.5,0.05,1000,7,0.0652629
0.5,0.05,1000,7,0.0530101
0.5,0.05,1000,56,0.066994
0.5,0.05,1000,100,0.057378
0.5,0.05,1000,82,0.0590822
0.5,0.05,1000,11,0.0623798
0.5,0.05,1000,6,0.0580304
0.5,0.05,1000,18,0.0559981
0.5,0.06,1000,22,0.0611822
0.5,0.06,1000,0,0.0606585
0.5,0.06,1000,98,0.0703526
0.5,0.06,1000,1,0.0637925
0.5,0.06,1000,73,0.0801925
0.5,0.06,1000,19,0.0670136
0.5,0.06,1000,5,0.0658864
0.5,0.06,1000,18,0.0627701
0.5,0.06,1000,1,0.0622875
0.5,0.06,1000,0,0.0598855
0.5,0.07,1000,61,0.0781587
0.5,0.07,1000,13,0.0782133
0.5,0.07,1000,37,0.0779741
0.5,0.07,1000,26,0.0762287
0.5,0.07,1000,70,0.0838907
0.5,0.07,1000,0,0.0701437
0.5,0.07,1000,62,0.0853159
0.5,0.07,1000,1,0.0721678
0.5,0.07,1000,8,0.0752384
0.5,0.07,1000,14,0.0756937
0.5,0.08,1000,12,0.0936907
0.5,0.08,1000,34,0.0864227
0.5,0.08,1000,32,0.0910451
0.5,0.08,1000,90,0.0964269
0.5,0.08,1000,2,0.0815185
0.5,0.08,1000,87,0.0934589
0.5,0.08,1000,98,0.0912543
