Germline Resistance,Max Freq with at Least One Drive Chromosome,Gens of Max Freq,Drive Allele Freq Here, Gens to Reach 99%
0,0.332739,0,0.332739,1000
0,0.333627,0,0.333627,1000
0,0.332659,0,0.332659,1000
0,0.333631,0,0.333631,1000
0,0.333894,0,0.333894,1000
0,0.333952,0,0.333952,1000
0,0.335647,0,0.335647,1000
0,0.335426,0,0.335426,1000
0,0.333307,0,0.333307,1000
0,0.33452,0,0.33452,1000
0.01,0.333743,0,0.333743,1000
0.01,0.334802,0,0.334802,1000
0.01,0.333983,0,0.333983,1000
0.01,0.334095,0,0.334095,1000
0.01,0.335031,0,0.335031,1000
0.01,0.334587,0,0.334587,1000
0.01,0.333493,0,0.333493,1000
0.01,0.334323,0,0.334323,1000
0.01,0.334332,0,0.334332,1000
0.01,0.333752,0,0.333752,1000
0.02,0.332257,0,0.332257,1000
0.02,0.331952,0,0.331952,1000
0.02,0.334659,0,0.334659,1000
0.02,0.332425,0,0.332425,1000
0.02,0.332881,0,0.332881,1000
0.02,0.331838,0,0.331838,1000
0.02,0.334529,0,0.334529,1000
0.02,0.334815,0,0.334815,1000
0.02,0.335597,0,0.335597,1000
0.02,0.333516,0,0.333516,1000
0.03,0.354043,99,0.354043,1000
0.03,0.341474,97,0.341474,1000
0.03,0.365717,53,0.365717,1000
0.03,0.39245,100,0.39245,1000
0.03,0.339027,85,0.339027,1000
0.03,0.385391,88,0.385391,1000
0.03,0.336232,75,0.336232,1000
0.03,0.371324,97,0.371324,1000
0.03,0.346926,90,0.346926,1000
0.03,0.365902,80,0.365902,1000
0.04,0.73193,100,0.73193,1000
0.04,0.715083,100,0.715083,1000
0.04,0.750075,100,0.750075,1000
0.04,0.682736,100,0.682736,1000
0.04,0.707988,100,0.707988,1000
0.04,0.751335,100,0.751335,1000
0.04,0.742535,100,0.742535,1000
0.04,0.723192,100,0.723192,1000
0.04,0.747219,100,0.747219,1000
0.04,0.706096,98,0.706096,1000
0.05,0.917462,99,0.917462,1000
0.05,0.908978,100,0.908978,1000
0.05,0.908657,99,0.908657,1000
0.05,0.923839,100,0.923839,1000
0.05,0.924661,100,0.924661,1000
0.05,0.900179,99,0.900179,1000
0.05,0.932443,100,0.932443,1000
0.05,0.944811,100,0.944811,1000
0.05,0.908236,100,0.908236,1000
0.05,0.890716,100,0.890716,1000
0.06,0.983397,100,0.983397,1000
0.06,0.984715,99,0.984715,1000
0.06,0.9706,100,0.9706,1000
0.06,0.979365,100,0.979365,1000
0.06,0.982998,100,0.982998,1000
0.06,0.98228,100,0.98228,1000
0.06,0.979799,100,0.979799,1000
0.06,0.978661,100,0.978661,1000
0.06,0.976307,100,0.976307,1000
0.06,0.985621,100,0.985621,1000
0.07,0.992121,100,0.992121,98
0.07,0.99648,100,0.99648,85
0.07,0.993322,100,0.993322,96
0.07,0.995556,100,0.995556,91
0.07,0.995536,100,0.995536,89
0.07,0.995871,100,0.995871,89
0.07,0.994947,98,0.994947,86
0.07,0.994303,99,0.994303,89
0.07,0.994735,98,0.994735,86
0.07,0.994457,100,0.994457,88
0.08,0.999692,99,0.999692,74
0.08,0.999541,93,0.999541,67
0.08,0.999019,97,0.999019,72
0.08,0.997631,99,0.997631,73
0.08,0.996884,100,0.996884,79
0.08,0.999791,98,0.999791,71
0.08,0.998892,100,0.998892,75
0.08,0.999218,99,0.999218,76
0.08,0.998809,98,0.998809,71
0.08,0.998998,96,0.998998,69
0.09,0.999814,93,0.999814,66
0.09,0.999958,99,0.999958,64
0.09,0.999496,96,0.999496,63
0.09,0.999463,90,0.999463,61
0.09,1,95,1,64
0.09,0.999626,88,0.999626,62
0.09,0.999916,97,0.999916,64
0.09,0.998122,89,0.998122,67
0.09,0.999278,100,0.999278,64
0.09,0.999398,97,0.999398,64
0.1,1,100,1,58
0.1,0.999853,95,0.999853,61
0.1,1,97,1,53
0.1,1,77,1,53
0.1,0.999874,97,0.999874,52
0.1,1,91,1,55
0.1,1,89,1,53
0.1,1,84,1,54
0.1,1,87,1,54
0.1,1,92,1,54
0.11,1,86,1,48
0.11,1,86,1,50
0.11,0.999873,100,0.999873,48
0.11,0.999979,92,0.999979,52
0.11,1,89,1,49
0.11,1,79,1,51
0.11,1,84,1,49
0.11,1,78,1,49
0.11,1,92,1,48
0.11,1,87,1,51
0.12,1,75,1,43
0.12,1,75,1,45
0.12,1,87,1,44
0.12,1,68,1,44
0.12,0.999892,95,0.999892,44
0.12,1,87,1,48
0.12,1,75,1,44
0.12,1,86,1,45
0.12,1,62,1,42
0.12,1,81,1,46
0.13,1,71,1,44
0.13,1,75,1,42
0.13,1,88,1,41
0.13,1,76,1,41
0.13,1,78,1,41
0.13,1,75,1,41
0.13,1,81,1,42
0.13,1,70,1,41
0.13,1,76,1,40
0.13,1,94,1,40
0.14,1,81,1,38
0.14,1,70,1,38
0.14,1,66,1,39
0.14,1,69,1,39
0.14,1,74,1,40
0.14,1,67,1,41
0.14,1,77,1,38
0.14,1,53,1,37
0.14,1,64,1,38
0.14,1,59,1,35
0.15,1,72,1,34
0.15,1,71,1,35
0.15,1,66,1,36
0.15,1,58,1,35
0.15,1,54,1,37
0.15,1,67,1,36
