Drive homozygote fitness,Introduction frequency,Generations to 99% drive individuals difference,Generations to 99% drive individuals,Generation of maximum drive frequency,Maximum drive frequency,Maximum frequency of individuals with at least one drive
0.5,0,0,1000,0,0,0
0.5,0.01,-4,60,62,0.937719,1
0.5,0.01,-3,60,63,0.950169,1
0.5,0.01,-7,62,65,0.967044,1
0.5,0.01,-3,60,62,0.938288,1
0.5,0.01,-4,62,65,0.953847,1
0.5,0.01,-1,62,64,0.946177,1
0.5,0.01,0,60,62,0.944494,1
0.5,0.01,-3,58,60,0.934628,1
0.5,0.01,-1,64,66,0.947198,1
0.5,0.01,-4,57,60,0.952355,1
0.5,0.02,-2,49,51,0.938237,1
0.5,0.02,1,50,52,0.948154,1
0.5,0.02,-4,46,49,0.954366,1
0.5,0.02,-1,49,52,0.963028,1
0.5,0.02,3,49,52,0.95225,1
0.5,0.02,0,48,50,0.937742,1
0.5,0.02,0,50,52,0.935379,1
0.5,0.02,7,52,55,0.962406,1
0.5,0.02,3,52,54,0.944884,1
0.5,0.02,0,50,52,0.94792,1
0.5,0.03,-2,41,44,0.956186,1
0.5,0.03,-3,41,43,0.934438,1
0.5,0.03,0,42,45,0.952891,1
0.5,0.03,-4,42,44,0.942137,1
0.5,0.03,-1,41,44,0.957907,1
0.5,0.03,0,44,46,0.943321,1
0.5,0.03,-2,41,43,0.94365,1
0.5,0.03,4,45,47,0.946961,1
0.5,0.03,0,43,45,0.941929,1
0.5,0.03,5,46,48,0.952418,1
0.5,0.04,1,37,40,0.957297,1
0.5,0.04,1,38,41,0.958998,1
0.5,0.04,-1,36,39,0.954419,1
0.5,0.04,2,38,40,0.941132,1
0.5,0.04,1,38,41,0.957551,1
0.5,0.04,-2,38,40,0.93857,1
0.5,0.04,0,38,41,0.96047,1
0.5,0.04,0,37,39,0.949889,1
0.5,0.04,-1,37,39,0.93751,1
0.5,0.04,-3,34,37,0.956921,1
0.5,0.05,-1,34,36,0.947718,1
0.5,0.05,0,34,36,0.947565,1
0.5,0.05,1,35,38,0.956075,1
0.5,0.05,-3,32,35,0.958341,1
0.5,0.05,0,34,36,0.944994,1
0.5,0.05,-1,34,35,0.927006,1
0.5,0.05,0,35,37,0.950021,1
0.5,0.05,-2,34,37,0.956936,1
0.5,0.05,0,34,36,0.946244,1
0.5,0.05,0,34,36,0.949629,1
0.5,0.06,0,32,34,0.929399,1
0.5,0.06,1,33,35,0.94538,1
0.5,0.06,1,31,33,0.939782,1
0.5,0.06,0,30,32,0.935425,1
0.5,0.06,1,31,34,0.963649,1
0.5,0.06,-2,31,33,0.93741,1
0.5,0.06,1,31,34,0.95349,1
0.5,0.06,-1,31,34,0.957633,1
0.5,0.06,0,31,33,0.948903,1
0.5,0.06,1,32,35,0.956593,1
0.5,0.07,-1,29,32,0.954848,1
0.5,0.07,0,29,31,0.94288,1
0.5,0.07,-1,29,32,0.955703,1
0.5,0.07,-1,28,31,0.951253,1
0.5,0.07,1,30,32,0.942875,1
0.5,0.07,0,29,31,0.943404,1
0.5,0.07,1,30,32,0.946001,1
0.5,0.07,-2,28,30,0.948464,1
0.5,0.07,2,31,33,0.946094,1
0.5,0.07,-2,28,31,0.957044,1
0.5,0.08,-2,26,29,0.950427,1
0.5,0.08,0,28,30,0.946584,1
0.5,0.08,-2,27,29,0.944273,1
0.5,0.08,-1,26,29,0.951414,1
0.5,0.08,-1,26,30,0.966399,1
0.5,0.08,-1,27,30,0.952184,1
0.5,0.08,-1,26,28,0.936082,1
0.5,0.08,-3,26,28,0.931066,1
0.5,0.08,0,27,29,0.939055,1
0.5,0.08,2,28,30,0.948494,1
0.5,0.09,0,26,28,0.949847,1
0.5,0.09,0,25,27,0.943588,1
0.5,0.09,-1,25,27,0.930416,1
0.5,0.09,0,26,28,0.948116,1
0.5,0.09,-1,25,28,0.952435,1
0.5,0.09,-1,25,27,0.944671,1
0.5,0.09,0,26,28,0.945524,1
0.5,0.09,0,26,29,0.954739,1
0.5,0.09,0,26,29,0.95111,1
0.5,0.09,-1,25,28,0.952455,1
0.5,0.1,1,25,28,0.952119,1
0.5,0.1,0,24,27,0.952991,1
0.5,0.1,1,25,27,0.93253,1
0.5,0.1,-2,24,26,0.944961,1
0.5,0.1,0,25,27,0.948859,1
0.5,0.1,0,24,26,0.929762,1
0.5,0.1,0,24,27,0.953328,1
0.5,0.1,-1,24,26,0.936296,1
0.5,0.1,0,24,27,0.956596,1
0.5,0.1,-1,24,27,0.951964,1
0.5,0.11,0,23,25,0.950245,1
0.5,0.11,1,24,27,0.965,1
0.5,0.11,0,23,26,0.963951,1
0.5,0.11,0,23,26,0.955531,1
0.5,0.11,0,23,25,0.950953,1
0.5,0.11,0,23,25,0.929532,1
0.5,0.11,-1,23,26,0.958794,1
0.5,0.11,0,23,26,0.95853,1
0.5,0.11,-1,22,25,0.951391,1
0.5,0.11,0,23,25,0.943823,1
0.5,0.12,1,22,25,0.962511,1
0.5,0.12,-1,21,24,0.957338,1
0.5,0.12,0,22,25,0.958976,1
0.5,0.12,0,22,25,0.955417,1
0.5,0.12,0,22,24,0.938953,1
0.5,0.12,-1,22,25,0.961408,1
0.5,0.12,0,22,24,0.943001,1
0.5,0.12,-2,21,23,0.931901,1
0.5,0.12,1,23,25,0.944988,1
0.5,0.12,0,22,25,0.950273,1
0.5,0.13,-1,21,24,0.962458,1
0.5,0.13,0,21,24,0.951608,1
0.5,0.13,1,21,23,0.944178,1
0.5,0.13,1,22,24,0.945551,1
0.5,0.13,1,22,24,0.948304,1
0.5,0.13,0,21,23,0.941843,1
0.5,0.13,0,21,24,0.951453,1
0.5,0.13,-1,21,23,0.944358,1
0.5,0.13,0,21,25,0.96963,1
0.5,0.13,-1,21,23,0.938969,1
0.5,0.14,-1,20,22,0.943023,1
0.5,0.14,-1,20,22,0.938972,1
0.5,0.14,0,20,22,0.949427,1
0.5,0.14,0,20,22,0.938529,1
0.5,0.14,-1,20,23,0.9596,1
0.5,0.14,-1,20,23,0.956647,1
0.5,0.14,-1,20,22,0.94772,1
0.5,0.14,0,20,22,0.94711,1
0.5,0.14,-1,19,22,0.950459,1
0.5,0.14,-1,20,22,0.944296,1
0.5,0.15,0,19,22,0.955022,1
0.5,0.15,0,19,21,0.94477,1
0.5,0.15,0,19,22,0.952412,1
0.5,0.15,0,19,21,0.940901,1
0.5,0.15,1,20,22,0.940836,1
0.5,0.15,0,19,23,0.966827,1
0.5,0.15,0,19,22,0.952177,1
0.5,0.15,1,20,22,0.949458,1
0.5,0.15,0,19,22,0.962458,1
0.5,0.15,-1,19,22,0.951107,1
0.5,0.16,0,18,21,0.951643,1
0.5,0.16,0,19,21,0.948885,1
0.5,0.16,-1,18,21,0.955049,1
0.5,0.16,0,18,20,0.933271,1
0.5,0.16,0,19,21,0.949367,1
0.5,0.16,0,19,21,0.943121,1
0.5,0.16,0,19,22,0.961508,1
0.5,0.16,1,19,21,0.945691,1
0.5,0.16,-1,18,20,0.937198,1
0.5,0.16,0,18,21,0.950367,1
0.5,0.17,-1,17,19,0.925036,1
0.5,0.17,0,18,21,0.955556,1
0.5,0.17,0,18,20,0.948547,1
0.5,0.17,0,18,22,0.967715,1
0.5,0.17,0,18,20,0.948259,1
0.5,0.17,0,18,20,0.948691,1
0.5,0.17,1,19,21,0.94807,1
0.5,0.17,0,18,21,0.959342,1
0.5,0.17,-1,18,20,0.934703,1
