Germline cut rate,Embryo cut rate,Generations to 99% drive individuals difference, Gens to Reach 99%,Gens of Max Freq,Drive Allele Freq Here,Max Freq with at Least One Drive Chromosome
0,0,0,1000,0,0.0999312,0.199862
0,0,0,1000,0,0.099383,0.198766
0,0,0,1000,0,0.099992,0.199984
0,0,0,1000,0,0.100288,0.200576
0,0,0,1000,0,0.100107,0.200215
0,0,0,1000,0,0.099689,0.199378
0,0,0,1000,0,0.100417,0.200834
0,0,0,1000,0,0.0998953,0.199791
0,0,0,1000,0,0.100304,0.200608
0,0,0,1000,0,0.0998227,0.199645
0,0.02,0,1000,0,0.100295,0.200591
0,0.02,0,1000,0,0.099716,0.199432
0,0.02,0,1000,0,0.0998267,0.199653
0,0.02,0,1000,0,0.0999512,0.199902
0,0.02,0,1000,0,0.0996786,0.199357
0,0.02,0,1000,0,0.0999616,0.199923
0,0.02,0,1000,0,0.0994938,0.198988
0,0.02,0,1000,0,0.0994661,0.198932
0,0.02,0,1000,0,0.100428,0.200856
0,0.02,0,1000,0,0.100229,0.200457
0,0.04,0,1000,0,0.0998195,0.199639
0,0.04,0,1000,0,0.100425,0.20085
0,0.04,0,1000,0,0.100128,0.200256
0,0.04,0,1000,0,0.0998458,0.199692
0,0.04,0,1000,0,0.100845,0.201691
0,0.04,0,1000,0,0.0995778,0.199156
0,0.04,0,1000,0,0.100322,0.200644
0,0.04,0,1000,0,0.0995041,0.199008
0,0.04,0,1000,0,0.0997319,0.199464
0,0.04,0,1000,0,0.0996357,0.199271
0,0.06,0,1000,0,0.100255,0.20051
0,0.06,0,1000,0,0.0993791,0.198758
0,0.06,0,1000,0,0.0994447,0.198889
0,0.06,0,1000,0,0.100147,0.200293
0,0.06,0,1000,0,0.0995849,0.19917
0,0.06,0,1000,0,0.099849,0.199698
0,0.06,0,1000,0,0.1001,0.2002
0,0.06,0,1000,0,0.0999672,0.199934
0,0.06,0,1000,0,0.100537,0.201075
0,0.06,0,1000,0,0.0998642,0.199728
0,0.08,0,1000,0,0.100393,0.200785
0,0.08,0,1000,0,0.0999009,0.199802
0,0.08,0,1000,0,0.0999328,0.199866
0,0.08,0,1000,0,0.100034,0.200067
0,0.08,0,1000,0,0.100343,0.200686
0,0.08,0,1000,0,0.09996,0.19992
0,0.08,0,1000,0,0.0997869,0.199574
0,0.08,0,1000,0,0.100261,0.200523
0,0.08,0,1000,0,0.0993033,0.198607
0,0.08,0,1000,0,0.0998339,0.199668
0,0.1,0,1000,0,0.100111,0.200223
0,0.1,0,1000,0,0.100212,0.200425
0,0.1,0,1000,0,0.0999504,0.199901
0,0.1,0,1000,0,0.100071,0.200143
0,0.1,0,1000,0,0.0996588,0.199318
0,0.1,0,1000,0,0.100042,0.200085
0,0.1,0,1000,0,0.100651,0.201301
0,0.1,0,1000,0,0.0996413,0.199283
0,0.1,0,1000,0,0.099853,0.199706
0,0.1,0,1000,0,0.0999233,0.199847
0,0.12,0,1000,100,0.217858,0.388488
0,0.12,0,1000,100,0.256543,0.447899
0,0.12,0,1000,100,0.198786,0.357451
0,0.12,0,1000,100,0.222242,0.396139
0,0.12,0,1000,100,0.128846,0.241401
0,0.12,0,1000,100,0.139649,0.259086
0,0.12,0,1000,100,0.172182,0.315187
0,0.12,0,1000,100,0.150845,0.278765
0,0.12,0,1000,100,0.159146,0.29385
0,0.12,0,1000,100,0.224084,0.39819
0,0.14,0,1000,100,0.826184,0.971485
0,0.14,0,1000,100,0.781654,0.956003
0,0.14,0,1000,100,0.747285,0.93727
0,0.14,0,1000,100,0.57,0.816808
0,0.14,0,1000,100,0.319792,0.536121
0,0.14,0,1000,100,0.611465,0.850813
0,0.14,0,1000,100,0.657441,0.882136
0,0.14,0,1000,100,0.807917,0.964438
0,0.14,0,1000,100,0.757668,0.942387
