Drive homozygote fitness,Introduction frequency,Generations to 99% drive individuals,Generation of maximum drive frequency,Maximum drive frequency,Maximum frequency of individuals with at least one drive
0.5,0,1000,0,0,0
0.5,0.01,64,66,0.937701,1
0.5,0.01,63,66,0.961495,1
0.5,0.01,69,72,0.966853,1
0.5,0.01,63,66,0.953745,1
0.5,0.01,66,68,0.946142,1
0.5,0.01,63,65,0.94142,1
0.5,0.01,60,62,0.941074,1
0.5,0.01,61,63,0.943262,1
0.5,0.01,65,68,0.959745,1
0.5,0.01,61,63,0.940448,1
0.5,0.02,51,54,0.953644,1
0.5,0.02,49,52,0.957137,1
0.5,0.02,50,52,0.946721,1
0.5,0.02,50,52,0.938541,1
0.5,0.02,46,49,0.954967,1
0.5,0.02,48,50,0.932243,1
0.5,0.02,50,52,0.944648,1
0.5,0.02,45,48,0.950218,1
0.5,0.02,49,52,0.961003,1
0.5,0.02,50,53,0.960571,1
0.5,0.03,43,46,0.961174,1
0.5,0.03,44,47,0.953144,1
0.5,0.03,42,44,0.933214,1
0.5,0.03,46,49,0.962306,1
0.5,0.03,42,44,0.94455,1
0.5,0.03,44,47,0.957189,1
0.5,0.03,43,45,0.942365,1
0.5,0.03,41,43,0.946735,1
0.5,0.03,43,46,0.956352,1
0.5,0.03,41,43,0.950433,1
0.5,0.04,36,38,0.931989,1
0.5,0.04,37,40,0.95067,1
0.5,0.04,37,40,0.956335,1
0.5,0.04,36,38,0.937011,1
0.5,0.04,37,40,0.952387,1
0.5,0.04,40,43,0.965597,1
0.5,0.04,38,40,0.938639,1
0.5,0.04,37,41,0.968552,1
0.5,0.04,38,40,0.944648,1
0.5,0.04,37,40,0.962659,1
0.5,0.05,35,38,0.962991,1
0.5,0.05,34,37,0.960877,1
0.5,0.05,34,36,0.937188,1
0.5,0.05,35,37,0.939065,1
0.5,0.05,34,36,0.937739,1
0.5,0.05,35,38,0.957705,1
0.5,0.05,35,38,0.961305,1
0.5,0.05,36,39,0.965437,1
0.5,0.05,34,36,0.949613,1
0.5,0.05,34,37,0.950879,1
0.5,0.06,32,35,0.953299,1
0.5,0.06,32,34,0.952926,1
0.5,0.06,30,33,0.95528,1
0.5,0.06,30,33,0.954338,1
0.5,0.06,30,33,0.963402,1
0.5,0.06,33,35,0.934065,1
0.5,0.06,30,33,0.950624,1
0.5,0.06,32,35,0.954022,1
0.5,0.06,31,34,0.952076,1
0.5,0.06,31,34,0.955082,1
0.5,0.07,30,32,0.946126,1
0.5,0.07,29,31,0.936661,1
0.5,0.07,30,33,0.960874,1
0.5,0.07,29,31,0.949337,1
0.5,0.07,29,32,0.964431,1
0.5,0.07,29,31,0.937901,1
0.5,0.07,29,32,0.955256,1
0.5,0.07,30,32,0.948456,1
0.5,0.07,29,32,0.952588,1
0.5,0.07,30,32,0.949402,1
0.5,0.08,28,31,0.953882,1
0.5,0.08,28,30,0.950167,1
0.5,0.08,29,32,0.963594,1
0.5,0.08,27,29,0.931538,1
0.5,0.08,27,31,0.967369,1
0.5,0.08,28,31,0.955067,1
0.5,0.08,27,29,0.95062,1
0.5,0.08,29,31,0.941922,1
0.5,0.08,27,30,0.952233,1
0.5,0.08,26,29,0.953285,1
0.5,0.09,26,28,0.943516,1
0.5,0.09,25,28,0.952083,1
0.5,0.09,26,28,0.939483,1
0.5,0.09,26,28,0.949439,1
0.5,0.09,26,28,0.946957,1
0.5,0.09,26,28,0.936532,1
0.5,0.09,26,28,0.943541,1
