Germline cut rate,Embryo cut rate,Generations to 99% drive individuals,Generation of maximum drive frequency,Maximum drive frequency,Maximum frequency of individuals with at least one drive
0,0,1000,0,0.0998028,0.199606
0,0,1000,0,0.100041,0.200082
0,0,1000,0,0.100328,0.200657
0,0,1000,0,0.0996206,0.199241
0,0,1000,0,0.100299,0.200599
0,0,1000,0,0.0999073,0.199815
0,0,1000,0,0.100242,0.200484
0,0,1000,0,0.0997646,0.199529
0,0,1000,0,0.0999177,0.199835
0,0,1000,0,0.0995334,0.199067
0,0.02,1000,0,0.0995707,0.199141
0,0.02,1000,0,0.100078,0.200155
0,0.02,1000,0,0.0997542,0.199508
0,0.02,1000,0,0.100442,0.200884
0,0.02,1000,0,0.100516,0.201033
0,0.02,1000,0,0.0993743,0.198749
0,0.02,1000,0,0.0998969,0.199794
0,0.02,1000,0,0.0997208,0.199442
0,0.02,1000,0,0.100235,0.20047
0,0.02,1000,0,0.0999129,0.199826
0,0.04,1000,0,0.1,0.2
0,0.04,1000,0,0.100184,0.200367
0,0.04,1000,0,0.100519,0.201037
0,0.04,1000,0,0.100172,0.200345
0,0.04,1000,0,0.100161,0.200322
0,0.04,1000,0,0.0994874,0.198975
0,0.04,1000,0,0.099712,0.199424
0,0.04,1000,0,0.0999009,0.199802
0,0.04,1000,0,0.0998076,0.199615
0,0.04,1000,0,0.100078,0.200157
0,0.06,1000,0,0.099763,0.199526
0,0.06,1000,0,0.100155,0.200311
0,0.06,1000,0,0.0993506,0.198701
0,0.06,1000,0,0.100125,0.20025
0,0.06,1000,0,0.0996858,0.199372
0,0.06,1000,0,0.100463,0.200926
0,0.06,1000,0,0.0999648,0.19993
0,0.06,1000,0,0.0996469,0.199294
0,0.06,1000,0,0.0997423,0.199485
0,0.06,1000,0,0.100044,0.200088
0,0.08,1000,0,0.10063,0.201259
0,0.08,1000,0,0.100437,0.200874
0,0.08,1000,0,0.100194,0.200388
0,0.08,1000,0,0.100431,0.200863
0,0.08,1000,0,0.0996206,0.199241
0,0.08,1000,0,0.100129,0.200258
0,0.08,1000,0,0.100279,0.200558
0,0.08,1000,0,0.0994954,0.198991
0,0.08,1000,0,0.0996437,0.199287
0,0.08,1000,0,0.0994922,0.198984
0,0.1,1000,0,0.100188,0.200377
0,0.1,1000,0,0.100319,0.200637
0,0.1,1000,0,0.0999328,0.199866
0,0.1,1000,0,0.0996437,0.199287
0,0.1,1000,0,0.0997216,0.199443
0,0.1,1000,0,0.0995247,0.199049
0,0.1,1000,0,0.100496,0.200992
0,0.1,1000,0,0.100025,0.20005
0,0.1,1000,0,0.099627,0.199254
0,0.1,1000,0,0.0997057,0.199411
0,0.12,1000,0,0.100337,0.200674
0,0.12,1000,0,0.100144,0.200288
0,0.12,1000,0,0.100176,0.200351
0,0.12,1000,0,0.0998825,0.199765
0,0.12,1000,0,0.0997669,0.199534
0,0.12,1000,0,0.100008,0.200016
0,0.12,1000,0,0.0996564,0.199313
0,0.12,1000,0,0.0995278,0.199056
0,0.12,1000,0,0.0999512,0.199902
0,0.12,1000,0,0.0998411,0.199682
0,0.14,1000,0,0.100022,0.200043
0,0.14,1000,0,0.100228,0.200455
0,0.14,1000,0,0.0995603,0.199121
0,0.14,1000,0,0.100115,0.200229
0,0.14,1000,0,0.100026,0.200053
0,0.14,1000,41,0.106221,0.200936
0,0.14,1000,0,0.0996365,0.199273
0,0.14,1000,0,0.100052,0.200104
0,0.14,1000,0,0.100046,0.200091
0,0.14,1000,0,0.100367,0.200734
0,0.16,1000,100,0.157939,0.290553
0,0.16,1000,100,0.239129,0.421269
0,0.16,1000,100,0.225118,0.399509
0,0.16,1000,100,0.173769,0.318551
0,0.16,1000,100,0.151762,0.279964
0,0.16,1000,100,0.132957,0.248888
0,0.16,1000,100,0.13828,0.257639
0,0.16,1000,100,0.177043,0.32371
0,0.16,1000,100,0.143536,0.266124
0,0.16,1000,100,0.138491,0.257587
0,0.18,1000,100,0.423054,0.66785
0,0.18,1000,100,0.581031,0.825965
0,0.18,1000,100,0.369162,0.602561
0,0.18,1000,100,0.373479,0.608233
0,0.18,1000,100,0.5532,0.801419
0,0.18,1000,100,0.564203,0.809042
0,0.18,1000,100,0.505298,0.75617
0,0.18,1000,100,0.466143,0.715516
0,0.18,1000,100,0.535883,0.784243
0,0.18,1000,100,0.404271,0.644109
0,0.2,1000,100,0.707139,0.914823
0,0.2,1000,100,0.768117,0.947582
0,0.2,97,100,0.942283,0.996956
0,0.2,92,100,0.980149,0.999557
0,0.2,92,100,0.979418,0.999536
0,0.2,100,100,0.907447,0.991531
0,0.2,98,100,0.932041,0.995542
0,0.2,98,100,0.937382,0.995945
0,0.2,1000,100,0.842944,0.97572
0,0.2,96,100,0.955658,0.997887
0,0.22,86,98,0.993791,0.999989
0,0.22,83,97,0.99589,1
0,0.22,81,94,0.995515,1
0,0.22,79,94,0.996516,1
0,0.22,77,92,0.99773,1
0,0.22,88,99,0.990403,0.999968
0,0.22,83,98,0.99724,1
0,0.22,82,96,0.996383,1
0,0.22,85,100,0.997007,1
0,0.22,85,97,0.995159,1
0,0.24,69,80,0.993274,1
0,0.24,69,81,0.994855,1
0,0.24,73,84,0.995467,1
0,0.24,72,87,0.997163,1
0,0.24,73,87,0.997326,1
0,0.24,73,86,0.996841,1
0,0.24,69,82,0.995913,1
0,0.24,73,85,0.996085,1
0,0.24,71,85,0.997794,1
0,0.24,72,85,0.996847,1
0,0.26,65,77,0.997275,1
0,0.26,62,74,0.9963,1
0,0.26,63,75,0.996059,1
0,0.26,63,76,0.997129,1
0,0.26,59,70,0.995492,1
0,0.26,63,74,0.995707,1
0,0.26,62,73,0.995397,1
0,0.26,62,75,0.997718,1
0,0.26,62,77,0.99819,1
0,0.26,63,73,0.993163,1
0,0.28,55,65,0.993643,1
0,0.28,56,67,0.996862,1
0,0.28,56,67,0.996839,1
0,0.28,57,69,0.996787,1
0,0.28,57,68,0.99665,1
0,0.28,57,66,0.993511,1
0,0.28,55,66,0.996495,1
0,0.28,57,67,0.99635,1
0,0.28,56,68,0.996941,1
0,0.28,58,67,0.993904,1
0,0.3,50,59,0.99368,1
0,0.3,52,63,0.997997,1
0,0.3,51,60,0.994962,1
0,0.3,50,63,0.998475,1
0,0.3,53,64,0.997144,1
0,0.3,53,64,0.997849,1
0,0.3,51,63,0.997933,1
0,0.3,51,62,0.996876,1
0,0.3,52,62,0.996761,1
0,0.3,52,63,0.997459,1
0,0.32,47,55,0.993523,1
0,0.32,48,56,0.994235,1
0,0.32,46,58,0.997905,1
0,0.32,46,57,0.997534,1
0,0.32,46,56,0.996086,1
0,0.32,47,56,0.996054,1
0,0.32,46,56,0.997133,1
0,0.32,47,56,0.996039,1
0,0.32,47,59,0.998599,1
0,0.32,46,56,0.997666,1
0,0.34,43,51,0.995584,1
0,0.34,43,53,0.996937,1
0,0.34,42,52,0.997123,1
0,0.34,41,51,0.997483,1
0,0.34,42,51,0.995476,1
0,0.34,43,54,0.997821,1
0,0.34,42,50,0.993807,1
0,0.34,43,53,0.997528,1
0,0.34,44,51,0.993201,1
0,0.34,43,53,0.99694,1
0,0.36,39,49,0.997641,1
0,0.36,41,51,0.998464,1
0,0.36,40,49,0.997,1
0,0.36,41,49,0.995897,1
0,0.36,40,50,0.997914,1
0,0.36,39,49,0.997813,1
0,0.36,40,47,0.993825,1
0,0.36,39,48,0.996779,1
0,0.36,39,48,0.996525,1
0,0.36,39,47,0.994808,1
0,0.38,37,45,0.995212,1
0,0.38,37,46,0.997467,1
0,0.38,38,46,0.996372,1
0,0.38,37,45,0.99666,1
0,0.38,37,45,0.995938,1
0,0.38,38,46,0.996316,1
0,0.38,38,45,0.994943,1
0,0.38,38,47,0.99757,1
0,0.38,37,45,0.997002,1
0,0.38,39,46,0.994245,1
0,0.4,35,43,0.996675,1
0,0.4,34,42,0.996048,1
0,0.4,35,43,0.997467,1
0,0.4,35,42,0.996039,1
0,0.4,36,43,0.995762,1
0,0.4,35,43,0.997209,1
0,0.4,35,44,0.997679,1
0,0.4,34,44,0.998342,1
0,0.4,35,42,0.993613,1
0,0.4,34,41,0.993647,1
0,0.42,33,41,0.997301,1
0,0.42,32,40,0.997026,1
0,0.42,33,41,0.996579,1
0,0.42,33,40,0.99477,1
0,0.42,33,40,0.996178,1
0,0.42,33,40,0.995923,1
0,0.42,32,39,0.995943,1
0,0.42,33,41,0.99749,1
0,0.42,32,40,0.99724,1
0,0.42,33,40,0.994316,1
0,0.44,32,39,0.995675,1
0,0.44,31,39,0.997795,1
0,0.44,31,39,0.997902,1
0,0.44,30,37,0.995349,1
0,0.44,31,38,0.996503,1
0,0.44,32,39,0.996827,1
0,0.44,31,40,0.998184,1
0,0.44,31,38,0.996428,1
0,0.44,31,38,0.997163,1
0,0.44,32,42,0.998997,1
0,0.46,30,36,0.995028,1
0,0.46,30,36,0.994799,1
0,0.46,30,37,0.996549,1
0,0.46,30,37,0.996383,1
0,0.46,29,36,0.996016,1
0,0.46,30,36,0.995963,1
0,0.46,29,36,0.996484,1
0,0.46,30,35,0.992464,1
0,0.46,29,35,0.994672,1
0,0.46,30,36,0.994747,1
0,0.48,28,34,0.995883,1
0,0.48,28,34,0.994316,1
0,0.48,29,35,0.995942,1
0,0.48,28,34,0.993466,1
0,0.48,28,35,0.996245,1
0,0.48,28,35,0.997022,1
0,0.48,28,35,0.996995,1
0,0.48,29,36,0.997705,1
0,0.48,28,35,0.996148,1
0,0.48,28,35,0.997333,1
0,0.5,27,33,0.996639,1
0,0.5,27,31,0.987089,1
0,0.5,26,33,0.996939,1
0,0.5,27,33,0.994713,1
0,0.5,27,33,0.996183,1
0,0.5,27,33,0.995468,1
0,0.5,27,34,0.997516,1
0,0.5,27,34,0.997811,1
0,0.5,27,33,0.995763,1
0,0.5,27,34,0.996722,1
0,0.52,26,32,0.997213,1
0,0.52,26,32,0.996527,1
0,0.52,25,32,0.996901,1
0,0.52,25,31,0.995981,1
0,0.52,26,33,0.998309,1
0,0.52,25,33,0.998218,1
0,0.52,26,31,0.993316,1
0,0.52,25,31,0.994385,1
0,0.52,25,31,0.994361,1
0,0.52,25,31,0.994978,1
0,0.54,24,30,0.995162,1
0,0.54,24,29,0.990741,1
0,0.54,24,30,0.995166,1
0,0.54,24,31,0.997025,1
0,0.54,24,29,0.991741,1
0,0.54,24,30,0.995131,1
0,0.54,24,30,0.995541,1
0,0.54,24,29,0.991687,1
0,0.54,24,29,0.993025,1
0,0.54,25,31,0.996247,1
0,0.56,23,29,0.995392,1
0,0.56,24,28,0.990305,1
0,0.56,23,29,0.995742,1
0,0.56,23,29,0.995058,1
0,0.56,23,29,0.995129,1
0,0.56,23,29,0.995925,1
0,0.56,23,29,0.996162,1
0,0.56,23,28,0.991906,1
0,0.56,24,29,0.995143,1
0,0.56,23,28,0.992795,1
0,0.58,23,27,0.990412,1
0,0.58,23,28,0.99412,1
0,0.58,23,30,0.998646,1
0,0.58,22,27,0.993017,1
0,0.58,23,28,0.993679,1
0,0.58,23,28,0.995279,1
0,0.58,23,28,0.994633,1
0,0.58,23,28,0.994747,1
0,0.58,23,28,0.994096,1
0,0.58,23,27,0.990703,1
0,0.6,21,27,0.996238,1
0,0.6,22,26,0.99087,1
0,0.6,22,26,0.992442,1
0,0.6,21,27,0.996707,1
0,0.6,22,27,0.995528,1
0,0.6,21,27,0.99662,1
0,0.6,22,27,0.994501,1
0,0.6,21,27,0.996202,1
0,0.6,21,27,0.995515,1
0,0.6,22,29,0.998042,1
0,0.62,21,25,0.990556,1
0,0.62,21,27,0.996265,1
0,0.62,21,26,0.993021,1
0,0.62,21,26,0.995469,1
0,0.62,21,25,0.992628,1
