Drive homozygote fitness,Introduction frequency,Generations to 99% drive individuals difference,Generations to 99% drive individuals,Generation of maximum drive frequency,Maximum drive frequency,Maximum frequency of individuals with at least one drive
0.5,0,0,1000,0,0,0
0.5,0.01,0,1000,0,0.00499219,0.00998438
0.5,0.01,0,1000,0,0.00501221,0.0100244
0.5,0.01,0,1000,0,0.00503359,0.0100672
0.5,0.01,0,1000,0,0.00498244,0.00996488
0.5,0.01,0,1000,0,0.00504702,0.010094
0.5,0.01,0,1000,0,0.00499491,0.00998981
0.5,0.01,0,1000,0,0.00501002,0.01002
0.5,0.01,0,1000,0,0.00497194,0.00994388
0.5,0.01,0,1000,0,0.00499387,0.00998774
0.5,0.01,0,1000,0,0.00496857,0.00993713
0.5,0.02,0,1000,0,0.0100394,0.0200789
0.5,0.02,0,1000,0,0.00993923,0.0198785
0.5,0.02,0,1000,0,0.00999618,0.0199924
0.5,0.02,0,1000,0,0.0100633,0.0201266
0.5,0.02,0,1000,0,0.0100257,0.0200515
0.5,0.02,0,1000,0,0.01006,0.0201201
0.5,0.02,0,1000,0,0.0100549,0.0201098
0.5,0.02,0,1000,0,0.00997566,0.0199513
0.5,0.02,0,1000,0,0.0099951,0.0199902
0.5,0.02,0,1000,0,0.00998064,0.0199613
0.5,0.03,0,1000,0,0.0149975,0.0299951
0.5,0.03,0,1000,0,0.0149331,0.0298662
0.5,0.03,0,1000,0,0.0149135,0.029827
0.5,0.03,0,1000,0,0.01501,0.0300201
0.5,0.03,0,1000,0,0.0149208,0.0298417
0.5,0.03,0,1000,0,0.014965,0.02993
0.5,0.03,0,1000,0,0.0150463,0.0300925
0.5,0.03,0,1000,0,0.015093,0.0301859
0.5,0.03,0,1000,0,0.0149327,0.0298653
0.5,0.03,0,1000,0,0.0150109,0.0300218
0.5,0.04,0,1000,0,0.019721,0.0394419
0.5,0.04,0,1000,0,0.0199733,0.0399467
0.5,0.04,0,1000,0,0.0199529,0.0399058
0.5,0.04,0,1000,0,0.0200056,0.0400111
0.5,0.04,0,1000,0,0.0199229,0.0398459
0.5,0.04,0,1000,0,0.0199304,0.0398607
0.5,0.04,0,1000,0,0.0199045,0.0398089
0.5,0.04,0,1000,0,0.0201095,0.0402189
0.5,0.04,0,1000,0,0.0200547,0.0401093
0.5,0.04,0,1000,0,0.0201641,0.0403283
0.5,0.05,0,1000,0,0.0250652,0.0501305
0.5,0.05,0,1000,0,0.0250438,0.0500876
0.5,0.05,0,1000,0,0.0251496,0.0502991
0.5,0.05,0,1000,0,0.0249346,0.0498692
0.5,0.05,0,1000,0,0.0249245,0.0498489
0.5,0.05,0,1000,0,0.0249784,0.0499568
0.5,0.05,0,1000,0,0.0251299,0.0502598
0.5,0.05,0,1000,0,0.0249748,0.0499497
0.5,0.05,0,1000,0,0.0250476,0.0500952
0.5,0.05,0,1000,0,0.0250069,0.0500138
0.5,0.06,0,1000,0,0.0299093,0.0598186
0.5,0.06,0,1000,0,0.0301523,0.0603046
0.5,0.06,0,1000,0,0.0301742,0.0603485
0.5,0.06,0,1000,0,0.0300354,0.0600708
