Germline cut rate,Embryo cut rate,Generations to 99% drive individuals difference, Gens to Reach 99%,Gens of Max Freq,Drive Allele Freq Here,Max Freq with at Least One Drive Chromosome
0,0,0,1000,0,0.0999488,0.199898
0,0,0,1000,0,0.100216,0.200433
0,0,0,1000,0,0.0994811,0.198962
0,0,0,1000,0,0.100552,0.201104
0,0,0,1000,0,0.100037,0.200074
0,0,0,1000,0,0.100246,0.200492
0,0,0,1000,0,0.100216,0.200431
0,0,0,1000,0,0.100731,0.201462
0,0,0,1000,0,0.0997057,0.199411
0,0,0,1000,0,0.100055,0.20011
0,0.02,0,1000,0,0.100352,0.200703
0,0.02,0,1000,0,0.100431,0.200861
0,0.02,0,1000,0,0.100057,0.200114
0,0.02,0,1000,0,0.0992394,0.198479
0,0.02,0,1000,0,0.0998458,0.199692
0,0.02,0,1000,0,0.0999129,0.199826
0,0.02,0,1000,0,0.100467,0.200934
0,0.02,0,1000,0,0.0996596,0.199319
0,0.02,0,1000,0,0.099489,0.198978
0,0.02,0,1000,0,0.0998227,0.199645
0,0.04,0,1000,0,0.0999081,0.199816
0,0.04,0,1000,0,0.0998315,0.199663
0,0.04,0,1000,0,0.100538,0.201076
0,0.04,0,1000,0,0.100082,0.200165
0,0.04,0,1000,0,0.100251,0.200502
0,0.04,0,1000,0,0.099604,0.199208
0,0.04,0,1000,0,0.100211,0.200422
0,0.04,0,1000,0,0.0998371,0.199674
0,0.04,0,1000,0,0.100462,0.200924
0,0.04,0,1000,0,0.0998873,0.199775
0,0.06,0,1000,0,0.0997813,0.199563
0,0.06,0,1000,0,0.100128,0.200256
0,0.06,0,1000,0,0.0995786,0.199157
0,0.06,0,1000,0,0.0996858,0.199372
0,0.06,0,1000,0,0.100588,0.201176
0,0.06,0,1000,0,0.100599,0.201198
0,0.06,0,1000,0,0.100249,0.200497
0,0.06,0,1000,0,0.100082,0.200165
0,0.06,0,1000,0,0.100052,0.200104
0,0.06,0,1000,0,0.0997248,0.19945
0,0.08,0,1000,0,0.0998419,0.199684
0,0.08,0,1000,0,0.0990334,0.198067
0,0.08,0,1000,0,0.100356,0.200711
0,0.08,0,1000,0,0.100127,0.200255
0,0.08,0,1000,0,0.0996437,0.199287
0,0.08,0,1000,0,0.0999752,0.19995
0,0.08,0,1000,0,0.100284,0.200568
0,0.08,0,1000,0,0.0998044,0.199609
0,0.08,0,1000,0,0.0994479,0.198896
0,0.08,0,1000,0,0.100018,0.200037
0,0.1,0,1000,0,0.09979,0.19958
0,0.1,0,1000,0,0.0992505,0.198501
