Drive homozygote fitness,Introduction frequency,Generations to 99% drive individuals,Generation of maximum drive frequency,Maximum drive frequency,Maximum frequency of individuals with at least one drive
0.5,0,1000,0,0,0
0.5,0.01,1000,0,0.00498347,0.00996694
0.5,0.01,1000,0,0.00498401,0.00996802
0.5,0.01,1000,0,0.00499382,0.00998764
0.5,0.01,1000,0,0.00500054,0.0100011
0.5,0.01,1000,0,0.0049953,0.0099906
0.5,0.01,1000,0,0.00498529,0.00997058
0.5,0.01,1000,0,0.00502433,0.0100487
0.5,0.01,1000,0,0.00499288,0.00998576
0.5,0.01,1000,0,0.0050367,0.0100734
0.5,0.01,1000,0,0.00501191,0.0100238
0.5,0.02,1000,0,0.0100068,0.0200135
0.5,0.02,1000,0,0.0099999,0.0199998
0.5,0.02,1000,0,0.0100528,0.0201056
0.5,0.02,1000,0,0.00999373,0.0199875
0.5,0.02,1000,0,0.010031,0.0200619
0.5,0.02,1000,0,0.0100122,0.0200243
0.5,0.02,1000,0,0.0098877,0.0197754
0.5,0.02,1000,0,0.0100737,0.0201475
0.5,0.02,1000,0,0.0100066,0.0200131
0.5,0.02,1000,0,0.0100047,0.0200094
0.5,0.03,1000,0,0.0149778,0.0299555
0.5,0.03,1000,0,0.015054,0.0301081
0.5,0.03,1000,0,0.0150548,0.0301095
0.5,0.03,1000,0,0.0150856,0.0301712
0.5,0.03,1000,0,0.0151139,0.0302278
0.5,0.03,1000,0,0.0148892,0.0297785
0.5,0.03,1000,0,0.0148121,0.0296242
0.5,0.03,1000,0,0.015013,0.0300259
0.5,0.03,1000,0,0.0150731,0.0301462
0.5,0.03,1000,0,0.0149808,0.0299616
0.5,0.04,1000,0,0.0200385,0.0400769
0.5,0.04,1000,0,0.0199342,0.0398683
0.5,0.04,1000,0,0.0200953,0.0401906
0.5,0.04,1000,0,0.0200083,0.0400165
0.5,0.04,1000,0,0.0200829,0.0401658
0.5,0.04,1000,0,0.0200204,0.0400407
0.5,0.04,1000,0,0.0199579,0.0399157
0.5,0.04,1000,0,0.0200267,0.0400534
0.5,0.04,1000,0,0.0198693,0.0397387
0.5,0.04,1000,0,0.0201964,0.0403928
0.5,0.05,1000,0,0.025217,0.0504341
0.5,0.05,1000,0,0.0249829,0.0499658
0.5,0.05,1000,0,0.0250884,0.0501769
0.5,0.05,1000,0,0.0250772,0.0501544
0.5,0.05,1000,0,0.0249934,0.0499867
0.5,0.05,1000,0,0.0249784,0.0499568
0.5,0.05,1000,0,0.0251145,0.0502291
0.5,0.05,1000,0,0.0249337,0.0498673
0.5,0.05,1000,0,0.0251176,0.0502353
0.5,0.05,1000,0,0.0249235,0.049847
0.5,0.06,1000,0,0.0300001,0.0600002
0.5,0.06,1000,0,0.0299604,0.0599208
0.5,0.06,1000,0,0.0301372,0.0602744
0.5,0.06,1000,0,0.0301865,0.060373
0.5,0.06,1000,0,0.0300306,0.0600612
0.5,0.06,1000,0,0.0300484,0.0600968
0.5,0.06,1000,0,0.0298511,0.0597022
0.5,0.06,1000,0,0.0300977,0.0601954
0.5,0.06,1000,0,0.0299776,0.0599551
0.5,0.06,1000,0,0.0300108,0.0600216
0.5,0.07,1000,0,0.0350354,0.0700708
0.5,0.07,1000,0,0.0351782,0.0703563
0.5,0.07,1000,0,0.0349099,0.0698199
0.5,0.07,1000,0,0.0349245,0.069849
0.5,0.07,1000,0,0.0346541,0.0693081
0.5,0.07,1000,0,0.034907,0.069814
0.5,0.07,1000,0,0.0347154,0.0694309
0.5,0.07,1000,0,0.0349725,0.0699451
0.5,0.07,1000,0,0.0347921,0.0695843
0.5,0.07,1000,0,0.0348588,0.0697177
0.5,0.08,1000,0,0.0399427,0.0798854
0.5,0.08,1000,0,0.0398694,0.0797388
0.5,0.08,1000,0,0.0399115,0.079823
0.5,0.08,1000,0,0.0400295,0.0800589
0.5,0.08,1000,0,0.0401207,0.0802414
0.5,0.08,1000,0,0.0397757,0.0795514
0.5,0.08,1000,0,0.0400955,0.0801911
0.5,0.08,1000,0,0.0398892,0.0797784
0.5,0.08,1000,0,0.0401085,0.080217
0.5,0.08,1000,0,0.0399269,0.0798538
0.5,0.09,1000,0,0.0451392,0.0902784
0.5,0.09,1000,0,0.0447175,0.0894351
0.5,0.09,1000,0,0.044955,0.0899099
0.5,0.09,1000,0,0.0450135,0.0900269
0.5,0.09,1000,0,0.0447929,0.0895858
0.5,0.09,1000,0,0.0447499,0.0894998
0.5,0.09,1000,0,0.0445913,0.0891827
0.5,0.09,1000,0,0.0449174,0.0898348
0.5,0.09,1000,0,0.0451899,0.0903799
0.5,0.09,1000,0,0.0451359,0.0902718
0.5,0.1,1000,0,0.049711,0.099422
0.5,0.1,1000,0,0.0500829,0.100166
0.5,0.1,1000,0,0.0500014,0.100003
0.5,0.1,1000,0,0.0500491,0.100098
0.5,0.1,1000,0,0.04989,0.09978
0.5,0.1,1000,0,0.0500419,0.100084
0.5,0.1,1000,0,0.0502574,0.100515
0.5,0.1,1000,0,0.0501535,0.100307
0.5,0.1,1000,0,0.0496448,0.0992896
0.5,0.1,1000,0,0.0499937,0.0999874
0.5,0.11,1000,0,0.0551736,0.110347
0.5,0.11,1000,0,0.0546912,0.109382
0.5,0.11,1000,0,0.0545387,0.109077
0.5,0.11,1000,0,0.054544,0.109088
0.5,0.11,1000,0,0.0547668,0.109534
0.5,0.11,1000,0,0.0552427,0.110485
0.5,0.11,1000,0,0.0548787,0.109757
0.5,0.11,1000,0,0.0553124,0.110625
0.5,0.11,1000,0,0.0553203,0.110641
0.5,0.11,1000,0,0.0553307,0.110661
0.5,0.12,1000,0,0.0596934,0.119387
0.5,0.12,1000,0,0.0602797,0.120559
0.5,0.12,1000,0,0.0599084,0.119817
0.5,0.12,1000,0,0.0600536,0.120107
0.5,0.12,1000,0,0.0600403,0.120081
0.5,0.12,1000,0,0.0603999,0.1208
0.5,0.12,1000,0,0.0603341,0.120668
0.5,0.12,1000,0,0.0597693,0.119539
0.5,0.12,1000,0,0.0602643,0.120529
0.5,0.12,1000,0,0.0598501,0.1197
0.5,0.13,1000,0,0.0648658,0.129732
0.5,0.13,1000,0,0.0649357,0.129871
0.5,0.13,1000,0,0.0644145,0.128829
0.5,0.13,1000,0,0.0653737,0.130747
0.5,0.13,1000,0,0.0646581,0.129316
0.5,0.13,1000,0,0.0651446,0.130289
0.5,0.13,1000,0,0.0649464,0.129893
0.5,0.13,1000,0,0.0645977,0.129195
0.5,0.13,1000,0,0.0650137,0.130027
0.5,0.13,1000,0,0.0656599,0.13132
0.5,0.14,1000,0,0.0700588,0.140118
0.5,0.14,1000,0,0.0695696,0.139139
0.5,0.14,1000,0,0.0702402,0.14048
0.5,0.14,1000,0,0.0701506,0.140301
0.5,0.14,1000,0,0.0701488,0.140298
0.5,0.14,1000,0,0.0698634,0.139727
0.5,0.14,1000,0,0.0697347,0.139469
0.5,0.14,1000,0,0.0695987,0.139197
0.5,0.14,1000,0,0.0694603,0.138921
0.5,0.14,1000,0,0.0702772,0.140554
0.5,0.15,1000,0,0.0753495,0.150699
0.5,0.15,1000,0,0.0751877,0.150375
0.5,0.15,1000,0,0.0754661,0.150932
0.5,0.15,1000,0,0.0749526,0.149905
0.5,0.15,1000,0,0.074931,0.149862
0.5,0.15,1000,0,0.0753212,0.150642
0.5,0.15,1000,0,0.074966,0.149932
0.5,0.15,1000,0,0.0753193,0.150639
0.5,0.15,1000,0,0.0750738,0.150148
0.5,0.15,1000,0,0.0750968,0.150194
0.5,0.16,1000,0,0.0804331,0.160866
0.5,0.16,1000,0,0.0802467,0.160493
0.5,0.16,1000,0,0.0798009,0.159602
0.5,0.16,1000,0,0.079896,0.159792
0.5,0.16,1000,0,0.0801812,0.160362
0.5,0.16,1000,0,0.0795962,0.159192
0.5,0.16,1000,0,0.0802122,0.160424
0.5,0.16,1000,0,0.0799745,0.159949
0.5,0.16,1000,0,0.0800619,0.160124
0.5,0.16,1000,0,0.0798029,0.159606
0.5,0.17,1000,0,0.0849199,0.16984
0.5,0.17,1000,0,0.0845413,0.169083
0.5,0.17,1000,0,0.0853609,0.170722
0.5,0.17,1000,0,0.0848538,0.169708
0.5,0.17,1000,0,0.0848545,0.169709
0.5,0.17,1000,0,0.0849608,0.169922
0.5,0.17,1000,0,0.0853104,0.170621
0.5,0.17,1000,0,0.0852252,0.17045
0.5,0.17,1000,0,0.0852749,0.17055
0.5,0.17,1000,0,0.0844326,0.168865
0.5,0.18,1000,0,0.0901419,0.180284
0.5,0.18,1000,0,0.0898004,0.179601
0.5,0.18,1000,0,0.0901086,0.180217
0.5,0.18,1000,0,0.0890442,0.178088
0.5,0.18,1000,0,0.0902405,0.180481
0.5,0.18,1000,0,0.0896245,0.179249
0.5,0.18,1000,0,0.0901353,0.180271
0.5,0.18,1000,0,0.08949,0.17898
0.5,0.18,1000,0,0.090268,0.180536
0.5,0.18,1000,0,0.0896449,0.17929
0.5,0.19,1000,0,0.0956063,0.191213
0.5,0.19,1000,0,0.0950577,0.190115
0.5,0.19,1000,0,0.0952251,0.19045
0.5,0.19,1000,0,0.0947337,0.189467
0.5,0.19,1000,0,0.0946396,0.189279
0.5,0.19,1000,0,0.0942601,0.18852
0.5,0.19,1000,0,0.0949691,0.189938
0.5,0.19,1000,0,0.0948654,0.189731
0.5,0.19,1000,0,0.0947513,0.189503
