Drive homozygote fitness,Introduction frequency,Generations to 99% drive individuals difference,Generations to 99% drive individuals,Generation of maximum drive frequency,Maximum drive frequency,Maximum frequency of individuals with at least one drive
0.5,0,0,1000,0,0,0
0.5,0.01,0,1000,0,0.00662965,0.00995437
0.5,0.01,0,1000,0,0.00669238,0.0100246
0.5,0.01,0,1000,0,0.0066151,0.00994447
0.5,0.01,0,1000,0,0.00666697,0.010009
0.5,0.01,0,1000,0,0.00667596,0.0100252
0.5,0.01,0,1000,0,0.00672768,0.0100729
0.5,0.01,0,1000,0,0.00669211,0.0100332
0.5,0.01,0,1000,0,0.00669304,0.010029
0.5,0.01,0,1000,0,0.00664373,0.0099476
0.5,0.01,0,1000,0,0.00667747,0.0100189
0.5,0.02,0,1000,0,0.0132742,0.0199344
0.5,0.02,0,1000,0,0.0132964,0.019956
0.5,0.02,0,1000,0,0.0131791,0.0197597
0.5,0.02,0,1000,0,0.0133532,0.0200375
0.5,0.02,0,1000,0,0.0131865,0.019775
0.5,0.02,0,1000,0,0.0133233,0.0199663
0.5,0.02,0,1000,0,0.0133172,0.0199802
0.5,0.02,0,1000,0,0.013351,0.020012
0.5,0.02,0,1000,0,0.0133681,0.0200854
0.5,0.02,0,1000,0,0.0133784,0.0200872
0.5,0.03,0,1000,0,0.0199889,0.0299881
0.5,0.03,0,1000,0,0.0199537,0.0299353
0.5,0.03,0,1000,0,0.0200916,0.0301638
0.5,0.03,0,1000,0,0.0199615,0.0299312
0.5,0.03,0,1000,0,0.019843,0.0297928
0.5,0.03,0,1000,0,0.0201962,0.0302654
0.5,0.03,0,1000,0,0.0200497,0.0300996
0.5,0.03,0,1000,0,0.0202239,0.0303134
0.5,0.03,0,1000,0,0.0198645,0.029806
0.5,0.03,0,1000,0,0.0199587,0.0299599
0.5,0.04,0,1000,0,0.0266903,0.0400188
0.5,0.04,0,1000,0,0.0266316,0.0399536
0.5,0.04,0,1000,0,0.0268188,0.0401894
0.5,0.04,0,1000,0,0.0265951,0.0398787
0.5,0.04,0,1000,0,0.0265853,0.0398935
0.5,0.04,0,1000,0,0.026623,0.0399142
0.5,0.04,0,1000,0,0.0266529,0.0399574
0.5,0.04,0,1000,0,0.026569,0.0398131
0.5,0.04,0,1000,0,0.0265832,0.0398611
0.5,0.04,0,1000,0,0.0266039,0.039876
0.5,0.05,0,1000,0,0.033407,0.0501314
0.5,0.05,0,1000,0,0.0333521,0.050088
0.5,0.05,0,1000,0,0.0333765,0.0500704
0.5,0.05,0,1000,0,0.0330029,0.0495183
0.5,0.05,0,1000,0,0.033164,0.0496894
0.5,0.05,0,1000,0,0.0332781,0.0499251
0.5,0.05,0,1000,0,0.0330559,0.0496135
0.5,0.05,0,1000,0,0.0333272,0.049962
0.5,0.05,0,1000,0,0.0331605,0.0496683
0.5,0.05,0,1000,0,0.0334021,0.050088
0.5,0.06,0,1000,0,0.0402089,0.0602687
0.5,0.06,0,1000,0,0.0400904,0.0600979
0.5,0.06,0,1000,0,0.0397353,0.0596197
0.5,0.06,0,1000,0,0.0400665,0.0601977
0.5,0.06,0,1000,0,0.0400922,0.0600742
0.5,0.06,0,1000,0,0.0402601,0.0603559
0.5,0.06,0,1000,0,0.0402779,0.0603702
0.5,0.06,0,1000,0,0.0398614,0.0598174
0.5,0.06,0,1000,0,0.0397591,0.0596497
0.5,0.06,0,1000,0,0.040015,0.0601359
0.5,0.07,0,1000,0,0.0467466,0.0701432
0.5,0.07,0,1000,0,0.0464894,0.0697435
